institution,rank,researcher,theses,research_score
B.M.S. College of Engineering,1,M Santoshi Kumari,2,6
B.M.S. College of Engineering,2,Anitha H M,2,6
B.M.S. College of Engineering,3,Sumantha H S,2,6
B.M.S. College of Engineering,4,Yatish Muddappa,1,3
B.M.S. College of Engineering,5,Anthony Christy Melson,1,3
CMR Institute of Technology,1,Ajey S N R,1,3
CMR Institute of Technology,2,Alamuru Susmitha,1,3
CMR Institute of Technology,3,Anand R,1,3
CMR Institute of Technology,4,Archana Nawandhar,1,3
CMR Institute of Technology,5,Balachandar S,1,3
Dayananda Sagar College of Engineering,1,Anil Kumar R,1,3
Dayananda Sagar College of Engineering,2,Balaji Ramakrishnan,1,3
Dayananda Sagar College of Engineering,3,Bishwajit Pal,1,3
Dayananda Sagar College of Engineering,4,C Usha,1,3
Dayananda Sagar College of Engineering,5,Deepa N P,1,3
Indian Institute of Science Bangalore,1,Atheeth S,3,9
Indian Institute of Science Bangalore,2,Jayant Hemang Kumar,2,6
Indian Institute of Science Bangalore,3,Kumar Naveen,2,6
Indian Institute of Science Bangalore,4,Kumar Kundan,2,6
Indian Institute of Science Bangalore,5,Chandravanshi Dharita,2,6
International Institute of Information Technology Bangalore,1,Shrivastava Swapnil,2,6
International Institute of Information Technology Bangalore,2,V P Sanjay,2,6
International Institute of Information Technology Bangalore,3,Anand Deepti J,1,3
International Institute of Information Technology Bangalore,4,Anil Kumar V,1,3
International Institute of Information Technology Bangalore,5,Aswal Abhilasha,1,3
M.S. Ramaiah Institute of Technology,1,Jeny Varghese,2,6
M.S. Ramaiah Institute of Technology,2,DeepaH K,1,3
M.S. Ramaiah Institute of Technology,3,Divya M N,1,3
M.S. Ramaiah Institute of Technology,4,Hudhaifa Mohammed Abdulwahab,1,3
M.S. Ramaiah Institute of Technology,5,Kimmi Kumari,1,3
PES University,1,Anagha K Kowshik,1,3
PES University,2,Ananda Kumar S R,1,3
PES University,3,Ashwini H R,1,3
PES University,4,Deepthi Rao M,1,3
PES University,5,Dileepkumar V G,1,3
R V College of Engineering,1,AKSHATHA PRASANNA,4,12
R V College of Engineering,2,JYOTHI R,3,9
R V College of Engineering,3,VIDYA PATIL,3,9
R V College of Engineering,4,Kalyan N,2,6
R V College of Engineering,5,Meleet Merin,2,6
