rank,researcher,institution,publications,theses,citations,research_score
1,Satyam Suwas,Indian Institute of Science Bangalore,156,0,2402,432.1
2,Suryasarathi Bose,Indian Institute of Science Bangalore,104,0,2438,329.9
3,Vinyas Mahesh,Indian Institute of Science Bangalore,107,0,2243,326.15
4,Chandan Srivastava,Indian Institute of Science Bangalore,102,0,2266,317.3
5,Praveen C Ramamurthy,Indian Institute of Science Bangalore,129,0,1151,315.55
6,Madhav Rao,International Institute of Information Technology Bangalore,136,0,557,299.85
7,Kumar,CMR Institute of Technology,124,0,775,286.75
8,Mayank Shrivastava,Indian Institute of Science Bangalore,116,0,940,279.0
9,Debasish Ghose,Indian Institute of Science Bangalore,124,0,613,278.65
10,Kaushik Chatterjee,Indian Institute of Science Bangalore,77,0,2324,270.2
11,Shankar Kumar Selvaraja,Indian Institute of Science Bangalore,121,0,501,267.05
12,Bikramjit Basu,Indian Institute of Science Bangalore,82,0,2029,265.45
13,Debdeep Sarkar,Indian Institute of Science Bangalore,116,0,566,260.3
14,L Umanand,Indian Institute of Science Bangalore,111,0,706,257.3
15,A Chockalingam,Indian Institute of Science Bangalore,75,0,2036,251.8
16,Chandra R Murthy,Indian Institute of Science Bangalore,102,0,694,238.7
17,Praveen Kumar,Indian Institute of Science Bangalore,102,0,658,236.9
18,Dineshkumar Harursampath,Indian Institute of Science Bangalore,85,0,1310,235.5
19,Pramod Kumar,Indian Institute of Science Bangalore,98,0,761,234.05
20,Saptarshi Basu,Indian Institute of Science Bangalore,89,0,1079,231.95
21,Singh,CMR Institute of Technology,88,0,1005,226.25
22,Suresh Sundaram,Indian Institute of Science Bangalore,98,0,553,223.65
23,R Ganesan,Indian Institute of Science Bangalore,75,0,1470,223.5
24,Dankan Gowda,International Institute of Information Technology Bangalore,76,0,1365,220.25
25,Debabrata Das,International Institute of Information Technology Bangalore,99,0,348,215.4
26,B Sundar Rajan,Indian Institute of Science Bangalore,100,0,256,212.8
27,Vishwas Mahesh,Indian Institute of Science Bangalore,77,0,1029,205.45
28,G Narayanan,Indian Institute of Science Bangalore,89,0,540,205.0
29,D Alagarasan,Indian Institute of Science Bangalore,62,0,1573,202.65
30,Abhishek K Singh,Indian Institute of Science Bangalore,55,0,1795,199.75
31,Kaushik Basu,Indian Institute of Science Bangalore,81,0,567,190.35
32,Navakanta Bhat,Indian Institute of Science Bangalore,64,0,1163,186.15
33,Surendra Kumar Makineni,Indian Institute of Science Bangalore,62,0,1129,180.45
34,Satish V Kailas,Indian Institute of Science Bangalore,63,0,1031,177.55
35,B Subba Reddy,Indian Institute of Science Bangalore,79,0,376,176.8
36,Arpita Patra,Indian Institute of Science Bangalore,72,0,628,175.4
37,Rajeev Kumar,Indian Institute of Science Bangalore,48,1,1522,175.1
38,Sudhan Majhi,Indian Institute of Science Bangalore,70,0,639,171.95
39,Sundeep Prabhakar Chepuri,Indian Institute of Science Bangalore,67,0,715,169.75
40,Prabeer Barpanda,Indian Institute of Science Bangalore,63,0,859,168.95
41,Varun Raghunathan,Indian Institute of Science Bangalore,77,0,292,168.6
42,K Gopakumar,Indian Institute of Science Bangalore,70,0,565,168.25
43,S Gopalakrishnan,Indian Institute of Science Bangalore,61,0,918,167.9
44,Vinod John,Indian Institute of Science Bangalore,74,0,391,167.55
45,R Venkatesh Babu,Indian Institute of Science Bangalore,54,0,1163,166.15
46,Sanjeev Gurugopinath,PES University,74,0,362,166.1
47,SK,CMR Institute of Technology,67,0,585,163.25
48,G L Sivakumar Babu,Indian Institute of Science Bangalore,68,0,539,162.95
49,Jyotsna Bapat,International Institute of Information Technology Bangalore,74,0,293,162.65
50,Gopalkrishna Hegde,Indian Institute of Science Bangalore,68,0,514,161.7
51,Kenji Watanabe,Indian Institute of Science Bangalore,61,0,793,161.65
52,Prasad B Honnavalli,PES University,69,0,430,159.5
53,Ashish Verma,Indian Institute of Science Bangalore,64,0,611,158.55
54,K Ramesh,Indian Institute of Science Bangalore,61,0,701,157.05
55,Yogesh Simmhan,Indian Institute of Science Bangalore,68,0,390,155.5
56,SS,CMR Institute of Technology,62,0,585,153.25
57,Srinivas Talabattula,Indian Institute of Science Bangalore,68,0,286,150.3
58,Banibrata Mukhopadhyay,Indian Institute of Science Bangalore,64,0,384,147.2
59,Ambarish Ghosh,Indian Institute of Science Bangalore,54,0,769,146.45
60,Ramakanta Naik,Indian Institute of Science Bangalore,47,0,1028,145.4
61,Thirugnanasambandam,CMR Institute of Technology,52,0,809,144.45
62,K Chattopadhyay,Indian Institute of Science Bangalore,57,0,586,143.3
63,G Jagadeesh,Indian Institute of Science Bangalore,61,0,394,141.7
64,Ashwini Ratnoo,Indian Institute of Science Bangalore,64,0,262,141.1
65,Sriram Ganapathy,Indian Institute of Science Bangalore,59,0,384,137.2
66,Gali Madhavi Latha,Indian Institute of Science Bangalore,56,0,486,136.3
67,Prabal K Maiti,Indian Institute of Science Bangalore,51,0,645,134.25
68,S Asokan,Indian Institute of Science Bangalore,50,0,664,133.2
69,Biman Bagchi,Indian Institute of Science Bangalore,51,0,611,132.55
70,A K Sood,Indian Institute of Science Bangalore,48,0,719,131.95
71,Anirban Chakraborty,Indian Institute of Science Bangalore,47,0,748,131.4
72,Balaram Sahoo,Indian Institute of Science Bangalore,38,0,1104,131.2
73,Ramesh,CMR Institute of Technology,50,0,608,130.4
74,P S Anil Kumar,Indian Institute of Science Bangalore,56,0,362,130.1
75,Prosenjit Sen,Indian Institute of Science Bangalore,49,0,621,129.05
76,Shalabh Bhatnagar,Indian Institute of Science Bangalore,57,0,296,128.8
77,Awadhesh Narayan,Indian Institute of Science Bangalore,50,0,562,128.1
78,Chandra Sekhar Seelamantula,Indian Institute of Science Bangalore,56,0,309,127.45
79,Gopalakrishnan Sai Gautam,Indian Institute of Science Bangalore,43,0,816,126.8
80,V R Supradeepa,Indian Institute of Science Bangalore,55,0,323,126.15
