Department_ID,Department
AEROSPACE_ENGINEERING,Aerospace Engineering
ARTIFICIAL_INTELLIGENCE_AND_MACHINE_LEARNING,Artificial Intelligence and Machine Learning
BIOSYSTEMS_AND_BIOMEDICAL_ENGINEERING,Biosystems and Biomedical Engineering
CHEMICAL_ENGINEERING,Chemical Engineering
CIVIL_ENGINEERING,Civil Engineering
COMPUTER_SCIENCE_AND_AUTOMATION,Computer Science and Automation
COMPUTER_SCIENCE_AND_ENGINEERING,Computer Science and Engineering
CYBER_PHYSICAL_SYSTEMS,Cyber Physical Systems
DATA_SCIENCE,Data Science
DEPARTMENT_OF_BIOTECHNOLOGY,Department Of Biotechnology
DEPARTMENT_OF_CIVIL_ENGINEERING,Department Of Civil Engineering
EARTH_SCIENCES,Earth Sciences
ELECTRICAL_ENGINEERING,Electrical Engineering
ELECTRONICS_AND_COMMUNICATION_ENGINEERING,Electronics and Communication Engineering
ELECTRONICS_AND_INSTRUMENTATION_ENGINEERING,Electronics and Instrumentation Engineering
ELECTRONICS_AND_TELECOMMUNICATION_ENGINEERING,Electronics and Telecommunication Engineering
ELECTRONIC_SYSTEMS_ENGINEERING,Electronic Systems Engineering
ENERGY_RESEARCH,Energy Research
ENGINEERING_SCIENCES,Engineering Sciences
INFORMATION_SCIENCE,Information Science
INFORMATION_SCIENCE_AND_ENGINEERING,Information Science and Engineering
INFORMATION_TECHNOLOGY,Information Technology
INSTRUMENTATION_AND_APPLIED_PHYSICS,Instrumentation and Applied Physics
MANAGEMENT_STUDIES,Management Studies
MATERIALS_ENGINEERING,Materials Engineering
MATHEMATICS,Mathematics
MECHANICAL_ENGINEERING,Mechanical Engineering
MOLECULAR_BIOPHYSICS_UNIT,Molecular Biophysics Unit
NANO_SCIENCE_AND_ENGINEERING,Nano Science and Engineering
NETWORKING_AND_SIGNAL_PROCESSING,Networking and Signal Processing
NEUROSCIENCE,Neuroscience
PHARMACEUTICAL_SCIENCES,Pharmaceutical Sciences
PHYSICS,Physics
PRODUCT_DESIGN_AND_MANUFACTURING,Product Design and Manufacturing
SOFTWARE_ENGINEERING,Software Engineering
SUPERCOMPUTING,Supercomputing
WATER_RESEARCH,Water Research
