Domain_ID,Domain
AI_DATA_SCIENCE,AI & Data Science
AGRICULTURAL_AND_BIOLOGICAL_SCIENCES,Agricultural and Biological Sciences
ARTS_AND_HUMANITIES,Arts and Humanities
BIOCHEMISTRY_GENETICS_AND_MOLECULAR_BIOLOGY,"Biochemistry, Genetics and Molecular Biology"
BUSINESS_MANAGEMENT_AND_ACCOUNTING,"Business, Management and Accounting"
CSE,CSE
CHEMICAL_ENGINEERING,Chemical Engineering
CHEMISTRY,Chemistry
COMPUTER_SCIENCE,Computer Science
COMPUTER_SCIENCE_ENGINEERING,Computer Science & Engineering
COMPUTER_SCIENCE_ENGINEERING_AI_AND_ML,Computer Science & Engineering - AI and ML
COMPUTER_SCIENCE_CYBER_SECURITY,Computer Science - Cyber Security
COMPUTER_SCIENCES_AND_INFORMATION_TECHNOLOGY,Computer Sciences and Information Technology
DECISION_SCIENCES,Decision Sciences
ECE,ECE
EEE,EEE
ETE,ETE
EARTH_AND_PLANETARY_SCIENCES,Earth and Planetary Sciences
ECONOMICS_ECONOMETRICS_AND_FINANCE,"Economics, Econometrics and Finance"
ELECTRONICS_COMMUNICATION_ENGINEERING,Electronics & Communication Engineering
ENERGY,Energy
ENGINEERING,Engineering
ENVIRONMENTAL_SCIENCE,Environmental Science
HEALTH_PROFESSIONS,Health Professions
ISE,ISE
IMMUNOLOGY_AND_MICROBIOLOGY,Immunology and Microbiology
MATH,MATH
MATERIALS_SCIENCE,Materials Science
MATHEMATICS,Mathematics
MEDICINE,Medicine
NEUROSCIENCE,Neuroscience
NURSING,Nursing
PHY,PHY
PHARMACOLOGY_TOXICOLOGY_AND_PHARMACEUTICS,"Pharmacology, Toxicology and Pharmaceutics"
PHYSICS,Physics
PHYSICS_AND_ASTRONOMY,Physics and Astronomy
PSYCHOLOGY,Psychology
SOCIAL_SCIENCES,Social Sciences
