Agency_ID,Funding_Agency
ANRF,ANRF
VGST,VGST
RIT,RIT
DST,DST
VTU,VTU
DASSUALT_SYSTEMS_FOUNDATION,Dassualt Systems Foundation
KREDL,KREDL
AICTE,AICTE
KSCST,KSCST
SAMAVRITHI_INNOVATION_PVT_LTD,Samavrithi Innovation pvt ltd
DEPARTMENT_OF_SCIENCE_AND_TECHNOLOGY,Department of Science and Technology
DEFENCE_RESEARCH_AND_DEVELOPMENT_ORGANISATION,Defence Research and Development Organisation
COUNCIL_OF_SCIENTIFIC_AND_INDUSTRIAL_RESEARCH,Council of Scientific and Industrial Research
ALL_INDIA_COUNCIL_FOR_TECHNICAL_EDUCATION,All India Council for Technical Education
MINISTRY_OF_POWER,Ministry of Power
AICTE_GOC,AICTE -GOC
AICTE_STTP,AICTE - STTP
31082021,31-08-2021
SAARCI_AUTOMATION_SOLUTIONS_PRIVATE_LIMITED,SAARCI Automation solutions private limited
KALPAVRUKSHA_TRAVEL_SOLUTIONS,Kalpavruksha Travel Solutions
INDIAN_SERVERS_PVT_LTD,Indian Servers Pvt. Ltd.
PROCOM_ENTERPRISES_PVT_LTD,Procom enterprises Pvt Ltd.
AICTE_MHRD_IIC_POC_CONTEST_WINNER_GOVERNMENT_OF_INDIA,"AICTE/ MHRD IIC, POC contest winner, Government of India"
VTU_FINANCIAL_ASSISTANCE_FOR_INNOVATIVE_PROJECTS,VTU Financial Assistance for innovative Projects
DSTWOSB,DST/WOS-B
FINPINAENIAS,FINP-INAE-NIAS
ATAL_FDP_AICTE,"ATAL FDP, AICTE"
ATALFDP,ATAL-FDP
KARNATAKA_STATE_COUNCIL_FOR_SCIENCE_AND_TECHNOLOGYKSCST_FOR_STUDENTS_PROJECT,Karnataka State Council for Science and Technology(KSCST) for students project
UBA,UBA
PVT_FUND,Pvt Fund
GIAN,GIAN
DSTTIH,DST-TIH
KARNATAKA_STATE_GOVT,Karnataka State Govt.
VGST_KSTEPS_GOK,"VGST, KSTePS, GoK"
VTURESEARCH_GRANT_SCHEME,VTU-Research Grant Scheme
IIT_ROORKEE_UNDER_MNRE,"IIT, Roorkee under MNRE"
IFERP_Â_INNOVATIVE_PROJECT_SEED_FUNDING,IFERP â Innovative Project Seed Funding
WIPRO_INTERDISCIPLINARY_COLLEGE_PROJECT,Wipro (Interdisciplinary College Project)
GOIMINISTRY_OF_ELECTRONIC_INFORMATIN_TECHNOLOGY_MEIT_Y,GOI-Ministry of Electronic & Informatin Technology- Meit Y
PVT,PVT
IIS,IIS
MSME,MSME
STATE_GOVT,State Govt
KSCST_DST_GOK,"KSCST, DST, GoK"
AICTE_ATALFDP,AICTE ATAL-FDP
KSCST_STUDENT_PROJECT_PROGRAMME,KSCST student project Programme
PVT_GRANTS,Pvt Grants
ERIPR_GOVT_OF_INDIA,ER&IPR -Govt of India
MINISTRY_OF_MSME_GOVERNMENT_OF_INDIA,"Ministry of MSME, Government of India"
DST_LINK,DST Link
SWAN_SORTER_SYSTEMS_PVT_LTD,Swan Sorter Systems Pvt Ltd
GREENERIA_PVT_LTD,Greeneria Pvt Ltd
BAT_CONSERVATION_INDIA_TRUST,Bat Conservation India Trust
TATA_TECHNOLOGY,Tata technology
CSBCENTRAL_SILK_TECHNOLOGICAL_RESEARCH_INSTITUTE_CSBCSTRI,CSB-Central Silk Technological Research Institute (CSB-CSTRI)
ISRO,ISRO
CARS,CARS
CSIR_EMR,CSIR - EMR
MSMI_40,MSMI 4.0
SECUREINTELI_PRIVATEMNC,Secureinteli (Private-MNC)
MSGP,MSGP
DG_ECS_DRDO,DG ECS DRDO
ISROURSC,ISRO-URSC
INTUGINE_TECHNOLOGIES_PRIVATE_LIMITED,Intugine Technologies Private Limited
DST_NIDHI_PRAYAS_JIT,DST Nidhi Prayas JIT
PREMEDAI_LABS,PreMedAI LABS
PREMEDAI,PremedAI
CASDIC_DRDO,CASDIC - DRDO
IITI_DRISHTI_CPS_FOUNDATION,IITI Drishti CPS foundation
DEPARTMENT_OF_SCIENCE_AND_TECHNOLOGY_DST,Department of Science and Technology (DST)
DEPARTMENT_OF_SCIENCE_AND_TECHNOLOGY_DST_SOURCE_DEPARTMENT_OF_SCIENCE_AND_TECHNOLOGY_DST,Department of Science and Technology (DST) Source: Department of Science and Technology (DST)
DEPARTMENT_OF_SCIENCE_AND_TECHNOLOGY_DST_GOVT_OF_INDIA_MINISTRY_OF_EDUCATION_MOE_GOVT_OF_INDIA,"Department of Science and Technology (DST), Govt of India Ministry of Education (MoE), Govt of India"
DEPARTMENT_OF_SCIENCE_AND_TECHNOLOGY_DST_GOVT_OF_INDIA,"Department of Science and Technology (DST), Govt. of India"
