Subdomain_ID,Subdomain
ACOUSTICS_AND_ULTRASONICS,Acoustics and Ultrasonics
AEROSPACE_ENGINEERING,Aerospace Engineering
AGRICULTURAL_AND_BIOLOGICAL_SCIENCES,Agricultural and Biological Sciences
ALGEBRA_AND_NUMBER_THEORY,Algebra and Number Theory
APPLIED_MATHEMATICS,Applied Mathematics
ARCHITECTURE,Architecture
ARTIFICIAL_INTELLIGENCE,Artificial Intelligence
ARTS_AND_HUMANITIES,Arts and Humanities
ASTRONOMY_AND_ASTROPHYSICS,Astronomy and Astrophysics
ATOMIC_AND_MOLECULAR_PHYSICS_AND_OPTICS,"Atomic and Molecular Physics, and Optics"
AUTOMOTIVE_ENGINEERING,Automotive Engineering
BIOCHEMISTRY_GENETICS_AND_MOLECULAR_BIOLOGY,"Biochemistry, Genetics and Molecular Biology"
BIOMATERIALS,Biomaterials
BIOMEDICAL_ENGINEERING,Biomedical Engineering
BUILDING_AND_CONSTRUCTION,Building and Construction
BUSINESS_MANAGEMENT_AND_ACCOUNTING,"Business, Management and Accounting"
CSE,CSE
CERAMICS_AND_COMPOSITES,Ceramics and Composites
CHEMICAL_ENGINEERING,Chemical Engineering
CHEMISTRY,Chemistry
CIVIL_AND_STRUCTURAL_ENGINEERING,Civil and Structural Engineering
COMPUTATIONAL_MATHEMATICS,Computational Mathematics
COMPUTATIONAL_MECHANICS,Computational Mechanics
COMPUTATIONAL_THEORY_AND_MATHEMATICS,Computational Theory and Mathematics
COMPUTER_GRAPHICS_AND_COMPUTERAIDED_DESIGN,Computer Graphics and Computer-Aided Design
COMPUTER_NETWORKS_AND_COMMUNICATIONS,Computer Networks and Communications
COMPUTER_SCIENCE,Computer Science
COMPUTER_SCIENCE_APPLICATIONS,Computer Science Applications
COMPUTER_VISION_AND_PATTERN_RECOGNITION,Computer Vision and Pattern Recognition
CONDENSED_MATTER_PHYSICS,Condensed Matter Physics
CONTROL_AND_SYSTEMS_ENGINEERING,Control and Systems Engineering
DECISION_SCIENCES,Decision Sciences
DISCRETE_MATHEMATICS_AND_COMBINATORICS,Discrete Mathematics and Combinatorics
ECE,ECE
EEE,EEE
ETE,ETE
EARTH_AND_PLANETARY_SCIENCES,Earth and Planetary Sciences
ECONOMICS_ECONOMETRICS_AND_FINANCE,"Economics, Econometrics and Finance"
ELECTRICAL_AND_ELECTRONIC_ENGINEERING,Electrical and Electronic Engineering
ELECTRONIC_OPTICAL_AND_MAGNETIC_MATERIALS,"Electronic, Optical and Magnetic Materials"
ENERGY,Energy
ENERGY_ENGINEERING_AND_POWER_TECHNOLOGY,Energy Engineering and Power Technology
ENGINEERING,Engineering
ENVIRONMENTAL_SCIENCE,Environmental Science
GENERAL_MATERIALS_SCIENCE,General Materials Science
GEOMETRY_AND_TOPOLOGY,Geometry and Topology
HARDWARE_AND_ARCHITECTURE,Hardware and Architecture
HEALTH_PROFESSIONS,Health Professions
HUMANCOMPUTER_INTERACTION,Human-Computer Interaction
ISE,ISE
IMMUNOLOGY_AND_MICROBIOLOGY,Immunology and Microbiology
INDUSTRIAL_AND_MANUFACTURING_ENGINEERING,Industrial and Manufacturing Engineering
INFORMATION_SYSTEMS,Information Systems
INSTRUMENTATION,Instrumentation
MATH,MATH
MATERIALS_CHEMISTRY,Materials Chemistry
MATERIALS_SCIENCE,Materials Science
MATHEMATICAL_PHYSICS,Mathematical Physics
MATHEMATICS,Mathematics
MECHANICAL_ENGINEERING,Mechanical Engineering
MECHANICS_OF_MATERIALS,Mechanics of Materials
MEDIA_TECHNOLOGY,Media Technology
MEDICINE,Medicine
METALS_AND_ALLOYS,Metals and Alloys
MODELING_AND_SIMULATION,Modeling and Simulation
NEUROSCIENCE,Neuroscience
NUMERICAL_ANALYSIS,Numerical Analysis
NURSING,Nursing
OCEAN_ENGINEERING,Ocean Engineering
PHY,PHY
PHARMACOLOGY_TOXICOLOGY_AND_PHARMACEUTICS,"Pharmacology, Toxicology and Pharmaceutics"
PHYSICS_AND_ASTRONOMY,Physics and Astronomy
POLYMERS_AND_PLASTICS,Polymers and Plastics
PSYCHOLOGY,Psychology
RADIATION,Radiation
RENEWABLE_ENERGY_SUSTAINABILITY_AND_THE_ENVIRONMENT,"Renewable Energy, Sustainability and the Environment"
SAFETY_RISK_RELIABILITY_AND_QUALITY,"Safety, Risk, Reliability and Quality"
SIGNAL_PROCESSING,Signal Processing
SOCIAL_SCIENCES,Social Sciences
SOFTWARE,Software
STATISTICAL_AND_NONLINEAR_PHYSICS,Statistical and Nonlinear Physics
STATISTICS_AND_PROBABILITY,Statistics and Probability
SURFACES_COATINGS_AND_FILMS,"Surfaces, Coatings and Films"
THEORETICAL_COMPUTER_SCIENCE,Theoretical Computer Science
UNKNOWN,
