Person_ID,Publication_ID
MOHAMMAD_KHAZAEI,PUB_000001
AVANISH_MISHRA,PUB_000001
NATARAJAN_SATHIYAMOORTHY_VENKATARAMANAN,PUB_000001
ABHISHEK_K_SINGH,PUB_000001
SEIJI_YUNOKI,PUB_000001
ANANYA_GHATAK,PUB_000002
TANMOY_DAS,PUB_000002
G_D_SURABHI,PUB_000003
ROSE_MARY_AUGUSTINE,PUB_000003
A_CHOCKALINGAM,PUB_000003
DEBASISH_SARKAR,PUB_000004
DEBANJAN_DAS,PUB_000004
SHYAMASHIS_DAS,PUB_000004
ANKIT_KUMAR,PUB_000004
SATISH_PATIL,PUB_000004
G_D_SURABHI,PUB_000005
A_CHOCKALINGAM,PUB_000005
G_D_SURABHI,PUB_000006
ROSE_MARY_AUGUSTINE,PUB_000006
A_CHOCKALINGAM,PUB_000006
GUSTAV_ANDERSSON,PUB_000007
BALADITYA_SURI,PUB_000007
LINGZHEN_GUO,PUB_000007
THOMAS_AREF,PUB_000007
PER_DELSING,PUB_000007
SUMIT_BAHL,PUB_000008
SUMEET_MISHRA,PUB_000008
KU_YAZAR,PUB_000008
IMMANUEL_RAJU_KOLA,PUB_000008
KAUSHIK_CHATTERJEE,PUB_000008
ANAND_MISHRA,PUB_000009
SHASHANK_SHEKHAR,PUB_000009
AJEET_KUMAR_SINGH,PUB_000009
ANIRBAN_CHAKRABORTY,PUB_000009
RAJESHWAR_R_ELETI,PUB_000010
ATUL_H_CHOKSHI,PUB_000010
AKINOBU_SHIBATA,PUB_000010
NOBUHIRO_TSUJI,PUB_000010
FRANCISCO_JA_LOUREIRO,PUB_000011
NARENDAR_NASANI,PUB_000011
G_SRINIVAS_REDDY,PUB_000011
N_R_MUNIRATHNAM,PUB_000011
DUNCAN_P_FAGG,PUB_000011
N_SETHULAKSHMI,PUB_000012
AVANISH_MISHRA,PUB_000012
PULICKEL_M_AJAYAN,PUB_000012
YOSHIYUKI_KAWAZOE,PUB_000012
AJIT_K_ROY,PUB_000012
TANMOY_GHOSH,PUB_000013
MANISHA_SAMANTA,PUB_000013
AASTHA_VASDEV,PUB_000013
KAPILDEB_DOLUI,PUB_000013
J_GHATAK,PUB_000013
BHAGABAN_BEHERA,PUB_000014
RATHIN_K_JOSHI,PUB_000014
G_K_ANIL_VISHNU,PUB_000014
SANJAY_BHALERAO,PUB_000014
HARDIK_J_PANDYA,PUB_000014
ANA_I_PÉREZNEIRA,PUB_000015
MIGUEL_ÁNGEL_VÁZQUEZ,PUB_000015
MR_BHAVANI_SHANKAR,PUB_000015
SINA_MALEKI,PUB_000015
SYMEON_CHATZINOTAS,PUB_000015
RAVINDRA_KUMAR_JHA,PUB_000016
JOSTIN_VINROY_DCOSTA,PUB_000016
NEHA_SAKHUJA,PUB_000016
NAVAKANTA_BHAT,PUB_000016
SANKET_SHAH,PUB_000017
ANAND_MISHRA,PUB_000017
NAGANAND_YADATI,PUB_000017
PARTHA_TALUKDAR,PUB_000017
DEVRAJ_MANDAL,PUB_000018
SANATH_NARAYAN,PUB_000018
SAI_KUMAR_DWIVEDI,PUB_000018
VIKRAM_GUPTA,PUB_000018
SHUAIB_AHMED,PUB_000018
PRAFULL_PANDEY,PUB_000019
SURENDRA_KUMAR_MAKINENI,PUB_000019
BAPTISTE_GAULT,PUB_000019
KAMANIO_CHATTOPADHYAY,PUB_000019
SAURABH_KUMAR,PUB_000020
MOHAMMAD_FAISAL_UMAR,PUB_000020
ANAS_SAIFI,PUB_000020
SUVEEN_KUMAR,PUB_000020
SHINE_AUGUSTINE,PUB_000020
VIKRAM_JAIN,PUB_000021
KU_YAZAR,PUB_000021
S_MUTHUKUMARAN,PUB_000021
XIANGHAI_MENG,PUB_000022
TRIBHUWAN_PANDEY,PUB_000022
JIHOON_JEONG,PUB_000022
SUYU_FU,PUB_000022
JING_YANG,PUB_000022
JOGENDRA_NATH_KUNDU,PUB_000023
MAHARSHI_GOR,PUB_000023
R_VENKATESH_BABU,PUB_000023
NAMRATA_SINGH,PUB_000024
MOHAMMED_AZHARUDDIN_SAVANUR,PUB_000024
SHUBHI_SRIVASTAVA,PUB_000024
PATRICK_DSILVA,PUB_000024
GOVINDASAMY_MUGESH,PUB_000024
SUBRATA_PANDIT,PUB_000025
PRADIPTA_BEHERA,PUB_000025
JAGABANDHU_SAHOO,PUB_000025
MRINMOY_DE,PUB_000025
PRAFULL_PANDEY,PUB_000026
S_KASHYAP,PUB_000026
D_PALANISAMY,PUB_000026
AMIT_SHARMA,PUB_000026
KAMANIO_CHATTOPADHYAY,PUB_000026
BS_MURTY,PUB_000027
JIENWEI_YEH,PUB_000027
SARATH_RANGANATHAN,PUB_000027
PP_BHATTACHARJEE,PUB_000027
K_SAI_JYOTHEENDER,PUB_000028
CHANDAN_SRIVASTAVA,PUB_000028
PRIYANKA_MANDIKAL,PUB_000029
VENKATESH_BABU_RADHAKRISHNAN,PUB_000029
BS_MURTY,PUB_000030
JIENWEI_YEH,PUB_000030
SARATH_RANGANATHAN,PUB_000030
PP_BHATTACHARJEE,PUB_000030
DEEPAK_BABU_SAM,PUB_000031
NEERAJ_N_SAJJAN,PUB_000031
HIMANSHU_MAURYA,PUB_000031
R_VENKATESH_BABU,PUB_000031
EKASHMI_RATHORE,PUB_000032
RINKLE_JUNEJA,PUB_000032
SEAN_P_CULVER,PUB_000032
NICOLÒ_MINAFRA,PUB_000032
ABHISHEK_K_SINGH,PUB_000032
RAMESH_DEVARAPALLI,PUB_000033
SOURABH_KADAMBI,PUB_000033
CHUNTEH_CHEN,PUB_000033
GAMIDI_RAMA_KRISHNA,PUB_000033
K_BAL_RAJU,PUB_000033
TATHAGATA_PAUL,PUB_000034
TANWEER_AHMED,PUB_000034
KRISHNA_KANHAIYA_TIWARI,PUB_000034
CHETAN_SINGH_THAKUR,PUB_000034
ARINDAM_GHOSH,PUB_000034
POONAM_PANDEY,PUB_000035
A_SAWANT,PUB_000035
B_NITHIN,PUB_000035
ZIRONG_PENG,PUB_000035
SURENDRA_KUMAR_MAKINENI,PUB_000035
NIKHIL_B_GAIKWAD,PUB_000036
VARUN_TIWARI,PUB_000036
AVINASH_G_KESKAR,PUB_000036
N_C_SHIVAPRAKASH,PUB_000036
SAWAN_KUMAR,PUB_000037
SHARMISTHA_JAT,PUB_000037
