Person_ID,Thesis_ID
GEENA_GEORGE,516172
N_SURESHA,504572
D_R_SASI_REKHA,504574
SHIVAKUMAR_R,504575
SHARAD_S,516315
B_S_SOWMYA_LAKSHMI,516624
JAGANNATHA_K_B,475827
MADHURI_P_RAO,501379
YATISH_MUDDAPPA,501380
DEEPIKA_B_V,515986
KALNOOR_GAURI,529093
M_SANTOSHI_KUMARI,475826
M_SANTOSHI_KUMARI,511261
ANTHONY_CHRISTY_MELSON,515978
JITHA_P_T,516317
NALINA_M_M,516318
M_RAJANI_SHREE,516626
ANITHA_H_M,536358
ANITHA_H_M,536361
FEROZ_MORAB,621398
SUMANTHA_H_S,621401
POOJITHA_C_G,621402
MAHARUDRA,621420
ROOPA_D,621795
SUMANTHA_H_S,621797
SHIVKUMAR_M,621397
SANTOSH_GOTAGUNAKI,621791
ANUSHA_T_M,621796
RAJESH_P,684698
HARSHA_S_V,679312
RAMACHANDRA_BALLARY,684699
SUDHAKAR_K_N,453534
ANAND_R,453540
AJEY_S_N_R,453624
SHANTHI_M_B,453631
NAVEEN_KUMAR_G_N,453632
NITHYA_B,448991
CHETAN_H,453539
SUGANYA_S,451246
KIRANBABU_T_S,453537
ARCHANA_NAWANDHAR,453538
SWATHI_Y,453541
SHYAMASUNDAR_L_B,448126
SABARMATHI_G,448151
SAVITHA_S,448710
HARSHA,453529
SWARNAMUGI_M,453535
DANTHULURI_SUDHA,453536
KANTHIMATHI_S,453563
PADMAVATHY_N,575810
TARA_PRAKASH_GOWDAR,593036
SANGEETHA_RAMAMOORTHY,531253
PILLAI_RAHUL_RAVINDRAN,531256
SRIDEVI_S,531258
RICHA_TENGSHE,531260
PRAJWALA_T_R,531261
PAPPA_M,531274
DIVYA_VISWANATH,531275
MOHAN_KUMAR_K,531276
VENKATESH_NAIK,531280
MANIKANDAN_H,531282
G_V_SHIVA_REDDY,531286
MR_PUTTARAJU_T_D,531287
PREETHA_S,531291
SHAMITHA_S_K,534994
NIKHITHA_PAI,575809
SREELAKSHMI_GOPALAKRISHNAN,556899
DIVYA_SHARMA,556900
ISHANI_MISHRA,556901
ALAMURU_SUSMITHA,556902
RUBINI_PE,577610
ROSLINE_MARY_A,577611
HANUMESHA_A_G,584203
THANMAYALAXMI_D,599575
DIVYA_R,612953
SUTAPA_SARKAR,623372
POONAM_VIJAY_TIJARE,650776
SAGARIKA_BEHERA,656271
KAMNA_R_CHOUDHURY,663557
BALACHANDAR_S,668347
PREETHAM_J,452058
SATISH_SHETH,452320
MEHRUNNISA_BEGUM_S_P,452326
VIJAYA_S_M,452377
SHARON_CHRISTA_I_L,452442
SURIYA_BEGUM,452444
VENKATESHA_G,452445
BISHWAJIT_PAL,452453
PAVAN_POOJAR,452511
MEENAKSHI_SUNDARAM_A,452565
GIRISH_B,452243
SUREKHA_RAJU_GONDKAR,452282
RAMGOPAL_SEGU,452378
SOWMYA_H_N,452446
SHASHI_RAJ_K,452452
MAHESH_KUMAR_N,452454
RAVINDRA_S,452456
VIVEK_BHANDARKAR_V_N,452457
SHUBHANGI_MILIND_JOSHI,452458
JACOB_JOHN,452459
C_USHA,452497
VASANTH_KUMAR_R,452770
ANIL_KUMAR_R,454590
JAWAHAR_J,455153
ROOPA_FARSHI,452263
UMA_B,452273
SAPNA_B_K,452450
SUSHMA_T,452567
BALAJI_RAMAKRISHNAN,454865
ROSHNY_N_KURUP,454932
PRAKASHA_H_T,452447
JYOTHI_H_R,452448
SURESH_BABU_V,452449
DEEPA_N_P,452451
NITHIN_V_N,453490
VAIDEHI_M,454859
HARISH_KUMAR_N,454936
ACHARYA_SRIJAN,426407
ANOOP_A_M,429335
SHARMA_ANAND,426390
RANJAN_B_S_C,426519
SRILATHA_N,428618
PRAYAG_GOWGI_S_K,428623
RAJAMANICKAM_KUPPURAJ,429507
ATHUL_JOSEPH,428628
PALATHINGAL_SAFVAN,428633
JAIRAJA_R,426620
ACHARYA_SHAKUNTALA,430144
AMBADI_NIRANJANA,427122
MATHAVARAJ_S,427119
DAS_SAURABH_MOHAN,427118
SOLANKE_SWANAND_VISHNU,427123
MUDUNURI_SIVARAM_PRASAD,427114
DEY_PANKAJ,427113
PANWAR_JATIN,426528
MITRA_ABHIJIT,426646
JAIN_NOOPUR,426638
LAL_DEVI,426675
BASU_PRANAB,430152
CHAVHAN_SURESH,426597
GARUD_MEERA,444775
AWASTHI_NAVCHETAN,426592
PAL_ANIRBAN,426590
SHIVA_KUMAR_H_R,426731
DUTTA_SUDAKSHINA,428405
AHMAD_SYED_SHAHJAHAN,428407
BHARADWAJ_PALLAVI,428408
PATEL_NAGABHUSHAN_P_M,428404
BRAHMA_MADHUCHHANDA,428398
KIRTHI_SURESH_K,428399
CHOUDHARY_HARISH_KUMAR,428388
KHANDELWAL_ASHISH,428386
ERING_PINOM,428402
DASH_ANEESH,426766
MANJARI_GEETHA_K,430602
BIBHANSHU_NITISH,426763
MAYAKUNTLA_SAI_KIRAN,428376
JOSEPH_GEETHU,428374
GHOSH_SANJAY,428371
BAJAJ_KETAN,426465
NARAYANA_GOPALAKRISHNA,427199
KRISHNA_RAJ_R,429663
CHINMAYANANDA_A,426756
KARAT_NUJOOM_SAGEER,426635
SINGH_PREM_PRAKASH,426754
FRANCIS_BIBEN,428656
DEEP_SNEH,430433
SAMANTARAY_PARESH_KUMAR,430438
NARESH_YALAGALA,430432
LAGISETTY_RAVIKUMAR,425647
MENON_AISHWARYA_VIJAYAN,430437
PRIYANKA_B_N,430426
AGNIHOTRI_RUCHIKA,430429
SURAJ_K,425794
KATTI_PRAJAKTA_PRATHAMKUMAR,429958
KUMAR_RAJEEV,429965
