Patent_ID,Field_ID
PAT_00001,POLYMER_TECHNOLOGY
PAT_00002,ELECTRONICS
PAT_00003,POLYMER_TECHNOLOGY
PAT_00004,COMPUTER_SCIENCE
PAT_00005,POLYMER_TECHNOLOGY
PAT_00006,POLYMER_TECHNOLOGY
PAT_00007,CHEMICAL
PAT_00008,ELECTRICAL
PAT_00009,CHEMICAL
PAT_00010,MECHANICAL_ENGINEERING
PAT_00011,PHYSICS
PAT_00012,CHEMICAL
PAT_00013,CHEMICAL
PAT_00014,CHEMICAL
PAT_00015,ELECTRONICS
PAT_00016,ELECTRONICS
PAT_00017,POLYMER_TECHNOLOGY
PAT_00018,CHEMICAL
PAT_00019,CHEMICAL
PAT_00020,CHEMICAL
PAT_00021,MECHANICAL_ENGINEERING
PAT_00022,COMMUNICATION
PAT_00023,BIOCHEMISTRY
PAT_00024,CHEMICAL
PAT_00025,CHEMICAL
PAT_00026,CHEMICAL
PAT_00027,CHEMICAL
PAT_00028,ELECTRONICS
PAT_00029,ELECTRONICS
PAT_00030,BIOMEDICAL_ENGINEERING
PAT_00031,BIOTECHNOLOGY
PAT_00032,MECHANICAL_ENGINEERING
PAT_00033,CHEMICAL
PAT_00034,MECHANICAL_ENGINEERING
PAT_00035,ELECTRONICS
PAT_00036,CHEMICAL
PAT_00037,POLYMER_TECHNOLOGY
PAT_00038,ELECTRICAL
PAT_00039,MECHANICAL_ENGINEERING
PAT_00040,CHEMICAL
PAT_00041,CHEMICAL
PAT_00042,POLYMER_TECHNOLOGY
PAT_00043,ELECTRONICS
PAT_00044,MECHANICAL_ENGINEERING
PAT_00045,PHYSICS
PAT_00046,BIOMEDICAL_ENGINEERING
PAT_00047,ELECTRONICS
PAT_00048,POLYMER_TECHNOLOGY
PAT_00049,CHEMICAL
PAT_00050,CHEMICAL
PAT_00051,BIOCHEMISTRY
PAT_00052,MECHANICAL_ENGINEERING
PAT_00053,POLYMER_TECHNOLOGY
PAT_00054,POLYMER_TECHNOLOGY
PAT_00055,CHEMICAL
PAT_00056,ELECTRONICS
PAT_00057,BIOMEDICAL_ENGINEERING
PAT_00058,CHEMICAL
PAT_00059,ELECTRONICS
PAT_00060,BIOMEDICAL_ENGINEERING
PAT_00061,MECHANICAL_ENGINEERING
PAT_00062,BIOCHEMISTRY
PAT_00063,MECHANICAL_ENGINEERING
PAT_00064,CHEMICAL
PAT_00065,ELECTRICAL
PAT_00066,COMMUNICATION
PAT_00067,ELECTRICAL
PAT_00068,BIOCHEMISTRY
PAT_00069,CHEMICAL
PAT_00070,MECHANICAL_ENGINEERING
PAT_00071,ELECTRICAL
PAT_00072,MECHANICAL_ENGINEERING
PAT_00073,ELECTRONICS
PAT_00074,CHEMICAL
PAT_00075,POLYMER_TECHNOLOGY
PAT_00076,ELECTRICAL
PAT_00077,CHEMICAL
PAT_00078,MECHANICAL_ENGINEERING
PAT_00079,BIOTECHNOLOGY
PAT_00080,ELECTRONICS
PAT_00081,ELECTRONICS
PAT_00082,COMPUTER_SCIENCE
PAT_00083,MECHANICAL_ENGINEERING
PAT_00084,BIOMEDICAL_ENGINEERING
PAT_00085,ELECTRICAL
PAT_00086,POLYMER_TECHNOLOGY
PAT_00087,MECHANICAL_ENGINEERING
PAT_00088,COMPUTER_SCIENCE
PAT_00089,BIOTECHNOLOGY
PAT_00090,POLYMER_TECHNOLOGY
PAT_00091,POLYMER_TECHNOLOGY
PAT_00092,MECHANICAL_ENGINEERING
PAT_00093,COMMUNICATION
PAT_00094,POLYMER_TECHNOLOGY
PAT_00095,PHYSICS
PAT_00096,CHEMICAL
PAT_00097,CHEMICAL
PAT_00098,MECHANICAL_ENGINEERING
PAT_00099,POLYMER_TECHNOLOGY
PAT_00100,CHEMICAL
PAT_00101,CHEMICAL
PAT_00102,MECHANICAL_ENGINEERING
PAT_00103,ELECTRICAL
PAT_00104,ELECTRICAL
PAT_00105,BIOMEDICAL_ENGINEERING
PAT_00106,BIOMEDICAL_ENGINEERING
PAT_00107,CHEMICAL
