Department_ID,Grant_ID
ELECTRONICS_AND_COMMUNICATION_ENGINEERING,GRANT_00001
MECHANICAL_ENGINEERING,GRANT_00002
ELECTRICAL_ENGINEERING,GRANT_00003
COMPUTER_SCIENCE_AND_AUTOMATION,GRANT_00004
ELECTRICAL_ENGINEERING,GRANT_00005
ELECTRONICS_AND_COMMUNICATION_ENGINEERING,GRANT_00006
COMPUTER_SCIENCE_AND_ENGINEERING,GRANT_00007
MECHANICAL_ENGINEERING,GRANT_00008
ELECTRONICS_AND_COMMUNICATION_ENGINEERING,GRANT_00009
MECHANICAL_ENGINEERING,GRANT_00010
MECHANICAL_ENGINEERING,GRANT_00011
CIVIL_ENGINEERING,GRANT_00012
ELECTRONICS_AND_COMMUNICATION_ENGINEERING,GRANT_00013
COMPUTER_SCIENCE_AND_AUTOMATION,GRANT_00014
CIVIL_ENGINEERING,GRANT_00015
CIVIL_ENGINEERING,GRANT_00016
ELECTRONICS_AND_COMMUNICATION_ENGINEERING,GRANT_00017
MECHANICAL_ENGINEERING,GRANT_00018
ELECTRICAL_ENGINEERING,GRANT_00019
ELECTRONICS_AND_COMMUNICATION_ENGINEERING,GRANT_00020
ELECTRICAL_ENGINEERING,GRANT_00021
ELECTRONICS_AND_COMMUNICATION_ENGINEERING,GRANT_00022
CIVIL_ENGINEERING,GRANT_00023
ELECTRONICS_AND_COMMUNICATION_ENGINEERING,GRANT_00024
MATHEMATICS,GRANT_00025
ELECTRONICS_AND_COMMUNICATION_ENGINEERING,GRANT_00026
MATHEMATICS,GRANT_00027
MATHEMATICS,GRANT_00028
ELECTRONICS_AND_COMMUNICATION_ENGINEERING,GRANT_00029
CIVIL_ENGINEERING,GRANT_00030
CIVIL_ENGINEERING,GRANT_00031
PHYSICS,GRANT_00032
ELECTRONICS_AND_COMMUNICATION_ENGINEERING,GRANT_00033
CIVIL_ENGINEERING,GRANT_00034
CIVIL_ENGINEERING,GRANT_00035
CIVIL_ENGINEERING,GRANT_00036
COMPUTER_SCIENCE_AND_ENGINEERING,GRANT_00037
CIVIL_ENGINEERING,GRANT_00038
COMPUTER_SCIENCE_AND_AUTOMATION,GRANT_00039
PHYSICS,GRANT_00040
MOLECULAR_BIOPHYSICS_UNIT,GRANT_00041
CIVIL_ENGINEERING,GRANT_00042
MECHANICAL_ENGINEERING,GRANT_00043
MECHANICAL_ENGINEERING,GRANT_00044
PHYSICS,GRANT_00045
ELECTRONICS_AND_COMMUNICATION_ENGINEERING,GRANT_00046
ELECTRONICS_AND_COMMUNICATION_ENGINEERING,GRANT_00047
ELECTRICAL_ENGINEERING,GRANT_00048
MECHANICAL_ENGINEERING,GRANT_00049
MECHANICAL_ENGINEERING,GRANT_00050
ELECTRICAL_ENGINEERING,GRANT_00051
PHYSICS,GRANT_00052
PHYSICS,GRANT_00053
MATHEMATICS,GRANT_00054
PHYSICS,GRANT_00055
MATHEMATICS,GRANT_00056
MATHEMATICS,GRANT_00057
CIVIL_ENGINEERING,GRANT_00058
CIVIL_ENGINEERING,GRANT_00059
PHYSICS,GRANT_00060
PHYSICS,GRANT_00061
CIVIL_ENGINEERING,GRANT_00062
PHYSICS,GRANT_00063
ELECTRONICS_AND_COMMUNICATION_ENGINEERING,GRANT_00064
MECHANICAL_ENGINEERING,GRANT_00065
MECHANICAL_ENGINEERING,GRANT_00066
MATHEMATICS,GRANT_00067
MECHANICAL_ENGINEERING,GRANT_00068
ELECTRONICS_AND_COMMUNICATION_ENGINEERING,GRANT_00069
MECHANICAL_ENGINEERING,GRANT_00070
MECHANICAL_ENGINEERING,GRANT_00071
ELECTRONICS_AND_COMMUNICATION_ENGINEERING,GRANT_00072
MECHANICAL_ENGINEERING,GRANT_00073
COMPUTER_SCIENCE_AND_AUTOMATION,GRANT_00074
INSTRUMENTATION_AND_APPLIED_PHYSICS,GRANT_00075
ELECTRONICS_AND_COMMUNICATION_ENGINEERING,GRANT_00076
PHYSICS,GRANT_00077
ELECTRONICS_AND_COMMUNICATION_ENGINEERING,GRANT_00078
PHYSICS,GRANT_00079
ELECTRONICS_AND_COMMUNICATION_ENGINEERING,GRANT_00080
MECHANICAL_ENGINEERING,GRANT_00081
INSTRUMENTATION_AND_APPLIED_PHYSICS,GRANT_00082
PHYSICS,GRANT_00083
MECHANICAL_ENGINEERING,GRANT_00084
CIVIL_ENGINEERING,GRANT_00085
PHYSICS,GRANT_00086
CIVIL_ENGINEERING,GRANT_00087
MECHANICAL_ENGINEERING,GRANT_00088
MECHANICAL_ENGINEERING,GRANT_00089
MECHANICAL_ENGINEERING,GRANT_00090
ELECTRICAL_ENGINEERING,GRANT_00091
PHYSICS,GRANT_00092
CIVIL_ENGINEERING,GRANT_00093
ELECTRONICS_AND_COMMUNICATION_ENGINEERING,GRANT_00094
ELECTRONICS_AND_COMMUNICATION_ENGINEERING,GRANT_00095
PHYSICS,GRANT_00096
MECHANICAL_ENGINEERING,GRANT_00097
ELECTRONICS_AND_COMMUNICATION_ENGINEERING,GRANT_00098
PHYSICS,GRANT_00099
CIVIL_ENGINEERING,GRANT_00100
CIVIL_ENGINEERING,GRANT_00101
MECHANICAL_ENGINEERING,GRANT_00102
ELECTRONICS_AND_COMMUNICATION_ENGINEERING,GRANT_00103
PHYSICS,GRANT_00104
MECHANICAL_ENGINEERING,GRANT_00105
MATHEMATICS,GRANT_00106
PHYSICS,GRANT_00107
MATHEMATICS,GRANT_00108
MATHEMATICS,GRANT_00109
MATHEMATICS,GRANT_00110
MATHEMATICS,GRANT_00111
ELECTRICAL_ENGINEERING,GRANT_00112
ELECTRONICS_AND_COMMUNICATION_ENGINEERING,GRANT_00113
MECHANICAL_ENGINEERING,GRANT_00114
COMPUTER_SCIENCE_AND_AUTOMATION,GRANT_00115
MATHEMATICS,GRANT_00116
MATHEMATICS,GRANT_00117
ELECTRONICS_AND_COMMUNICATION_ENGINEERING,GRANT_00118
COMPUTER_SCIENCE_AND_ENGINEERING,GRANT_00119
ELECTRICAL_ENGINEERING,GRANT_00120
ELECTRONICS_AND_COMMUNICATION_ENGINEERING,GRANT_00121
COMPUTER_SCIENCE_AND_ENGINEERING,GRANT_00122
COMPUTER_SCIENCE_AND_ENGINEERING,GRANT_00123
COMPUTER_SCIENCE_AND_ENGINEERING,GRANT_00124
COMPUTER_SCIENCE_AND_ENGINEERING,GRANT_00125
ELECTRONICS_AND_COMMUNICATION_ENGINEERING,GRANT_00126
ELECTRONICS_AND_COMMUNICATION_ENGINEERING,GRANT_00127
MECHANICAL_ENGINEERING,GRANT_00128
ELECTRONICS_AND_COMMUNICATION_ENGINEERING,GRANT_00129
ELECTRONICS_AND_COMMUNICATION_ENGINEERING,GRANT_00130
ELECTRONICS_AND_COMMUNICATION_ENGINEERING,GRANT_00131
ELECTRONICS_AND_COMMUNICATION_ENGINEERING,GRANT_00132
ELECTRONICS_AND_COMMUNICATION_ENGINEERING,GRANT_00133
ELECTRICAL_ENGINEERING,GRANT_00134
ELECTRICAL_ENGINEERING,GRANT_00135
ELECTRICAL_ENGINEERING,GRANT_00136
ELECTRICAL_ENGINEERING,GRANT_00137
INSTRUMENTATION_AND_APPLIED_PHYSICS,GRANT_00138
INFORMATION_SCIENCE,GRANT_00139
ARTIFICIAL_INTELLIGENCE_AND_MACHINE_LEARNING,GRANT_00140
ARTIFICIAL_INTELLIGENCE_AND_MACHINE_LEARNING,GRANT_00141
ARTIFICIAL_INTELLIGENCE_AND_MACHINE_LEARNING,GRANT_00142
PHYSICS,GRANT_00143
PHYSICS,GRANT_00144
COMPUTER_SCIENCE_AND_ENGINEERING,GRANT_00145
COMPUTER_SCIENCE_AND_ENGINEERING,GRANT_00146
COMPUTER_SCIENCE_AND_ENGINEERING,GRANT_00147
ELECTRONICS_AND_COMMUNICATION_ENGINEERING,GRANT_00148
CIVIL_ENGINEERING,GRANT_00149
COMPUTER_SCIENCE_AND_ENGINEERING,GRANT_00150
COMPUTER_SCIENCE_AND_ENGINEERING,GRANT_00151
MECHANICAL_ENGINEERING,GRANT_00152
COMPUTER_SCIENCE_AND_ENGINEERING,GRANT_00153
COMPUTER_SCIENCE_AND_ENGINEERING,GRANT_00154
MECHANICAL_ENGINEERING,GRANT_00155
COMPUTER_SCIENCE_AND_ENGINEERING,GRANT_00156
COMPUTER_SCIENCE_AND_ENGINEERING,GRANT_00157
COMPUTER_SCIENCE_AND_ENGINEERING,GRANT_00158
COMPUTER_SCIENCE_AND_ENGINEERING,GRANT_00159
ELECTRONICS_AND_COMMUNICATION_ENGINEERING,GRANT_00160
COMPUTER_SCIENCE_AND_ENGINEERING,GRANT_00161
PHYSICS,GRANT_00162
CIVIL_ENGINEERING,GRANT_00163
CIVIL_ENGINEERING,GRANT_00164
CIVIL_ENGINEERING,GRANT_00165
CIVIL_ENGINEERING,GRANT_00166
ELECTRONICS_AND_COMMUNICATION_ENGINEERING,GRANT_00167
COMPUTER_SCIENCE_AND_ENGINEERING,GRANT_00168
COMPUTER_SCIENCE_AND_ENGINEERING,GRANT_00169
