Publication_ID,Domain_ID
PUB_000001,MATERIALS_SCIENCE
PUB_000002,PHYSICS_AND_ASTRONOMY
PUB_000003,ENGINEERING
PUB_000004,MATERIALS_SCIENCE
PUB_000005,ENGINEERING
PUB_000006,ENGINEERING
PUB_000007,PHYSICS_AND_ASTRONOMY
PUB_000008,ENGINEERING
PUB_000009,COMPUTER_SCIENCE
PUB_000010,ENGINEERING
PUB_000011,MATERIALS_SCIENCE
PUB_000012,MATERIALS_SCIENCE
PUB_000013,MATERIALS_SCIENCE
PUB_000014,ENGINEERING
PUB_000015,ENGINEERING
PUB_000016,ENGINEERING
PUB_000017,COMPUTER_SCIENCE
PUB_000018,COMPUTER_SCIENCE
PUB_000019,ENGINEERING
PUB_000020,ENGINEERING
PUB_000021,ENGINEERING
PUB_000022,MATERIALS_SCIENCE
PUB_000023,COMPUTER_SCIENCE
PUB_000024,MATERIALS_SCIENCE
PUB_000025,MATERIALS_SCIENCE
PUB_000026,ENGINEERING
PUB_000027,ENGINEERING
PUB_000028,ENGINEERING
PUB_000029,ENGINEERING
PUB_000030,ENGINEERING
PUB_000031,COMPUTER_SCIENCE
PUB_000032,MATERIALS_SCIENCE
PUB_000033,ENGINEERING
PUB_000034,ENGINEERING
PUB_000035,ENGINEERING
PUB_000036,COMPUTER_SCIENCE
PUB_000037,COMPUTER_SCIENCE
PUB_000038,ENGINEERING
PUB_000039,MATERIALS_SCIENCE
PUB_000040,MATERIALS_SCIENCE
PUB_000041,ENGINEERING
PUB_000042,MATERIALS_SCIENCE
PUB_000043,MATERIALS_SCIENCE
PUB_000044,MATERIALS_SCIENCE
PUB_000045,MATERIALS_SCIENCE
PUB_000046,ENGINEERING
PUB_000047,COMPUTER_SCIENCE
PUB_000048,ENGINEERING
PUB_000049,ENGINEERING
PUB_000050,ENGINEERING
PUB_000051,MATERIALS_SCIENCE
PUB_000052,MATERIALS_SCIENCE
PUB_000053,COMPUTER_SCIENCE
PUB_000054,MATERIALS_SCIENCE
PUB_000055,PHYSICS_AND_ASTRONOMY
PUB_000056,MATERIALS_SCIENCE
PUB_000057,COMPUTER_SCIENCE
PUB_000058,ENGINEERING
PUB_000059,ENGINEERING
PUB_000060,MATERIALS_SCIENCE
PUB_000061,MATERIALS_SCIENCE
PUB_000062,COMPUTER_SCIENCE
PUB_000063,PHYSICS_AND_ASTRONOMY
PUB_000064,ENGINEERING
PUB_000065,ENGINEERING
PUB_000066,PHYSICS_AND_ASTRONOMY
PUB_000067,MATERIALS_SCIENCE
PUB_000068,ENGINEERING
PUB_000069,COMPUTER_SCIENCE
PUB_000070,ENGINEERING
PUB_000071,MATERIALS_SCIENCE
PUB_000072,COMPUTER_SCIENCE
PUB_000073,PHYSICS_AND_ASTRONOMY
PUB_000074,ENGINEERING
PUB_000075,ENGINEERING
PUB_000076,MATERIALS_SCIENCE
PUB_000077,PHYSICS_AND_ASTRONOMY
PUB_000078,ENGINEERING
PUB_000079,ENGINEERING
PUB_000080,MATERIALS_SCIENCE
PUB_000081,ENGINEERING
PUB_000082,ENGINEERING
PUB_000083,MATERIALS_SCIENCE
PUB_000084,ENGINEERING
PUB_000085,ENGINEERING
PUB_000086,ENGINEERING
PUB_000087,ENGINEERING
PUB_000088,ENGINEERING
PUB_000089,MATERIALS_SCIENCE
PUB_000090,PHYSICS_AND_ASTRONOMY
PUB_000091,MATERIALS_SCIENCE
PUB_000092,MATERIALS_SCIENCE
PUB_000093,PHYSICS_AND_ASTRONOMY
PUB_000094,MATERIALS_SCIENCE
PUB_000095,ENGINEERING
PUB_000096,MATERIALS_SCIENCE
PUB_000097,ENGINEERING
PUB_000098,COMPUTER_SCIENCE
PUB_000099,MATERIALS_SCIENCE
PUB_000100,ENGINEERING
PUB_000101,ENGINEERING
PUB_000102,ENGINEERING
PUB_000103,MATERIALS_SCIENCE
PUB_000104,ENGINEERING
PUB_000105,MATERIALS_SCIENCE
PUB_000106,ENGINEERING
PUB_000107,ENGINEERING
PUB_000108,MATERIALS_SCIENCE
PUB_000109,MATERIALS_SCIENCE
PUB_000110,COMPUTER_SCIENCE
PUB_000111,ENGINEERING
PUB_000112,ENGINEERING
PUB_000113,ENGINEERING
PUB_000114,ENGINEERING
PUB_000115,COMPUTER_SCIENCE
PUB_000116,COMPUTER_SCIENCE
PUB_000117,MATERIALS_SCIENCE
PUB_000118,MATERIALS_SCIENCE
PUB_000119,COMPUTER_SCIENCE
PUB_000120,PHYSICS_AND_ASTRONOMY
PUB_000121,COMPUTER_SCIENCE
PUB_000122,ENGINEERING
PUB_000123,ENGINEERING
PUB_000124,ENGINEERING
PUB_000125,MATERIALS_SCIENCE
PUB_000126,MATERIALS_SCIENCE
PUB_000127,ENGINEERING
PUB_000128,MATERIALS_SCIENCE
PUB_000129,MATERIALS_SCIENCE
PUB_000130,ENGINEERING
PUB_000131,MATERIALS_SCIENCE
PUB_000132,ENGINEERING
PUB_000133,PHYSICS_AND_ASTRONOMY
PUB_000134,ENGINEERING
PUB_000135,MATERIALS_SCIENCE
PUB_000136,MATERIALS_SCIENCE
PUB_000137,ENGINEERING
PUB_000138,MATERIALS_SCIENCE
PUB_000139,PHYSICS_AND_ASTRONOMY
PUB_000140,COMPUTER_SCIENCE
PUB_000141,MATERIALS_SCIENCE
PUB_000142,ENGINEERING
PUB_000143,MATERIALS_SCIENCE
PUB_000144,PHYSICS_AND_ASTRONOMY
PUB_000145,ENGINEERING
PUB_000146,ENGINEERING
PUB_000147,ENGINEERING
PUB_000148,MATERIALS_SCIENCE
PUB_000149,PHYSICS_AND_ASTRONOMY
PUB_000150,ENGINEERING
