Institution_ID,Grant_ID
PES_UNIVERSITY,GRANT_00001
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,GRANT_00002
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,GRANT_00003
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,GRANT_00004
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,GRANT_00005
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,GRANT_00006
INTERNATIONAL_INSTITUTE_OF_INFORMATION_TECHNOLOGY_BANGALORE,GRANT_00007
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,GRANT_00008
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,GRANT_00009
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,GRANT_00010
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,GRANT_00011
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,GRANT_00012
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,GRANT_00013
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,GRANT_00014
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,GRANT_00015
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,GRANT_00016
INTERNATIONAL_INSTITUTE_OF_INFORMATION_TECHNOLOGY_BANGALORE,GRANT_00017
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,GRANT_00018
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,GRANT_00019
INTERNATIONAL_INSTITUTE_OF_INFORMATION_TECHNOLOGY_BANGALORE,GRANT_00020
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,GRANT_00021
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,GRANT_00022
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,GRANT_00023
INTERNATIONAL_INSTITUTE_OF_INFORMATION_TECHNOLOGY_BANGALORE,GRANT_00024
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,GRANT_00025
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,GRANT_00026
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,GRANT_00027
