Patent_ID,IPC_ID
PAT_00001,IPC01894
PAT_00001,IPC01897
PAT_00001,IPC01920
PAT_00001,IPC01976
PAT_00001,IPC01794
PAT_00001,IPC02018
PAT_00002,IPC04345
PAT_00002,IPC04338
PAT_00002,IPC04339
PAT_00002,IPC02005
PAT_00003,IPC01916
PAT_00003,IPC01248
PAT_00003,IPC01785
PAT_00003,IPC01254
PAT_00003,IPC01250
PAT_00004,IPC02917
PAT_00004,IPC03212
PAT_00004,IPC03219
PAT_00004,IPC02914
PAT_00004,IPC02918
PAT_00005,IPC01876
PAT_00005,IPC01006
PAT_00005,IPC01875
PAT_00005,IPC01880
PAT_00005,IPC01912
PAT_00006,IPC01876
PAT_00006,IPC01973
PAT_00006,IPC01958
PAT_00006,IPC01920
PAT_00006,IPC01944
PAT_00007,IPC01727
PAT_00007,IPC01731
PAT_00007,IPC01706
PAT_00007,IPC01708
PAT_00007,IPC01709
PAT_00008,IPC03935
PAT_00008,IPC03906
PAT_00009,IPC01768
PAT_00009,IPC00703
PAT_00009,IPC00580
PAT_00009,IPC00582
PAT_00009,IPC00583
PAT_00009,IPC00639
PAT_00009,IPC00641
PAT_00009,IPC00642
PAT_00010,IPC01132
PAT_00010,IPC01142
PAT_00010,IPC01139
PAT_00011,IPC02682
PAT_00011,IPC02649
PAT_00011,IPC00370
PAT_00011,IPC02622
PAT_00011,IPC02889
PAT_00012,IPC00525
PAT_00012,IPC00552
PAT_00012,IPC00700
PAT_00012,IPC00558
PAT_00012,IPC00588
PAT_00012,IPC00846
PAT_00013,IPC01003
PAT_00013,IPC02022
PAT_00013,IPC03756
PAT_00013,IPC01828
PAT_00013,IPC03680
PAT_00014,IPC01789
PAT_00014,IPC01832
PAT_00014,IPC01790
PAT_00014,IPC01816
PAT_00014,IPC01818
PAT_00014,IPC01824
PAT_00015,IPC03678
PAT_00015,IPC02196
PAT_00015,IPC03685
PAT_00015,IPC03691
PAT_00015,IPC03620
PAT_00016,IPC03679
PAT_00016,IPC03630
PAT_00016,IPC03668
PAT_00017,IPC01983
PAT_00017,IPC01224
PAT_00017,IPC01073
PAT_00017,IPC01891
PAT_00017,IPC01165
PAT_00018,IPC02184
PAT_00018,IPC02187
PAT_00018,IPC02016
PAT_00018,IPC02019
PAT_00018,IPC02193
PAT_00018,IPC01924
PAT_00018,IPC03573
PAT_00019,IPC04345
PAT_00019,IPC00992
PAT_00019,IPC00419
PAT_00019,IPC03603
PAT_00019,IPC04344
PAT_00020,IPC01807
PAT_00020,IPC01775
PAT_00020,IPC01777
PAT_00020,IPC01780
PAT_00020,IPC01782
PAT_00020,IPC01769
PAT_00020,IPC01770
PAT_00020,IPC01771
PAT_00021,IPC01194
PAT_00021,IPC01197
PAT_00021,IPC01196
PAT_00021,IPC01201
PAT_00021,IPC01204
PAT_00021,IPC01266
PAT_00021,IPC01270
PAT_00022,IPC04235
PAT_00022,IPC03856
PAT_00022,IPC04147
PAT_00023,IPC02143
PAT_00023,IPC02144
PAT_00023,IPC02146
PAT_00024,IPC00545
PAT_00024,IPC00546
PAT_00024,IPC00547
PAT_00024,IPC00549
PAT_00024,IPC00550
PAT_00024,IPC00555
PAT_00024,IPC00566
PAT_00024,IPC00571
PAT_00025,IPC03763
PAT_00025,IPC03764
PAT_00025,IPC03771
PAT_00025,IPC03761
PAT_00025,IPC03773
PAT_00025,IPC03774
PAT_00025,IPC03723
PAT_00025,IPC03726
PAT_00026,IPC02784
PAT_00026,IPC02728
PAT_00026,IPC02734
PAT_00026,IPC02735
PAT_00026,IPC02738
PAT_00026,IPC02750
PAT_00027,IPC02194
PAT_00027,IPC01264
PAT_00028,IPC03682
PAT_00028,IPC03463
PAT_00028,IPC03461
PAT_00029,IPC03631
PAT_00029,IPC03664
PAT_00029,IPC03680
PAT_00029,IPC03624
PAT_00029,IPC03637
PAT_00030,IPC00425
PAT_00030,IPC00424
PAT_00030,IPC00368
PAT_00030,IPC00426
PAT_00030,IPC00384
PAT_00031,IPC00628
PAT_00031,IPC02119
PAT_00031,IPC02101
PAT_00031,IPC02106
PAT_00032,IPC00391
PAT_00032,IPC00400
PAT_00032,IPC00378
PAT_00032,IPC00379
PAT_00033,IPC00845
PAT_00033,IPC01796
PAT_00033,IPC01797
PAT_00033,IPC01798
PAT_00033,IPC01799
PAT_00034,IPC02627
PAT_00034,IPC02477
PAT_00035,IPC03679
PAT_00035,IPC03630
PAT_00035,IPC03620
PAT_00036,IPC00572
PAT_00036,IPC01825
PAT_00036,IPC01834
PAT_00037,IPC01961
PAT_00037,IPC01922
PAT_00037,IPC01973
PAT_00037,IPC01980
PAT_00037,IPC01896
PAT_00038,IPC03786
PAT_00038,IPC03783
PAT_00038,IPC03784
PAT_00038,IPC03785
PAT_00039,IPC01226
PAT_00039,IPC01265
PAT_00039,IPC01193
PAT_00039,IPC01691
PAT_00039,IPC00140
PAT_00040,IPC01729
PAT_00040,IPC01706
PAT_00040,IPC01270
PAT_00040,IPC01265
PAT_00040,IPC01733
PAT_00041,IPC00978
PAT_00041,IPC00981
PAT_00041,IPC01656
PAT_00041,IPC01676
PAT_00042,IPC01894
PAT_00042,IPC01921
PAT_00042,IPC01947
PAT_00042,IPC01976
PAT_00043,IPC03994
PAT_00043,IPC03996
PAT_00043,IPC03991
PAT_00043,IPC04226
PAT_00043,IPC04047
PAT_00044,IPC01227
PAT_00044,IPC01216
PAT_00044,IPC01225
PAT_00044,IPC01255
PAT_00044,IPC01926
PAT_00045,IPC02697
PAT_00045,IPC02981
PAT_00045,IPC01438
PAT_00045,IPC03127
PAT_00045,IPC01309
PAT_00046,IPC00513
PAT_00046,IPC03382
PAT_00046,IPC00511
PAT_00046,IPC00368
PAT_00046,IPC00370
PAT_00047,IPC00779
PAT_00047,IPC00390
PAT_00047,IPC00793
PAT_00048,IPC01021
PAT_00048,IPC01919
PAT_00048,IPC01924
PAT_00048,IPC01164
PAT_00048,IPC01165
PAT_00049,IPC00695
PAT_00050,IPC00541
PAT_00050,IPC00542
PAT_00050,IPC00553
PAT_00050,IPC01810
PAT_00050,IPC00860
PAT_00050,IPC00862
PAT_00050,IPC00815
PAT_00050,IPC00837
PAT_00051,IPC02800
PAT_00051,IPC02803
PAT_00051,IPC02811
PAT_00051,IPC02738
PAT_00051,IPC02739
PAT_00052,IPC01334
PAT_00052,IPC01333
PAT_00052,IPC01367
PAT_00052,IPC01336
PAT_00052,IPC01335
PAT_00052,IPC03854
PAT_00053,IPC01918
PAT_00053,IPC01903
PAT_00053,IPC01943
PAT_00053,IPC01985
PAT_00053,IPC01892
PAT_00053,IPC01767
PAT_00054,IPC01974
PAT_00054,IPC01991
PAT_00055,IPC01823
PAT_00055,IPC04347
PAT_00056,IPC03622
PAT_00056,IPC03679
PAT_00056,IPC03640
PAT_00057,IPC01009
PAT_00057,IPC04200
PAT_00057,IPC00386
PAT_00057,IPC02936
PAT_00057,IPC02087
PAT_00058,IPC02759
PAT_00059,IPC02945
PAT_00059,IPC03694
PAT_00059,IPC03693
PAT_00060,IPC00779
PAT_00060,IPC00397
PAT_00061,IPC02461
PAT_00061,IPC02581
PAT_00061,IPC02580
PAT_00061,IPC02454
PAT_00062,IPC00824
PAT_00062,IPC01850
PAT_00062,IPC00819
PAT_00062,IPC00861
PAT_00062,IPC00813
PAT_00063,IPC01654
PAT_00063,IPC00968
PAT_00064,IPC02015
PAT_00065,IPC01339
PAT_00065,IPC03915
PAT_00065,IPC03877
PAT_00065,IPC03925
PAT_00065,IPC01342
PAT_00065,IPC03906
PAT_00066,IPC04089
PAT_00066,IPC04055
PAT_00067,IPC03931
PAT_00067,IPC03932
PAT_00067,IPC03925
PAT_00067,IPC03934
PAT_00067,IPC03906
PAT_00067,IPC03915
PAT_00067,IPC01344
PAT_00067,IPC03876
PAT_00068,IPC02133
PAT_00068,IPC02119
PAT_00069,IPC01830
PAT_00069,IPC01831
PAT_00069,IPC01829
PAT_00069,IPC02127
PAT_00070,IPC01584
PAT_00070,IPC01585
PAT_00071,IPC03925
PAT_00071,IPC03934
PAT_00071,IPC03929
PAT_00071,IPC03906
PAT_00071,IPC03867
PAT_00071,IPC03583
PAT_00072,IPC00064
PAT_00072,IPC00059
PAT_00072,IPC00063
PAT_00072,IPC00050
PAT_00073,IPC02691
PAT_00073,IPC03106
PAT_00073,IPC02662
PAT_00074,IPC01827
PAT_00074,IPC01815
PAT_00074,IPC00559
PAT_00074,IPC00560
PAT_00074,IPC00569
PAT_00075,IPC01896
PAT_00075,IPC01899
PAT_00075,IPC01945
PAT_00075,IPC01920
PAT_00075,IPC01805
PAT_00076,IPC03756
PAT_00076,IPC03764
PAT_00076,IPC02254
PAT_00076,IPC01976
PAT_00076,IPC01605
PAT_00077,IPC01813
PAT_00077,IPC00557
PAT_00077,IPC00551
PAT_00077,IPC01791
PAT_00077,IPC01811
PAT_00078,IPC02383
PAT_00078,IPC02429
PAT_00078,IPC02427
PAT_00078,IPC02430
PAT_00078,IPC02382
PAT_00079,IPC00591
PAT_00079,IPC00592
PAT_00079,IPC00661
PAT_00079,IPC00803
PAT_00079,IPC00804
PAT_00079,IPC01093
PAT_00079,IPC01604
PAT_00079,IPC01607
PAT_00080,IPC03632
PAT_00080,IPC03668
PAT_00080,IPC03679
PAT_00081,IPC04062
PAT_00081,IPC04285
PAT_00081,IPC04087
PAT_00081,IPC04064
PAT_00081,IPC04063
PAT_00082,IPC01539
PAT_00082,IPC03104
PAT_00082,IPC03219
PAT_00083,IPC02875
PAT_00083,IPC01426
PAT_00083,IPC03224
PAT_00083,IPC02867
PAT_00083,IPC00340
PAT_00084,IPC00393
PAT_00084,IPC00798
PAT_00084,IPC00799
PAT_00084,IPC03626
PAT_00085,IPC03733
PAT_00085,IPC03876
PAT_00085,IPC03906
PAT_00085,IPC03919
PAT_00086,IPC01973
PAT_00086,IPC01960
PAT_00086,IPC01876
PAT_00086,IPC01961
PAT_00086,IPC00551
PAT_00087,IPC00305
PAT_00087,IPC00306
PAT_00088,IPC03212
PAT_00088,IPC03219
PAT_00088,IPC03090
PAT_00088,IPC03511
PAT_00088,IPC03217
PAT_00089,IPC01653
PAT_00089,IPC01674
PAT_00089,IPC01693
PAT_00089,IPC01695
PAT_00089,IPC01696
PAT_00090,IPC01866
PAT_00090,IPC01868
PAT_00090,IPC01881
PAT_00090,IPC01963
PAT_00090,IPC01975
PAT_00090,IPC01976
PAT_00090,IPC01979
PAT_00090,IPC01983
PAT_00091,IPC02004
PAT_00091,IPC02007
PAT_00091,IPC02008
PAT_00091,IPC02009
PAT_00091,IPC02014
PAT_00091,IPC01933
PAT_00091,IPC01934
PAT_00092,IPC01193
PAT_00092,IPC01196
PAT_00092,IPC01197
PAT_00092,IPC01200
PAT_00092,IPC01266
PAT_00092,IPC01267
PAT_00093,IPC02867
PAT_00094,IPC00481
PAT_00094,IPC01954
PAT_00094,IPC01956
PAT_00094,IPC01220
PAT_00095,IPC02665
PAT_00095,IPC02666
PAT_00095,IPC02718
PAT_00095,IPC04047
PAT_00096,IPC00951
PAT_00096,IPC01653
PAT_00096,IPC01661
PAT_00096,IPC01696
PAT_00097,IPC01239
PAT_00097,IPC01701
PAT_00097,IPC01862
PAT_00097,IPC01924
PAT_00098,IPC02574
PAT_00098,IPC02582
PAT_00098,IPC02580
PAT_00098,IPC02581
PAT_00098,IPC02584
PAT_00099,IPC01877
PAT_00099,IPC01905
PAT_00099,IPC01917
PAT_00099,IPC01920
PAT_00099,IPC01967
PAT_00099,IPC01969
PAT_00099,IPC01972
PAT_00099,IPC01986
PAT_00100,IPC01649
PAT_00100,IPC03763
PAT_00100,IPC03769
PAT_00100,IPC03770
PAT_00100,IPC03773
PAT_00101,IPC01009
PAT_00101,IPC01602
PAT_00101,IPC01738
PAT_00101,IPC02758
PAT_00102,IPC01481
PAT_00102,IPC02467
PAT_00102,IPC02468
PAT_00103,IPC01343
PAT_00103,IPC03906
PAT_00103,IPC03914
PAT_00103,IPC03925
PAT_00103,IPC03937
PAT_00104,IPC02679
PAT_00104,IPC03736
PAT_00104,IPC03740
PAT_00104,IPC03744
PAT_00104,IPC03746
PAT_00104,IPC03747
PAT_00104,IPC03750
PAT_00104,IPC03876
PAT_00105,IPC00353
PAT_00105,IPC00354
