Thesis_ID,Keyword_ID
516172,KW00001
516172,KW00002
516172,KW00003
504572,KW00004
504572,KW00005
504572,KW00006
504574,KW00007
504574,KW00008
504574,KW00006
504575,KW00001
504575,KW00002
504575,KW00009
516315,KW00001
516315,KW00002
516315,KW00010
516624,KW00011
516624,KW00012
516624,KW00002
475827,KW00001
475827,KW00002
475827,KW00013
501379,KW00004
501379,KW00014
501379,KW00006
515986,KW00001
515986,KW00002
515986,KW00003
529093,KW00011
529093,KW00015
529093,KW00002
475826,KW00007
475826,KW00008
475826,KW00006
511261,KW00007
511261,KW00006
515978,KW00007
515978,KW00008
515978,KW00006
516317,KW00001
516317,KW00002
516317,KW00003
516318,KW00001
516318,KW00002
516318,KW00003
516626,KW00011
516626,KW00012
516626,KW00002
536358,KW00011
536358,KW00016
536358,KW00002
621398,KW00001
621398,KW00002
621398,KW00013
621401,KW00001
621401,KW00002
621401,KW00009
621402,KW00006
621402,KW00017
621402,KW00018
621420,KW00001
621420,KW00002
621420,KW00019
621795,KW00001
621795,KW00002
621795,KW00019
621397,KW00001
621397,KW00002
621397,KW00013
621791,KW00001
621791,KW00002
621791,KW00019
621796,KW00001
621796,KW00002
621796,KW00003
684698,KW00001
684698,KW00002
684698,KW00020
679312,KW00001
679312,KW00002
684699,KW00001
684699,KW00002
684699,KW00013
453534,KW00011
453534,KW00016
453534,KW00002
453540,KW00011
453540,KW00012
453540,KW00002
453624,KW00001
453624,KW00002
453624,KW00013
453631,KW00011
453631,KW00016
453631,KW00002
453632,KW00011
453632,KW00016
453632,KW00002
448991,KW00011
448991,KW00016
448991,KW00002
453539,KW00001
453539,KW00002
453539,KW00013
451246,KW00001
451246,KW00002
451246,KW00013
453537,KW00011
453537,KW00012
453537,KW00002
453538,KW00001
453538,KW00002
453538,KW00013
453541,KW00011
453541,KW00002
453541,KW00021
448126,KW00011
448126,KW00016
448126,KW00002
448151,KW00011
448151,KW00022
448151,KW00002
448710,KW00011
448710,KW00022
448710,KW00002
453529,KW00001
453529,KW00002
453529,KW00013
453535,KW00011
453535,KW00016
453535,KW00002
453536,KW00011
453536,KW00015
453536,KW00002
453563,KW00011
453563,KW00016
453563,KW00002
575810,KW00004
575810,KW00014
575810,KW00006
593036,KW00011
593036,KW00016
593036,KW00002
531253,KW00004
531253,KW00005
531253,KW00006
531256,KW00004
531256,KW00005
531256,KW00006
531258,KW00001
531258,KW00002
531258,KW00013
531260,KW00001
531260,KW00002
531260,KW00013
531261,KW00011
531261,KW00016
531261,KW00002
531274,KW00001
531274,KW00002
531274,KW00013
531275,KW00001
531275,KW00002
531275,KW00003
531276,KW00001
531276,KW00002
531276,KW00019
531280,KW00001
531280,KW00002
531280,KW00019
531282,KW00001
531282,KW00002
531282,KW00019
531286,KW00004
531286,KW00005
531286,KW00006
531287,KW00004
531287,KW00005
531287,KW00006
531291,KW00004
531291,KW00005
531291,KW00006
534994,KW00011
534994,KW00016
534994,KW00002
575809,KW00011
575809,KW00016
575809,KW00002
556899,KW00023
556899,KW00001
556899,KW00002
556900,KW00001
556900,KW00002
556900,KW00013
556901,KW00001
556901,KW00002
556901,KW00013
556902,KW00001
556902,KW00002
556902,KW00013
577610,KW00011
577610,KW00015
577610,KW00002
577611,KW00011
577611,KW00024
577611,KW00002
584203,KW00007
584203,KW00006
599575,KW00006
599575,KW00017
599575,KW00018
612953,KW00011
612953,KW00002
612953,KW00025
623372,KW00001
623372,KW00002
623372,KW00013
650776,KW00011
650776,KW00016
650776,KW00002
