Person_ID,Patent_ID
SANDEEP_TRIPATHI,PAT_00001
OM_PRAKASH,PAT_00001
SURYASARATHI_BOSE,PAT_00001
SHARMA_BHUMIKA,PAT_00002
AVASTHI_SUSHOBHAN,PAT_00002
ASHIS_HALDER,PAT_00003
SIDDHARTHA_DEEP_BHATTACHARJEE,PAT_00003
INDRANIL_DEY,PAT_00003
SURYASARATHI_BOSE,PAT_00003
SANKET_NARAYAN_BAJAD,PAT_00004
PAWAN_BHARADWAJ,PAT_00004
BHASHKAR_SINGH_BOHRA,PAT_00005
DEBASHRITA_KUNDU,PAT_00005
SAMIR_MANDAL,PAT_00005
ASHIS_HALDER,PAT_00005
SURYASARATHI_BOSE,PAT_00005
INDRANIL_DEY,PAT_00006
KETAKI_SAMANTA,PAT_00006
ASHOK_MISRA,PAT_00006
SURYASARATHI_BOSE,PAT_00006
PITABASH_SAHOO,PAT_00007
SOURADEEP_GUPTA,PAT_00007
KARTHICK_SRINIVAS,PAT_00007
TEJAS_SIDNAL,PAT_00007
TAPAS_ROY,PAT_00008
PRADIPTA_BEHERA,PAT_00009
SOURAV_BAIDYA,PAT_00009
SHARAT_SARMAH,PAT_00009
MRINMOY_DE,PAT_00009
ABHRA_ROY_CHOWDHURY,PAT_00010
ANAND_VYVASWATH_KALVA,PAT_00010
SAURABH_KALRA,PAT_00010
MAHADEVACHAR_NAVEENKUMAR,PAT_00011
SHARANAPPA_SHIVALEELA_ESAMUDRA,PAT_00011
SINGH_AMIT,PAT_00012
YADAV_VIKAS,PAT_00012
ARYAN_KESHRI,PAT_00013
SADANAND_POWAR,PAT_00013
SUJIT_DAS,PAT_00013
GYANA_PRAKASH_NANDA,PAT_00014
SANDHYARANI_PAL,PAT_00014
VISWANATHAN_THAMODHARAN,PAT_00014
PACHAIYAPPAN_RAJAMALLI,PAT_00014
ASHUTOSH_VISHWAKARMA,PAT_00015
SUSHOBHAN_AVASTHI,PAT_00015
VIJEYAN_C,PAT_00015
SRINIVASAN_RAGHAVAN,PAT_00015
MUNSHI_MOHAMMAD_ATEEB,PAT_00016
MIR_MEHAK_ASHRAF,PAT_00016
SHRIVASTAVA_MAYANK,PAT_00016
SAMIR_MANDAL,PAT_00017
ASHIS_HALDER,PAT_00017
SAI_SRIVATSA_KUMAR_GANUGAPATI,PAT_00017
INDRANIL_DEY,PAT_00017
KETAKI_SAMANTA,PAT_00017
DEBASHRITA_KUNDU,PAT_00017
BHASHKAR_SINGH_BOHRA,PAT_00017
SURYASARATHI_BOSE,PAT_00017
GUPTA_TAPAJYOTI_DAS,PAT_00018
RAMASAMY_ALWAR_SAMY,PAT_00018
SUBHALAXMI_GAYATRI,PAT_00018
D_C_MARK_VAILSHERY,PAT_00018
SAHU_RENU_RAMAN,PAT_00018
K_S_SIVAKUMAR,PAT_00018
BANERJEE_SNEHA,PAT_00018
KARKERA_CHAYA,PAT_00019
GOUDA_LAXMAN,PAT_00019
MASHALE_SARANG,PAT_00019
SADHANALA_ADITYA,PAT_00019
GUPTA_NAVNEET_KUMAR,PAT_00020
SINGH_ARVIND,PAT_00020
RANI_VARSHA,PAT_00020
URADE_VIKRANT_N,PAT_00020
PATHOTE_DILEEP,PAT_00021
PRAVEENKUMAR_KESAVAN,PAT_00021
SUWAS_SATYAM,PAT_00021
CHATTERJEE_KAUSHIK,PAT_00021
SHASHIDHAR_NAGARAGERE_CHIKKARAMAIAH,PAT_00021
CHANDRASHEKHAR_UDAYAGIRI,PAT_00021
AKULA_SATHVICK,PAT_00022
KULDEEP_SINGH_SHIVRAN,PAT_00022
DR_SARASIJ_DAS,PAT_00022
MANOJ_VARMA,PAT_00023
MAYANK_MITRAM,PAT_00023
P_RAJAMALLI,PAT_00024
RANA_SUBINOY,PAT_00024
MAHASHAYA_RAHUL,PAT_00024
KAMRA_ALISHA,PAT_00024
BHATTACHARYA_ANINDA_JIBAN,PAT_00025
PAL_NEERAJ,PAT_00025
SUBINOY_RANA,PAT_00026
ABHAY_SRIVASTAVA,PAT_00026
MANJU_SOLRA,PAT_00026
ANIL_YADAV,PAT_00027
DEVAMRUTHA_I_S,PAT_00027
SREEKANTH_MADDAKA,PAT_00027
