Person_ID,Thesis_ID
ASHA_K,516172
KALYAN_RAJ,504572
VEENA_JAWALI,504574
SAMITA_MAITRA,504575
SAISHA_VINJAMURI,516315
B_R_SHAMBHAVI,516624
DR_CHANDASREE_DAS,475827
MADHU_G,501379
GIRIDHARA_G,501380
C_R_RAMAKRISHNAIAH,515986
S_GOWRISHANKAR,529093
SHRIVALLI_H_Y_AND_B_MALLIKARJUNA,475826
SHRIVALLI_HY,511261
G_N_SEKHAR,515978
S_RAGHUNATH,516317
MANGALA_KESHAVA,516318
B_R_SHAMBHAVI,516626
P_JAYAREKHA,536358
P_JAYAREKHA,536361
VEENA_N_HEGDE,621398
SURESHA_B_L,621401
K_E_GANESH,621402
BHEEMSHA_ARYA,621420
VARDHAMAN_S_MUDAKAPPANAVAR,621795
SURESHA_B_L,621797
K_R_SUDHINDRA,621397
VARDHAMAN_S_MUDAKAPPANAVAR,621791
H_S_JAGADEESH,621796
DR_J_SHARANA_BASAVARAJA,684698
DRCHANDRA_SHEKARA_G,679312
DRRAJESHWARI_M_HEGDE,684699
DINESH_ANVEKAR,453534
JITHENDRANATH_MUNGARA,453540
MURALISHANKAR_R,453624
DINESH_ANVEKAR,453631
M_MAHESH,453632
ILANGO_V,448991
INDUMATHI_G,453539
RAMESH_C,451246
SANJAY_CHITNIS,453537
Y_V_S_LAKSHMI,453538
SANJAY_CHITNIS,453541
JHANSI_RANI_P,448126
CHINNAIYAN_R,448151
LINGAREDDY_SC_AND_CHITNIS_SANJAY_R,448710
INDUMATHI_G,453529
R_CHINNAIYAN,453535
SANJAY_CHITNIS,453536
JHANSI_RANI,453563
B_NARASIMHAMURTHY,575810
PARAS_NATH_SINGH,593036
CHAITANYA_LEKSHMI_INDIRA,531253
CHAITANYA_LEKSHMI_INDIRA,531256
GINDUMATHI,531258
NAVIN_KUMAR,531260
D_RAMESH_AND_H_VENUGOPAL,531261
DR_RAMESH_C,531274
DR_ASHA_M_NAIR,531275
DRVIJAYANANDA_KAUP,531276
DR_VIJAYANANDA_KAUP,531280
DR_VIJAYANANDA_KAUP,531282
DR_FAZLUR_RAHAMAN_AND_DR_B_NARASIMHA_MURTHY,531286
DRMANJUNATHAM,531287
CHAITANYA_LEKSHMI_INDIRA_AND_B_NARASIMHAMURTHY,531291
DR_V_ILANGO,534994
V_ILANGO,575809
DR_ASHA_M_NAIR,556899
SANJAY_JAIN,556900
SANJAY_JAIN,556901
DR_SANJAY_JAIN,556902
KAVITHA_P,577610
KAVITHA_P,577611
MEENAKSHIK,584203
SUVITHA_A,599575
CHINNAIYAN_R,612953
MURALISHANKAR_R_AND_SHANKAR_H_N,623372
JHANSI_RANI_P,650776
JHANSI_RANI_PRATHURI,656271
BHASKAR_REDDY_M,663557
CHINNAIYAN_R_AND_ILANGO_V,668347
S_KIRAN_AND_SHARATH_R,452058
ASWATHA_A_R,452320
SURESH_K_AND_RAVISHANKAR,452326
K_SURESH,452377
SUMA_V,452442
SUMA_V,452444
RAMARAJU_H_K,452445
SAMITHA_KHAIYUM,452453
SAIRAM_GEETHANATH,452511
NANDINI_C,452565
RAVISHANKAR_R_AND_SATHEESHA_RAI,452243
GIRISH_V_ATTIMARAD,452282
K_SURESH,452378
RAMARAJU_H_K,452446
SIDDESH_G_K,452452
SIDDESH_G_K,452454
SIDDESH_G_K,452456
BHASKAR_PAL,452457
T_C_MANJUNATH,452458
SHANMUGANATHAN_SP,452459
P_VIMALA,452497
KESHAVAMURTHY_R,452770
PRAKASH_P,454590
VASANTHA_KUMARA_S_A,455153
M_A_LOURDU_ANTONY_RAJ_AND_RAVISHANKAR_R,452263
ANANTHARAJU_K_S,452273
K_L_SUDHA,452450
AMUTHA_S_AND_SRINIVAS_S_P,452567
ASWATHA_A_R,454865
LAKSHMI_JAGANNATHAN,454932
SHIVARAM_KT,452447
SHIVARAM_KT,452448
SHANMUKHA_SUNDAR_K,452449
K_L_SUDHA,452451
SAIRAM_GEETHANATH,453490
GOPALAKRISHNAN_NAIR_TR,454859
DEEPAK_G,454936
CHATTERJEE_KAUSHIK_AND_SUWAS_SATYAM,426407
SONTI_VENKATA_R,429335
RAMAKRISHNAN_A_G,426390
CHAKRABARTI_AMARESH,426519
MADHAVI_LATHA_G,428618
GARANI_SHAYAN_SRINIVASA,428623
BASU_SAPTARSHI,429507
SIVAKUMAR_DEIVANDREN,428628
ANANTHASURESH_G_K,428633
NAIK_NARAYANA_G,426620
CHAKRABARTI_AMARESH,430144
SUNDAR_RAJAN_B,427122
PADHI_RADHAKANT_AND_RAMACHANDRAN_M_P,427119
CHATTOPADHYAY_KAMANIO_AND_PAUL_ALOKE,427118
NATH_DIGBIJOY_N,427123
BISWAS_SOMA,427114
MUJUMDAR_P_P,427113
ROY_RAHUL,426528
RAMESH_O_N,426646
RAVISHANKAR_N,426638
JAYARAM_VIKRAM_AND_KUMAR_PRAVEEN,426675
KASHYAP_NAVIN,430152
VENKATARAM_PALLAPA,426597
PRATAP_RUDRA,444775
YALAVARTHY_PHANEENDRA_K,426592
BASU_KAUSHIK,426590
RAMAKRISHNAN_A_G,426731
CHANDRA_KISHEN_J_M,428405
NARAYANAN_G,428407
JOHN_VINOD,428408
KRUPANIDHI_S_B_AND_UMARJI_ARUN_MADHAVARAO,428404
MAHAPATRA_SANTANU_AND_SAMBANDAN_SANJIV,428398
RAMAKRISHNAN_K_R_AND_SASTRY_P_S,428399
SAHOO_BALARAM,428388
MAHAPATRA_D_ROY_AND_MAYYA_K_S,428386
SIVAKUMAR_BABU_G_L,428402
NAIK_AKSHAY_AND_SELVARAJA_SHANKAR_KUMAR,426766
