record_id,source_table,entity_text,entity_label,canonical_name,entity_id,start_char,end_char
79,grants,ECE,DEPARTMENT,ECE,,,
79,grants,Indian Institute of Science Bangalore,ORG,Indian Institute of Science Bangalore,INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,,
79,grants,Bengaluru,GPE,Bengaluru,BENGALURU,,
79,grants,ANRF,FUNDING_AGENCY,ANRF,ANRF,,
9,grants,ME,DEPARTMENT,ME,,,
9,grants,Indian Institute of Science Bangalore,ORG,Indian Institute of Science Bangalore,INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,,
9,grants,Bengaluru,GPE,Bengaluru,BENGALURU,,
9,grants,ANRF,FUNDING_AGENCY,ANRF,ANRF,,
155,grants,CSE,DEPARTMENT,CSE,,,
155,grants,M.S. Ramaiah Institute of Technology,ORG,M S Ramaiah Institute of Technology,M_S_RAMAIAH_INSTITUTE_OF_TECHNOLOGY,,
155,grants,Bengaluru,GPE,Bengaluru,BENGALURU,,
10,grants,ME,DEPARTMENT,ME,,,
10,grants,Indian Institute of Science Bangalore,ORG,Indian Institute of Science Bangalore,INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,,
10,grants,Bengaluru,GPE,Bengaluru,BENGALURU,,
10,grants,ANRF,FUNDING_AGENCY,ANRF,ANRF,,
12,grants,ECE,DEPARTMENT,ECE,,,
12,grants,Indian Institute of Science Bangalore,ORG,Indian Institute of Science Bangalore,INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,,
12,grants,Bengaluru,GPE,Bengaluru,BENGALURU,,
12,grants,ANRF,FUNDING_AGENCY,ANRF,ANRF,,
13,grants,CSA,DEPARTMENT,CSA,,,
13,grants,Indian Institute of Science Bangalore,ORG,Indian Institute of Science Bangalore,INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,,
13,grants,Bengaluru,GPE,Bengaluru,BENGALURU,,
13,grants,ANRF,FUNDING_AGENCY,ANRF,ANRF,,
14,grants,CE,DEPARTMENT,CE,,,
14,grants,Indian Institute of Science Bangalore,ORG,Indian Institute of Science Bangalore,INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,,
14,grants,Bengaluru,GPE,Bengaluru,BENGALURU,,
14,grants,ANRF,FUNDING_AGENCY,ANRF,ANRF,,
245,grants,EEE,DEPARTMENT,EEE,,,
