record_id,source_table,entity_text,entity_label,canonical_name,entity_id,start_char,end_char
4,theses,B.M.S. College of Engineering,ORG,B.M.S. College of Engineering,BMS_COLLEGE_OF_ENGINEERING,,
4,theses,Bengaluru,GPE,Bengaluru,BENGALURU,,
5,theses,B.M.S. College of Engineering,ORG,B.M.S. College of Engineering,BMS_COLLEGE_OF_ENGINEERING,,
5,theses,Bengaluru,GPE,Bengaluru,BENGALURU,,
6,theses,B.M.S. College of Engineering,ORG,B.M.S. College of Engineering,BMS_COLLEGE_OF_ENGINEERING,,
6,theses,Bengaluru,GPE,Bengaluru,BENGALURU,,
7,theses,B.M.S. College of Engineering,ORG,B.M.S. College of Engineering,BMS_COLLEGE_OF_ENGINEERING,,
7,theses,Bengaluru,GPE,Bengaluru,BENGALURU,,
1176,theses,R V College of Engineering,ORG,R V College of Engineering,R_V_COLLEGE_OF_ENGINEERING,,
1176,theses,Bengaluru,GPE,Bengaluru,BENGALURU,,
15,theses,B.M.S. College of Engineering,ORG,B.M.S. College of Engineering,BMS_COLLEGE_OF_ENGINEERING,,
15,theses,Bengaluru,GPE,Bengaluru,BENGALURU,,
16,theses,2016,DATE,2016,,147,151
16,theses,1987,DATE,1987,,373,377
16,theses,B.M.S. College of Engineering,ORG,B.M.S. College of Engineering,BMS_COLLEGE_OF_ENGINEERING,,
16,theses,Bengaluru,GPE,Bengaluru,BENGALURU,,
17,theses,B.M.S. College of Engineering,ORG,B.M.S. College of Engineering,BMS_COLLEGE_OF_ENGINEERING,,
17,theses,Bengaluru,GPE,Bengaluru,BENGALURU,,
18,theses,B.M.S. College of Engineering,ORG,B.M.S. College of Engineering,BMS_COLLEGE_OF_ENGINEERING,,
18,theses,Bengaluru,GPE,Bengaluru,BENGALURU,,
14,theses,B.M.S. College of Engineering,ORG,B.M.S. College of Engineering,BMS_COLLEGE_OF_ENGINEERING,,
14,theses,Bengaluru,GPE,Bengaluru,BENGALURU,,
19,theses,B.M.S. College of Engineering,ORG,B.M.S. College of Engineering,BMS_COLLEGE_OF_ENGINEERING,,
19,theses,Bengaluru,GPE,Bengaluru,BENGALURU,,
20,theses,B.M.S. College of Engineering,ORG,B.M.S. College of Engineering,BMS_COLLEGE_OF_ENGINEERING,,
20,theses,Bengaluru,GPE,Bengaluru,BENGALURU,,
21,theses,B.M.S. College of Engineering,ORG,B.M.S. College of Engineering,BMS_COLLEGE_OF_ENGINEERING,,
21,theses,Bengaluru,GPE,Bengaluru,BENGALURU,,
22,theses,B.M.S. College of Engineering,ORG,B.M.S. College of Engineering,BMS_COLLEGE_OF_ENGINEERING,,
22,theses,Bengaluru,GPE,Bengaluru,BENGALURU,,
23,theses,mechanical engineering,DEPARTMENT,Mechanical Engineering,MECHANICAL_ENGINEERING,277,299
23,theses,civil engineering,DEPARTMENT,Civil Engineering,CIVIL_ENGINEERING,305,322
23,theses,civil engineering,DEPARTMENT,Civil Engineering,CIVIL_ENGINEERING,543,560
23,theses,B.M.S. College of Engineering,ORG,B.M.S. College of Engineering,BMS_COLLEGE_OF_ENGINEERING,,
23,theses,Bengaluru,GPE,Bengaluru,BENGALURU,,
24,theses,B.M.S. College of Engineering,ORG,B.M.S. College of Engineering,BMS_COLLEGE_OF_ENGINEERING,,
24,theses,Bengaluru,GPE,Bengaluru,BENGALURU,,
25,theses,B.M.S. College of Engineering,ORG,B.M.S. College of Engineering,BMS_COLLEGE_OF_ENGINEERING,,
25,theses,Bengaluru,GPE,Bengaluru,BENGALURU,,
26,theses,Bengaluru,GPE,Bengaluru,BENGALURU,86,95
26,theses,Bengaluru,GPE,Bengaluru,BENGALURU,584,593
26,theses,Karnataka,GPE,Karnataka,KARNATAKA,595,604
26,theses,India,GPE,India,INDIA,606,611
26,theses,India,GPE,India,INDIA,795,800
26,theses,BMSCE,ORG,B.M.S. College of Engineering,BMS_COLLEGE_OF_ENGINEERING,948,953
26,theses,2015,DATE,2015,,985,989
26,theses,2019,DATE,2019,,994,998
27,theses,B.M.S. College of Engineering,ORG,B.M.S. College of Engineering,BMS_COLLEGE_OF_ENGINEERING,,
27,theses,Bengaluru,GPE,Bengaluru,BENGALURU,,
28,theses,India,GPE,India,INDIA,86,91
28,theses,India,GPE,India,INDIA,218,223
28,theses,India,GPE,India,INDIA,555,560
28,theses,2021,DATE,2021,,282,286
28,theses,B.M.S. College of Engineering,ORG,B.M.S. College of Engineering,BMS_COLLEGE_OF_ENGINEERING,,
28,theses,Bengaluru,GPE,Bengaluru,BENGALURU,,
29,theses,B.M.S. College of Engineering,ORG,B.M.S. College of Engineering,BMS_COLLEGE_OF_ENGINEERING,,
29,theses,Bengaluru,GPE,Bengaluru,BENGALURU,,
30,theses,B.M.S. College of Engineering,ORG,B.M.S. College of Engineering,BMS_COLLEGE_OF_ENGINEERING,,
30,theses,Bengaluru,GPE,Bengaluru,BENGALURU,,
31,theses,B.M.S. College of Engineering,ORG,B.M.S. College of Engineering,BMS_COLLEGE_OF_ENGINEERING,,
31,theses,Bengaluru,GPE,Bengaluru,BENGALURU,,
32,theses,CMR Institute of Technology,ORG,CMR Institute of Technology,CMR_INSTITUTE_OF_TECHNOLOGY,,
32,theses,Bengaluru,GPE,Bengaluru,BENGALURU,,
33,theses,CMR Institute of Technology,ORG,CMR Institute of Technology,CMR_INSTITUTE_OF_TECHNOLOGY,,
33,theses,Bengaluru,GPE,Bengaluru,BENGALURU,,
37,theses,India,GPE,India,INDIA,314,319
37,theses,CMR Institute of Technology,ORG,CMR Institute of Technology,CMR_INSTITUTE_OF_TECHNOLOGY,,
37,theses,Bengaluru,GPE,Bengaluru,BENGALURU,,
39,theses,CMR Institute of Technology,ORG,CMR Institute of Technology,CMR_INSTITUTE_OF_TECHNOLOGY,,
39,theses,Bengaluru,GPE,Bengaluru,BENGALURU,,
40,theses,CMR Institute of Technology,ORG,CMR Institute of Technology,CMR_INSTITUTE_OF_TECHNOLOGY,,
40,theses,Bengaluru,GPE,Bengaluru,BENGALURU,,
41,theses,CMR Institute of Technology,ORG,CMR Institute of Technology,CMR_INSTITUTE_OF_TECHNOLOGY,,
41,theses,Bengaluru,GPE,Bengaluru,BENGALURU,,
42,theses,CMR Institute of Technology,ORG,CMR Institute of Technology,CMR_INSTITUTE_OF_TECHNOLOGY,,
42,theses,Bengaluru,GPE,Bengaluru,BENGALURU,,
43,theses,CMR Institute of Technology,ORG,CMR Institute of Technology,CMR_INSTITUTE_OF_TECHNOLOGY,,
43,theses,Bengaluru,GPE,Bengaluru,BENGALURU,,
44,theses,CMR Institute of Technology,ORG,CMR Institute of Technology,CMR_INSTITUTE_OF_TECHNOLOGY,,
44,theses,Bengaluru,GPE,Bengaluru,BENGALURU,,
45,theses,India,GPE,India,INDIA,1809,1814
45,theses,CMR Institute of Technology,ORG,CMR Institute of Technology,CMR_INSTITUTE_OF_TECHNOLOGY,,
45,theses,Bengaluru,GPE,Bengaluru,BENGALURU,,
46,theses,CMR Institute of Technology,ORG,CMR Institute of Technology,CMR_INSTITUTE_OF_TECHNOLOGY,,
46,theses,Bengaluru,GPE,Bengaluru,BENGALURU,,
47,theses,CMR Institute of Technology,ORG,CMR Institute of Technology,CMR_INSTITUTE_OF_TECHNOLOGY,,
47,theses,Bengaluru,GPE,Bengaluru,BENGALURU,,
48,theses,CMR Institute of Technology,ORG,CMR Institute of Technology,CMR_INSTITUTE_OF_TECHNOLOGY,,
48,theses,Bengaluru,GPE,Bengaluru,BENGALURU,,
49,theses,CMR Institute of Technology,ORG,CMR Institute of Technology,CMR_INSTITUTE_OF_TECHNOLOGY,,
49,theses,Bengaluru,GPE,Bengaluru,BENGALURU,,
