id,title,abstract,keywords,researcher,guide,institution,year,processed,thesis_id,department,source_url,source,location,clean_text,detected_language
1,Novel Approach for Replacement of Aggregates with Flyash Aggregates,"newline Abstract newlineStone quarrying activities that are carried out to meet the demand of infrastructural newlinedevelopment exert massive pressure on our soil and water resources, which in turn affect the newlinehydrogeological and hydrological regimes. The extent of quarrying carried out for extraction newlineof natural aggregates has reached alarming proportions, thereby impacting the ecological newlinebalance. Additionally, it has been observed in developed as well as developing countries that newlinegiven the rapid increase in urbanisation and industrialisation, there has been tremendous newlineincrease in production of industrial waste. Unscientific disposal of these industrial wastes has newlineposed to be a matter of huge environmental concern. newlineIndia being a developing nation, about 70% of thermal power plants use coal as the main source newlinefor power generation. Large quantities of ash are generated due to use of Indian coal that has newlinehigh ash content and low calorific value, and its disposal has posed to be a big challenge. In newlinethis study, we are attempting to come up with a solution for this problem by manufacturing newlineartificial aggregates utilising industrial wastes. During the past few decades, there has been newlineincreasing interest in using advanced technologies and environment-friendly solutions for solid newlinewaste management. In this study, attempt has been made to incorporate both problems and to newlinefind an alternative for natural aggregates using industrial wastes such as flyash and GGBS for newlinemanufacturing artificial aggregates. newlineTo explore the use of flyash as an alternative construction material as well as a solution for newlinequarrying, the study has been conducted on manufacturing artificial aggregates using flyash. newlineFlyash aggregates were manufactured using flyash in large quantities and cement as binder in newlinevarying ratios. Tests for different mix ratios were conducted, and optimum mix proportion was newlineselected for bulk production.","Engineering, Engineering and Technology, Engineering Civil",GEENA GEORGE,ASHA K,B.M.S. College of Engineering,2020,False,516172,,https://shodhganga.inflibnet.ac.in/handle/10603/516172,Shodhganga,Bengaluru,novel approach replacement aggregates flyash aggregates abstract stone quarry activity carry meet demand infrastructural development exert massive pressure soil water resource turn affect hydrogeological hydrological regime extent quarry carry extraction natural aggregate reach alarming proportion impact ecological balance additionally observe develop develop country give rapid increase urbanisation industrialisation tremendous increase production industrial waste unscientific disposal industrial waste pose matter huge environmental concern india develop nation 70 thermal power plant use coal main source power generation large quantity ash generate use indian coal high ash content low calorific value disposal pose big challenge study attempt come solution problem manufacture artificial aggregate utilise industrial waste past decade increase interest advanced technology environment friendly solution solid waste management study attempt incorporate problem find alternative natural aggregate industrial waste flyash ggbs manufacture artificial aggregate explore use flyash alternative construction material solution quarrying study conduct manufacture artificial aggregate flyash flyash aggregate manufacture flyash large quantity cement binder vary ratio test different mix ratio conduct optimum mix proportion select bulk production,en
2,Catalyzed Oxidation Kinetics of Some Drug Molecules A Mechanistic Investigation,"Redox chemistry of pharmaceutically and biologically important substances like Pregabalin, Taurine, Diphenhydramine HCl, Prilocaine HCl and Rizatriptan benzoate with N-metallo-N-haloarylsulphonamides such as Chloramine-T, Chloramine-B, Bromamine-T and Bromamine-B in the view point of their kinetics and mechanism have been examined under several experimental circumstances. Mechanistic study on the oxidation-kinetics of Pregabalin by acidic Chloramine-T with and without Ru(III) catalyst at 303 K have been examined. With the similar experimental set ups, the rate laws are, rate =kc[CAT]o[PG]xo[H+]-y[Ru(III)]z for catalyzed reaction and rate = ku[CAT]o [PG]xo [H+]-y for uncatalyzed reaction, where x, y lt 1 and z = 1. Kinetics of oxidation of Taurine by Bromamine-T in acidic medium using Ru(III) catalyst and in basic medium using Os(VIII) catalyst has been investigated at 313 K. The rate indicates unit order dependency on both [Ru(III)] and [BAT]o, negative fractional order on [H+] and independency on [TAU]o in acid medium. But, in basic medium, the observed rate suggests unit order dependency on each [BAT]o and [Os(VIII)], inverse less than unity order on [OH-] and fractional order on [TAU]o. Oxidation of diphenhydramine hydrochloride by basic Chloramine-B in presence of Ru(III)/Pt(IV) catalyst has been examined at 313 K. Positive dielectric effect has been detected in both the catalysis. The solvent isotope effect, k/(H2O)/k/(D2O), for Ru(III) and Pt(IV) reactions was observed to be 0.80 and 0.82 respectively. Kinetics and oxidative behavior of Prilocaine hydrochloride-Chloamine-B redox scheme in acidic medium without catalyst and in basic medium using Os(VIII) catalyst has been described at 308 K. It was discovered that OsO4 catalyzed reaction is nearly four times quicker than uncatalyzed reaction in basic medium. In both HClO4 and NaOH media, the activation parameters, decomposition constants, rate laws and reaction mechanisms have been suggested.","Chemistry, Chemistry Applied, Physical Sciences",N Suresha,Kalyan Raj,B.M.S. College of Engineering,2021,False,504572,,https://shodhganga.inflibnet.ac.in/handle/10603/504572,Shodhganga,Bengaluru,catalyzed oxidation kinetics drug molecules mechanistic investigation redox chemistry pharmaceutically biologically important substance like pregabalin taurine diphenhydramine hcl prilocaine hcl rizatriptan benzoate metallo haloarylsulphonamide chloramine chloramine bromamine bromamine view point kinetic mechanism examine experimental circumstance mechanistic study oxidation kinetic pregabalin acidic chloramine ru(iii catalyst 303 examine similar experimental set up rate law rate kc[cat]o[pg]xo[h+]-y[ru(iii)]z catalyze reaction rate ku[cat]o pg]xo h+]-y uncatalyzed reaction lt kinetic oxidation taurine bromamine acidic medium ru(iii catalyst basic medium os(viii catalyst investigate 313 k. rate indicate unit order dependency ru(iii bat]o negative fractional order h+ independency tau]o acid medium basic medium observed rate suggest unit order dependency bat]o os(viii inverse unity order oh- fractional order tau]o oxidation diphenhydramine hydrochloride basic chloramine presence ru(iii)/pt(iv catalyst examine 313 k. positive dielectric effect detect catalysis solvent isotope effect k/(h2o)/k/(d2o ru(iii pt(iv reaction observe 0.80 0.82 respectively kinetic oxidative behavior prilocaine hydrochloride chloamine redox scheme acidic medium catalyst basic medium os(viii catalyst describe 308 k. discover oso4 catalyze reaction nearly time quick uncatalyzed reaction basic medium hclo4 naoh medium activation parameter decomposition constant rate law reaction mechanism suggest,en
3,The Study of Convective Flows and Heat and or Mass Transfer in a Vertical Slot with Combined Driving Force,"The thesis deals with the investigation of double-diffusive convection in a tilted rectangular enclosure in a single or co-existing layer with the existence of a transverse magnetic field and/or by applying thermal radiation and/or the boundary bounded by porous lining. Natural convection that occurs due to the joined effect of concentration and temperature buoyancy is focused analytically along vertical sides with uniform mass and heat in a slanted tall rectangular enclosure are investigated. And the position of BJ is employed at the porous fluid interface. The analytical part holds for the boundary layer system where the transfer rate of mass and heat are constrained by convection. An Oseen linearized technique is for a long rectangular enclosure loaded with a combined characterized by the Lewis number Le which is correspondent to arbitrary buoyancy ratio. The impact of the tendency angle of various Rayleigh numbers, slip parameter N, Chandrasekhar number Q and radiation parameter R, the concentration, velocity, temperature distribution, Nusselt, and Sherwood numbers are determined and graphically drawn. The impact of Le is recorded by an equality arrangement legitimate for Lewis number in heat transfer driven flow, and short of what one for Le in mass transfer driven flow. The solutions are estimated for distinct values of the inclination angle and#8709; and buoyancy ratio n, slip parameter N, Chandrasekhar number Q, radiation parameter R. The results are associated with the finite cases of the angle and#12310; 90and#12311;^°. newline","Mathematics, Mathematics Applied, Physical Sciences",D R SASI REKHA,VEENA JAWALI,B.M.S. College of Engineering,2021,False,504574,,https://shodhganga.inflibnet.ac.in/handle/10603/504574,Shodhganga,Bengaluru,study convective flows heat mass transfer vertical slot combined driving force thesis deal investigation double diffusive convection tilt rectangular enclosure single co exist layer existence transverse magnetic field and/or apply thermal radiation and/or boundary bound porous lining natural convection occur joined effect concentration temperature buoyancy focus analytically vertical side uniform mass heat slanted tall rectangular enclosure investigate position bj employ porous fluid interface analytical hold boundary layer system transfer rate mass heat constrain convection oseen linearize technique long rectangular enclosure load combine characterized lewis number le correspondent arbitrary buoyancy ratio impact tendency angle rayleigh number slip parameter chandrasekhar number radiation parameter concentration velocity temperature distribution nusselt sherwood number determined graphically draw impact le record equality arrangement legitimate lewis number heat transfer drive flow short le mass transfer drive flow solution estimate distinct value inclination angle and#8709 buoyancy ratio slip parameter chandrasekhar number radiation parameter r. result associate finite case angle and#12310 90and#12311;^,en
4,Flutter Stability Characteristics of Stiffened Interlaminar Hybrid Fiber Metal Laminates with cutouts Subjected to Varying edge loads,,"Engineering, Engineering and Technology, Engineering Chemical",Shivakumar R,Samita Maitra,B.M.S. College of Engineering,2021,False,504575,,https://shodhganga.inflibnet.ac.in/handle/10603/504575,Shodhganga,Bengaluru,flutter stability characteristics stiffened interlaminar hybrid fiber metal laminates cutout subject varying edge load,en
5,Studies on the invitro propagation of Exacum bicolor Roxb and evaluation of its bio active compounds for treatment of diabetes,"newline Diabetes mellitus is a progressive metabolic newlinedisorder arising due to the lifestyle changes and accounts for 9.3% of diseases newlineglobally. Though use of allopathic drugs alleviates the disease, it requires a prolonged newlinetreatment which leads to development of adverse effects. Hence, treatment using newlinemedicinal plants is gaining importance as it is cost effective and has fewer side newlineeffects. Exacum bicolor Roxb. is one such medicinal plant known to be used as a newlinetraditional medicine in treatment of diabetes. This is an endemic plant and now, is in newlinethe verge of being endangered. So, there is a compulsive need for protection of this newlineplant species. Hence, in-vitro propagation methods can be used to revive the newlinepopulation of E .bicolor. newlineIn this study, E. bicolor plantlets were developed by in-vitro propagation techniques newlineto evaluate its anti-diabetic potential. The E. bicolor plant was propagated under in- newlinevitro conditions from its leaves (explants) to obtain plantlets. These plantlets were newlineextracted in different solvents and analysed using various qualitative and quantitative newlinetests to identify its bioactive compounds (phytochemicals). Further, the role of these newlinephytochemicals in diabetic pathways was studied by using in-silico techniques. The newlineanti-diabetic potential of these extracts was validated by performing animal studies newlineusing diet induced obese mice. Meanwhile, the extracts were also evaluated for its newlineantioxidant and anti-microbial properties. newlineThus, we report an efficient protocol for in-vitro propagation of E. bicolor and the newlinepresence of two potent anti- diabetic phytochemicals that are promising compared to newlinethe commercial drugs being used in treatment of diabetes. Also, observing the positive newlineresponse of these extracts in animal studies has corroborated the anti-diabetic newlinepotential of E.bicolor Roxb.","Engineering, Engineering and Technology, Engineering Biomedical",SHARAD S,SAISHA VINJAMURI,B.M.S. College of Engineering,2021,False,516315,,https://shodhganga.inflibnet.ac.in/handle/10603/516315,Shodhganga,Bengaluru,study invitro propagation exacum bicolor roxb evaluation bio active compound treatment diabetes diabetes mellitus progressive metabolic disorder arise lifestyle change account 9.3 disease globally use allopathic drug alleviate disease require prolong treatment lead development adverse effect treatment medicinal plant gain importance cost effective few effect exacum bicolor roxb medicinal plant know traditional medicine treatment diabetes endemic plant verge endanger compulsive need protection plant specie vitro propagation method revive population .bicolor study e. bicolor plantlet develop vitro propagation technique evaluate anti diabetic potential e. bicolor plant propagate in- vitro condition leaf explant obtain plantlet plantlet extract different solvent analyse qualitative quantitative test identify bioactive compound phytochemical role phytochemical diabetic pathway study silico technique anti diabetic potential extract validate perform animal study diet induce obese mouse extract evaluate antioxidant anti microbial property report efficient protocol vitro propagation e. bicolor presence potent anti- diabetic phytochemical promise compare commercial drug treatment diabetes observe positive response extract animal study corroborate anti diabetic potential e.bicolor roxb,en
6,Cross language information retrieval for code mixed Kannada English queries,"Though there has been a lot of Natural Language Processing work done towards languages, such as English, Arabic, Chinese similar efforts for Indian languages is still in its infancy. Kannada is one of popular south Indian languages. It is proposed in this research work to experiment Information Retrieval of Kannada English code mixed queries. In order to mitigate the aforementioned issue, a paradigm which understands and processes code mixed queries is proposed. The entire work is divided into four modules. Initially, Language Identification module identifies language of each word of the code mixed query which is followed by back transliterating Romanised kannada words in the query to its native script using transliteration module. The mixed script query resulted from previous module is fed to a translation model to obtain two monolingual queries of Kannada and English languages. Finally, monolingual search queries of Kannada and English languages are used to retrieve relevant documents for the input code mixed query. newline","Computer Science, Computer Science Information Systems, Engineering and Technology","B S, Sowmya Lakshmi","B R, Shambhavi",B.M.S. College of Engineering,2021,False,516624,,https://shodhganga.inflibnet.ac.in/handle/10603/516624,Shodhganga,Bengaluru,cross language information retrieval code mix kannada english query lot natural language processing work language english arabic chinese similar effort indian language infancy kannada popular south indian language propose research work experiment information retrieval kannada english code mixed query order mitigate aforementioned issue paradigm understand process code mixed query propose entire work divide module initially language identification module identify language word code mix query follow transliterate romanised kannada word query native script transliteration module mixed script query result previous module feed translation model obtain monolingual query kannada english language finally monolingual search query kannada english language retrieve relevant document input code mixed query,en
7,Electrical Switching and SetReset Studies of Amorphous Chalcogenides for Phase Change Memory Applications,"newline Chalcogenide glasses have attracted substantial research interest due to their newlineunique ability to switch from an amorphous to crystalline state as well as their ability newlineto offer a new type of electrical characteristics which can be used for creating a new newlineclass of memory like phase change memory. This thesis work deals with the studies newlineon electrical switching and thermal properties of Si-Te-Sn based chalcogenide newlineglasses. A thorough investigation of electrical switching on these bulk glasses and newlineamorphous thin films has been carried out to determine the composition dependence newlineand the effect of metallic dopant on switching voltages. newlineBulk Si20Te80-xSnx glasses are prepared using the melt quenching newlinetechnique. I-V characteristics of these glasses exhibit both memory and threshold newlineswitching phenomena. The initial electrical resistance and threshold voltage (Vth) newlinedecrease with an increase in Sn dopant in the Si-Te system. Vth of representative newlineSi20Te74Sn6 glass is found to increase with the increase in thickness. SET-RESET newlinestudies are carried out using a 3 mA triangular pulse for SET and a 10 mA rectangular newlinepulse for RESET. The compositions Si20Te80-xSnx newline8 cycles of SET-RESET operations. However, samples with higher Sn dopant show newlinedegradation in the Vth after a few cycles. Scanning electron microscopy studies on newlineswitched and unswitched regions of Si-Te-Sn glasses have revealed that there is a newlinemorphological change in the switched region, which can be attributed to the formation newlineof the crystalline channel formation between two electrodes during switching. Raman newlinestudies have shown that the Raman band positions of as-prepared glasses have newlinedeviated from the original band positions of pure Te atoms indicating that the local newlinebonding is altered by the addition of Sn dopant. It is also observed that the Raman newlineintensity of Si20Te80-xSnx n dopant newlinein the Si-Te matrix. newlineCrystalline peak studies are carried out using differential scanning calorimetry newline(DSC) and XRD reveal that Sn dopant does not enhance the network connect","Engineering, Engineering and Technology, Engineering Electrical and Electronic",JAGANNATHA K B,Dr Chandasree Das,B.M.S. College of Engineering,2022,False,475827,,https://shodhganga.inflibnet.ac.in/handle/10603/475827,Shodhganga,Bengaluru,electrical switching setreset studies amorphous chalcogenides phase change memory applications chalcogenide glass attract substantial research interest unique ability switch amorphous crystalline state ability offer new type electrical characteristic create new class memory like phase change memory thesis work deal study electrical switching thermal property si te sn base chalcogenide glass thorough investigation electrical switching bulk glass amorphous thin film carry determine composition dependence effect metallic dopant switch voltage bulk si20te80 xsnx glass prepare melt quenching technique characteristic glass exhibit memory threshold switch phenomenon initial electrical resistance threshold voltage vth decrease increase sn dopant si te system vth representative si20te74sn6 glass find increase increase thickness set reset study carry ma triangular pulse set 10 ma rectangular pulse reset composition si20te80 xsnx cycle set reset operation sample high sn dopant degradation vth cycle scan electron microscopy study switch unswitched region si te sn glass reveal morphological change switch region attribute formation crystalline channel formation electrode switch raman study show raman band position prepare glass deviate original band position pure te atom indicate local bonding alter addition sn dopant observe raman intensity si20te80 xsnx dopant si te matrix crystalline peak study carry differential scanning calorimetry dsc xrd reveal sn dopant enhance network connect,en
8,Azo Methine Ylide Cycloadditions Involving Isatin And Substituted Nitroethylenes And Their Biological Activity,"Variously substituted isatins and several and#945;,and#946;-disubstituted nitroethylenes were used in a highly regio and diastereoselective [3+2]-cycloaddition approach. Consequently, a variety of and#945;-amino acids were used to generate azo-methine ylides under thermal conditions, yielding two regioisomers simply by altering the and#945;-substituents of the and#945;-amino acids. On oxindoles and nitroethylenes, the reaction tolerates a variety of sterically demanding, electron-rich and electron-deficient aryl and nitrogen substituents. The reaction delivered the cycloadducts in good yield (80-94%) and excellent diastereoselectivities (up to 98:2) in favor of (cis,cis)-spirooxindoles with opposite regioselectivity. The scale-up and transformation reactions were also demonstrated for two of the cycloadducts. newlineThe molecular electron density theory (MEDT) studies for the [3+2]-cycloaddition reactions were performed. The correct regioselectivity from two-centre interactions was anticipated through Parr function analysis. The reaction is kinetically controlled and has a negative free energy, making it irreversible. The nucleophilic nature of azo-methine ylide controls the bond formation, according to electron localization function topological characterization throughout the reaction route, which suggested a two-stage one-step chemical process. The systematic biological studies were performed for the several cycloadducts. Two of the cycloadducts displayed significant activity against Gram-positive methicillin-resistant Staphylococcus aureus (MRSA) strain. These two actives were further exhibited excellent minimum inhibitory concentration values comparable with the standard antibiotics. In subsequent dose response assays, there was negative response towards the haemolytic activity against human red blood cells. newlineWe aimed for the regioselective mono-chlorination of electron-sufficient nitroolefin which was achieved by iodobenzene dichloride reagent. Regioselective chlorination was attempted at ambient temperature.","Chemistry, Chemistry Organic, Physical Sciences",Madhuri P Rao,Madhu G,B.M.S. College of Engineering,2022,False,501379,,https://shodhganga.inflibnet.ac.in/handle/10603/501379,Shodhganga,Bengaluru,"azo methine ylide cycloadditions involve isatin substituted nitroethylenes biological activity variously substitute isatin and#945;,and#946;-disubstitute nitroethylene highly regio diastereoselective 2]-cycloaddition approach consequently variety and#945;-amino acid generate azo methine ylide thermal condition yield regioisomer simply alter and#945;-substituent and#945;-amino acid oxindole nitroethylene reaction tolerate variety sterically demanding electron rich electron deficient aryl nitrogen substituent reaction deliver cycloadduct good yield 80 94 excellent diastereoselectivitie 98:2 favor cis cis)-spirooxindole opposite regioselectivity scale transformation reaction demonstrate cycloadduct molecular electron density theory medt study 2]-cycloaddition reaction perform correct regioselectivity centre interaction anticipate parr function analysis reaction kinetically control negative free energy make irreversible nucleophilic nature azo methine ylide control bond formation accord electron localization function topological characterization reaction route suggest stage step chemical process systematic biological study perform cycloadduct cycloadduct display significant activity gram positive methicillin resistant staphylococcus aureus mrsa strain active exhibit excellent minimum inhibitory concentration value comparable standard antibiotic subsequent dose response assay negative response haemolytic activity human red blood cell aim regioselective mono chlorination electron sufficient nitroolefin achieve iodobenzene dichloride reagent regioselective chlorination attempt ambient temperature",en
9,Flutter Stability Characteristics of Stiffened Interlaminar Hybrid Fiber Metal Laminates with cutouts Subjected to Varying edge loads,,"Engineering, Engineering and Technology, Engineering Mechanical",Yatish Muddappa,Giridhara G,B.M.S. College of Engineering,2022,False,501380,,https://shodhganga.inflibnet.ac.in/handle/10603/501380,Shodhganga,Bengaluru,flutter stability characteristics stiffened interlaminar hybrid fiber metal laminates cutout subject varying edge load,en
10,Assessment of Groundwater Vulnerability using GIS Based drastic Model A case study in Udupi District Karnataka State India,"i newlineABSTRACT newlineWater is an essential resource for various beneficial uses. Increased urbanization and newlineindustrialization are discharging the waste water into environment without treatment. By newlinethe runoff and infiltration the water is reaching surface and subsurface water bodies and newlinecontaminating the fresh water. Treating ground water is costly and requires proper newlineassessment. The key measure for effective management of ground water is by preventing newlinethe seepage of wastewater into aquifer. newlineThe selected study area is the Udupi district of Karnataka state where the water from newlineunconfined aquifer is used more than the surface water. The unconfined aquifers are more newlinevulnerable by the infiltration and runoff of contaminant. Prevention of ground water newlinepollution can be done by identifying the vulnerable areas which has a higher tendency of newlinepollution potential considering the hydrogeological characteristics of the area and make newlinedecision for land use in the vulnerable areas. newlineThe DRASTIC tool was proposed by US environmental protection agency (EPA) to newlinedetermine the vulnerable areas to the ground water contamination. The Primary objective newlineof the study focuses on the determination of vulnerable zones in the study area by newlineDRASTIC tool and validates the DRASTIC Vulnerability index with Water Quality newlineIndex to check the applicability of DRASTIC index in the selected study area by newlinespearman Rho co-relation coefficient. It includes the study of variation of vulnerability of newlinethe area over years. Modified DRASTIC Vulnerability index was determined by changing newlinethe weightage to obtain the improved Vulnerability Index correlation with Water Quality newlineIndex. newlineThe ground water quality analysis in the study area was done for 112 ground water newlinesamples in pre monsoon and post-monsoon season (2017). Water analysis was done for newline16 physico-chemical parameters such as pH, turbidity, chlorides, nitrates, fluorides, newlinesulphates, hardness, calcium, magnesium, iron, coliform bacteria s, potassium, sodium, newlinemanganese and phosphates","Engineering, Engineering and Technology, Engineering Civil",DEEPIKA B V,C R Ramakrishnaiah,B.M.S. College of Engineering,2022,False,515986,,https://shodhganga.inflibnet.ac.in/handle/10603/515986,Shodhganga,Bengaluru,assessment groundwater vulnerability gis base drastic model case study udupi district karnataka state india abstract water essential resource beneficial us increase urbanization industrialization discharge waste water environment treatment runoff infiltration water reach surface subsurface water body contaminate fresh water treat ground water costly require proper assessment key measure effective management ground water prevent seepage wastewater aquifer select study area udupi district karnataka state water unconfined aquifer surface water unconfined aquifer vulnerable infiltration runoff contaminant prevention ground water pollution identify vulnerable area high tendency pollution potential consider hydrogeological characteristic area decision land use vulnerable area drastic tool propose environmental protection agency epa determine vulnerable area ground water contamination primary objective study focus determination vulnerable zone study area drastic tool validate drastic vulnerability index water quality index check applicability drastic index select study area spearman rho co relation coefficient include study variation vulnerability area year modify drastic vulnerability index determine change weightage obtain improved vulnerability index correlation water quality index ground water quality analysis study area 112 ground water sample pre monsoon post monsoon season 2017 water analysis 16 physico chemical parameter ph turbidity chloride nitrate fluoride sulphate hardness calcium magnesium iron coliform bacteria potassium sodium manganese phosphate,en
