record_id,source_table,keyword,score,rank
22,grants,scr catalyst,0.5506,1
22,grants,hybrid ceramic,0.5488,2
22,grants,ceramic composite,0.5401,3
22,grants,catalyst nox,0.4843,4
22,grants,ceramic,0.409,5
22,grants,fabrication plate,0.3635,6
22,grants,type scr,0.3563,7
22,grants,scr,0.3325,8
23,grants,spectrum sharing,0.4992,1
23,grants,underlay spectrum,0.4766,2
23,grants,channel estimation,0.456,3
23,grants,intelligent reflect,0.4463,4
23,grants,reflect surface,0.4447,5
23,grants,optimization channel,0.4243,6
23,grants,reflect,0.3562,7
23,grants,assiste underlay,0.3449,8
24,grants,bundle kahler,0.7499,1
24,grants,kahler manifold,0.7422,2
24,grants,holomorphic vector,0.6036,3
24,grants,vector bundle,0.5573,4
24,grants,study holomorphic,0.5562,5
24,grants,kahler,0.5311,6
24,grants,holomorphic,0.528,7
24,grants,bundle,0.4173,8
25,grants,graphene,0.5483,1
25,grants,graphene base,0.52,2
25,grants,molecular sensing,0.426,3
25,grants,novel metamaterial,0.4154,4
25,grants,metamaterial approach,0.3798,5
25,grants,metamaterial,0.369,6
25,grants,opto electronic,0.3339,7
25,grants,meta fet,0.2929,8
27,grants,data assimilation,0.6896,1
27,grants,assimilation reaction,0.614,2
27,grants,reaction diffusion,0.5704,3
27,grants,complex networks,0.5338,4
27,grants,diffusion complex,0.5083,5
27,grants,diffusion,0.4907,6
27,grants,assimilation,0.4765,7
27,grants,networks,0.4085,8
28,grants,electronic optoelectronic,0.4908,1
28,grants,chalcogenide material,0.4725,2
28,grants,memory pcm,0.4705,3
28,grants,optoelectronic,0.405,4
28,grants,change memory,0.403,5
28,grants,optoelectronic property,0.4005,6
28,grants,transition metal,0.3766,7
28,grants,phase change,0.3726,8
29,grants,predator diet,0.6132,1
29,grants,ecological behavioural,0.575,2
29,grants,bats katydids,0.5734,3
29,grants,katydids moths,0.5557,4
29,grants,moths,0.5529,5
29,grants,determinants predator,0.5414,6
29,grants,study bats,0.471,7
29,grants,ecological,0.4692,8
