record_id,source_table,keyword,score,rank
33,patents,dihydrobenzo indenodiazepinone,0.6803,1
33,patents,indenodiazepinone compound,0.6204,2
33,patents,dihydrobenzo,0.6065,3
33,patents,abstract dihydrobenzo,0.6009,4
33,patents,indenodiazepinone compounds,0.5901,5
33,patents,formula pharmaceutical,0.5579,6
33,patents,pharmaceutical composition,0.5052,7
33,patents,compounds process,0.4979,8
34,patents,thrust bearing,0.4923,1
34,patents,method monitor,0.4758,2
34,patents,bearing method,0.4584,3
34,patents,film thrust,0.3847,4
34,patents,multi orifice,0.378,5
34,patents,orifice fluid,0.3765,6
34,patents,effective orifice,0.3567,7
34,patents,film orifice,0.3505,8
35,patents,transistor hemt,0.5475,1
35,patents,rf hemt,0.546,2
35,patents,mobility transistors,0.543,3
35,patents,transistors present,0.5104,4
35,patents,mobility transistor,0.5102,5
35,patents,transistors,0.4541,6
35,patents,rf high,0.442,7
35,patents,transistor,0.4246,8
37,patents,polypropylene vitrimer,0.6454,1
37,patents,vitrimer polypropylene,0.6275,2
37,patents,form polypropylene,0.5895,3
37,patents,functionalized polypropylene,0.5856,4
37,patents,polypropylene form,0.5832,5
37,patents,polypropylene comprise,0.5713,6
37,patents,reaction polypropylene,0.5508,7
37,patents,thereof polypropylene,0.5455,8
64,patents,icephobic coating,0.5928,1
64,patents,coating method,0.5442,2
64,patents,coating apply,0.5291,3
64,patents,superhydrophobic icephobic,0.5238,4
64,patents,coating dispersed,0.4835,5
64,patents,coating,0.4572,6
64,patents,sulphide nanoparticle,0.4311,7
64,patents,icephobic coat,0.4264,8
65,patents,multiport electric,0.5127,1
65,patents,charging station,0.5121,2
65,patents,electric vehicle,0.4938,3
65,patents,charge port,0.4803,4
65,patents,charging electric,0.4739,5
65,patents,vehicle charging,0.4717,6
65,patents,vehicle charge,0.4447,7
65,patents,charge unit,0.4436,8
66,patents,radar communication,0.5534,1
66,patents,transmit signal,0.5387,2
66,patents,index modulation,0.5186,3
66,patents,modulation base,0.5091,4
