record_id,source_table,keyword,score,rank
4,theses,laminate cutout,0.571,1
4,theses,metal laminate,0.4719,2
4,theses,stiffen interlaminar,0.4642,3
4,theses,laminate,0.4316,4
4,theses,flutter stability,0.3952,5
4,theses,hybrid fiber,0.3832,6
4,theses,interlaminar hybrid,0.3505,7
4,theses,fiber metal,0.3428,8
5,theses,diabetic phytochemical,0.5773,1
5,theses,phytochemical diabetic,0.574,2
5,theses,medicinal plant,0.4743,3
5,theses,anti diabetic,0.4495,4
5,theses,treatment diabete,0.4492,5
5,theses,treatment diabetes,0.4456,6
5,theses,phytochemical,0.438,7
5,theses,diabetic pathway,0.4304,8
6,theses,monolingual search,0.598,1
6,theses,query kannada,0.5964,2
6,theses,retrieval kannada,0.5912,3
6,theses,monolingual query,0.5496,4
6,theses,language retrieve,0.5232,5
6,theses,retrieval code,0.5083,6
6,theses,kannada english,0.4957,7
6,theses,indian language,0.4847,8
7,theses,si20te74sn6 glass,0.4694,1
7,theses,switch amorphous,0.4371,2
7,theses,chalcogenide glass,0.4011,3
7,theses,switch raman,0.374,4
7,theses,electrical switching,0.3577,5
7,theses,switching thermal,0.3506,6
7,theses,dopant switch,0.3462,7
7,theses,sn glass,0.344,8
1176,theses,viscoelastic ferromagnetic,0.641,1
1176,theses,convective instability,0.5841,2
1176,theses,thermal convective,0.5622,3
1176,theses,ferromagnetic fluid,0.5205,4
1176,theses,problem viscoelastic,0.517,5
1176,theses,viscoelastic,0.4676,6
1176,theses,instability problem,0.46,7
1176,theses,convective,0.4335,8
15,theses,cement industry,0.5973,1
15,theses,conventional cement,0.5322,2
15,theses,cement lpc,0.5124,3
15,theses,portland cement,0.4959,4
15,theses,cement lime,0.4839,5
15,theses,cement opc,0.4772,6
15,theses,cement,0.4766,7
15,theses,decline cement,0.4759,8
16,theses,strength masonry,0.6326,1
16,theses,structural masonry,0.5758,2
16,theses,reinforce masonry,0.5709,3
16,theses,brick masonry,0.5697,4
16,theses,masonry stress,0.553,5
16,theses,design masonry,0.5492,6
16,theses,masonry predict,0.5469,7
16,theses,masonry structure,0.5454,8
17,theses,kannada sentence,0.6308,1
17,theses,analysis kannada,0.6071,2
17,theses,sense disambiguation,0.5834,3
17,theses,syntactic semantic,0.5818,4
17,theses,sentence insight,0.5169,5
17,theses,semantic analysis,0.5156,6
17,theses,kannada,0.4973,7
17,theses,syntactic,0.4929,8
18,theses,security cloud,0.5854,1
18,theses,cloud compute,0.5422,2
18,theses,compute cloud,0.5298,3
18,theses,cloud security,0.522,4
18,theses,machine cloud,0.5007,5
18,theses,cloud computing,0.492,6
18,theses,cloud service,0.4781,7
18,theses,trust cloud,0.4749,8
14,theses,ferromagnetic fluid,0.6708,1
14,theses,transport ferromagnetic,0.6553,2
14,theses,oscillatory convection,0.6503,3
14,theses,convection heat,0.5672,4
14,theses,convection,0.5474,5
14,theses,heat transport,0.5316,6
14,theses,ferromagnetic,0.4598,7
14,theses,oscillatory,0.3242,8
19,theses,security cloud,0.5854,1
19,theses,cloud compute,0.5422,2
19,theses,compute cloud,0.5298,3
19,theses,cloud security,0.522,4
19,theses,machine cloud,0.5007,5
19,theses,cloud computing,0.492,6
19,theses,cloud service,0.4781,7
19,theses,trust cloud,0.4749,8
20,theses,beamforming method,0.4819,1
20,theses,similarly beamforming,0.4756,2
20,theses,beam mobile,0.4553,3
20,theses,space beamforming,0.4486,4
20,theses,antenna smart,0.4477,5
20,theses,beamforming,0.4404,6
20,theses,sdma technique,0.4384,7
20,theses,technique sdma,0.4355,8
21,theses,development anode,0.412,1
21,theses,good electrochemical,0.3931,2
21,theses,material lithium,0.3818,3
21,theses,battery thesis,0.3802,4
21,theses,li battery,0.3799,5
21,theses,electrochemical performance,0.3799,6
21,theses,battery lib,0.3767,7
21,theses,nanoporous anode,0.3713,8
22,theses,uranium deposit,0.6473,1
22,theses,radium activity,0.6148,2
22,theses,radon radium,0.6017,3
22,theses,activity groundwater,0.5606,4
22,theses,study radon,0.5508,5
22,theses,groundwater,0.5421,6
22,theses,relation uranium,0.5292,7
22,theses,radium,0.5124,8
23,theses,structural design,0.4457,1
23,theses,behaviour laminate,0.4235,2
23,theses,laminate composite,0.4114,3
23,theses,composite laminate,0.4072,4
23,theses,trapezoidal laminate,0.393,5
23,theses,vibration stability,0.381,6
23,theses,laminate widely,0.3667,7
23,theses,vibration buckle,0.358,8
24,theses,machining characteristic,0.6063,1
24,theses,machining hard,0.5479,2
24,theses,characteristic machining,0.545,3
24,theses,machining performance,0.5405,4
24,theses,process machining,0.5383,5
24,theses,machining process,0.5356,6
24,theses,tool machining,0.5354,7
24,theses,machining cut,0.5289,8
25,theses,development anode,0.412,1
25,theses,good electrochemical,0.3931,2
25,theses,material lithium,0.3818,3
25,theses,battery thesis,0.3802,4
25,theses,li battery,0.3799,5
25,theses,electrochemical performance,0.3799,6
25,theses,battery lib,0.3767,7
25,theses,nanoporous anode,0.3713,8
