Topic,Count,Name,Representation,Representative_Docs
-1,10928,-1_system_network_base_design,"['system', 'network', 'base', 'design', 'learning', 'power', 'communication', 'energy', 'analysis', 'application']","['mechanical behaviour carbon nanotube composite review modelling technique', 'response surface neural network experimental approach optimize process parameter characterization al mg alloy friction stir welding', 'energy efficient iot network routing model base multi layer clustering deep learning']"
0,278,0_epoxy_fiber_composite_reinforce,"['epoxy', 'fiber', 'composite', 'reinforce', 'jute', 'fibre', 'glass', 'composites', 'mechanical', 'laminates']","['damp free vibration analysis woven glass fiber reinforce epoxy composite laminates', 'fabrication microstructure study wear characteristics coconut shell powder fill natural sisal jute fiber reinforced epoxy composites', 'development investigation mechanical property natural fiber reinforce polymer composite']"
1,235,1_magnetic_ferrite_spin_spinel,"['magnetic', 'ferrite', 'spin', 'spinel', 'multiferroic', 'cofe2o4', 'bifeo3', 'co', 'pt', 'magnetoelectric']","['determination magnetic property spinel ferrite 57fe zero field nmr', 'strain tune magnetic anisotropy nickel zinc ferrite thin film', 'metal co substitution assist electrical magnetic property ferrite cofe2o4']"
2,223,2_ion_battery_cathode_batteries,"['ion', 'battery', 'cathode', 'batteries', 'sodium', 'lithium', 'li', 'na', 'anode', 'rechargeable']","['mechanistic insight ion transport layered materials sodium ion rechargeable batteries', 'manganese base tunnel type cathode materials secondary li ion ion batteries', 'nanostructured cathode materials li‐/na‐ion aqueous non‐aqueous batteries']"
3,178,3_gravitational_black_dark_hole,"['gravitational', 'black', 'dark', 'hole', 'gravity', 'matter', 'white', 'dwarf', 'neutron', 'primordial']","['gravitational wave f(r gravity possible signature sub- super chandrasekhar limiting mass white dwarfs', 'primordial black hole gravitational wave signature', 'continuous gravitational wave magnetize white dwarf']"
4,177,4_wear_sic_aluminium_matrix,"['wear', 'sic', 'aluminium', 'matrix', 'composites', 'mmc', 'composite', 'reinforce', 'mechanical', 'al7075']","['study microstructure wear property novel aluminium modify fly ash composite', 'study microstructure wear property novel aluminium modify fly ash composite', 'optimization wear behaviour al7075 sic al mmc statistical method']"
5,163,5_biodiesel_diesel_engine_biomass,"['biodiesel', 'diesel', 'engine', 'biomass', 'oil', 'production', 'fuel', 'biogas', 'blend', 'ignition']","['experimental investigation direct injection diesel engine waste plastic oil fuel', 'effect novel bio waste derive nano particle additive performance diesel engine fuel waste cooking oil biodiesel blend', 'biodiesel biomass production sustainable biodiesel fuel']"
6,157,6_photonic_silicon_waveguide_resonator,"['photonic', 'silicon', 'waveguide', 'resonator', 'ring', 'nitride', 'grating', 'coupler', 'biosensor', 'crystal']","['square ring resonator base photonic crystal pressure sensing', 'silicon embed high efficiency grating coupler 125 nm thin silicon nitride waveguide', 'visible wavelength photonic integrated circuit silicon nitride platform chip sensing applications']"
7,154,7_antenna_patch_microstrip_band,"['antenna', 'patch', 'microstrip', 'band', 'slot', 'dual', 'circularly', 'loaded', 'multiband', 'polarize']","['design development novel patch antenna array application', 'performance enhancement microstrip patch antenna slot communication', 'multi frequency microstrip patch antenna review design application']"
8,153,8_graph_vertex_graphs_domination,"['graph', 'vertex', 'graphs', 'domination', 'laceability', 'cover', 'percolation', 'dominating', 'approximation', 'indices']","['edge irregularity strength line graph line cut vertex graph comb graph', 'generalized vertex energy graph', 'domination double vertex graphs']"
9,140,9_education_course_student_outcome,"['education', 'course', 'student', 'outcome', 'teaching', 'online', 'transformations', 'courses', 'curriculum', 'obe']","['enhancement programme outcomes cryptography network security course alternate assessment tool approach outcome base education', 'effectiveness project base learning outcome based education- case study', 'enhancement program outcomes cryptography network security course alternate assessment tool approach outcome base education']"
10,140,10_blockchain_record_records_ethereum,"['blockchain', 'record', 'records', 'ethereum', 'technology', 'supply', 'chain', 'contract', 'privacy', 'decentralized']","['healthcare management system blockchain', 'blockchain technology applications', 'blockchain']"
11,137,11_nanoparticle_chitosan_gold_antioxidant,"['nanoparticle', 'chitosan', 'gold', 'antioxidant', 'nanoparticles', 'delivery', 'silver', 'nanozyme', 'activity', 'antibacterial']","['natural tripeptide cap ph sensitive gold nanoparticle efficacious doxorubicin delivery vitro vivo', 'synthesis characterization high molecular weight chitosan antioxidant activity chitosan oligosaccharide encapsulation', 'mesoporous silica nanoparticle cap chitosan glucuronic acid conjugate ph responsive target delivery fluorouracil']"
12,135,12_galaxy_galactic_star_ngc,"['galaxy', 'galactic', 'star', 'ngc', 'disk', 'uvit', 'radio', 'astrosat', 'glostar', 'disc']","['global view star formation glostar galactic plane survey iv radio continuum detection young stellar object galactic centre region', 'global view star formation glostar galactic plane survey', 'global view star formation glostar galactic plane survey']"
13,134,13_speech_speaker_articulatory_voice,"['speech', 'speaker', 'articulatory', 'voice', 'end', 'acoustic', 'recognition', 'diarization', 'audio', 'whispered']","['signal speech', 'speech recognition system deep neural network', 'performance analysis speech speaker recognition system different optimization strategy']"
14,129,14_equation_problem_galerkin_problems,"['equation', 'problem', 'galerkin', 'problems', 'homogenization', 'differential', 'parabolic', 'equations', 'elliptic', 'discontinuous']","['new approach solve elliptic obstacle problem discontinuous galerkin method', 'finite element analysis constrained dirichlet boundary control problem govern linear parabolic equation', 'high order approximation fractional order integro parabolic partial differential equation adaptive mesh error analysis']"
15,129,15_graphene_bilayer_twisted_heterostructure,"['graphene', 'bilayer', 'twisted', 'heterostructure', 'magic', 'hbn', 'mos2', 'heterostructures', 'angle', 'noise']","['phonon linewidth twisted bilayer graphene near magic angle', 'low frequency resistance noise near magic angle twisted bilayer graphene', 'anomaly raman mode twisted bilayer graphene near magic angle']"
16,128,16_thermoelectric_cu_te_bi2te3,"['thermoelectric', 'cu', 'te', 'bi2te3', 'tetrahedrite', 'ultralow', 'thermal', 'conductivity', 'sb', 'materials']","['investigation thermoelectric property lafe0.1co0.9o3 compound', 'mechanical thermoelectric properties eutectic composite bi sb)2te3 te thermoelectric material', 'recent advance design thermoelectric material']"
17,126,17_nanofluid_stretching_flow_heat,"['nanofluid', 'stretching', 'flow', 'heat', 'convective', 'mhd', 'nanofluids', 'transfer', 'porous', 'gyrotactic']","['unsteady thin film flow heat transfer fe nanofluid inclined stretching sheet porous medium', 'nanofluid boundary layer flow stretching body presence porous medium', 'shape effect nanoparticle mhd nanofluid flow stretching sheet presence heat source sink entropy generation']"
