domain_name,2019,2020,2021,2022,2023,2024,2025,cagr_percent,trend
Energy Storage and Renewable Energy,51.0,64.0,65.0,117.0,118.0,126.0,140.0,18.33,High Growth
Cybersecurity and Blockchain,87.0,110.0,148.0,133.0,166.0,165.0,199.0,14.79,High Growth
Artificial Intelligence and Computer Vision,56.0,77.0,74.0,98.0,89.0,103.0,125.0,14.32,High Growth
Intelligent Transportation Systems,38.0,52.0,58.0,52.0,98.0,82.0,77.0,12.49,High Growth
Biomaterials and Tissue Engineering,73.0,85.0,127.0,134.0,136.0,134.0,139.0,11.33,High Growth
Robotics and Autonomous Systems,94.0,195.0,164.0,173.0,220.0,243.0,176.0,11.02,High Growth
Agriculture and Environmental Systems,62.0,110.0,99.0,140.0,145.0,127.0,110.0,10.03,High Growth
Healthcare and Biomedical Engineering,75.0,88.0,114.0,116.0,125.0,164.0,126.0,9.03,Growing
Bioinformatics and Life Sciences,46.0,53.0,70.0,58.0,79.0,79.0,76.0,8.73,Growing
Applied Mathematics and Simulation,66.0,83.0,115.0,105.0,113.0,85.0,109.0,8.72,Growing
Social Computing and Security Analytics,43.0,88.0,91.0,80.0,83.0,95.0,71.0,8.72,Growing
Smart Energy Systems,105.0,122.0,144.0,153.0,153.0,153.0,159.0,7.16,Growing
Aerospace and Fluid Dynamics,102.0,114.0,142.0,144.0,177.0,148.0,140.0,5.42,Growing
Advanced Materials and Nanotechnology,105.0,134.0,129.0,139.0,151.0,164.0,139.0,4.79,Stable
Data Science and Knowledge Discovery,89.0,109.0,127.0,125.0,121.0,147.0,115.0,4.36,Stable
Construction and Infrastructure Materials,35.0,48.0,50.0,67.0,59.0,68.0,45.0,4.28,Stable
Wireless Communications and IoT,136.0,107.0,164.0,189.0,200.0,161.0,161.0,2.85,Stable
Advanced Manufacturing and Metallurgy,82.0,120.0,110.0,113.0,121.0,118.0,97.0,2.84,Stable
Speech and Language Technologies,55.0,72.0,67.0,53.0,82.0,58.0,62.0,2.02,Stable
Physics and Theoretical Sciences,101.0,95.0,138.0,162.0,124.0,109.0,110.0,1.43,Stable
Smart Cities and Sustainability,35.0,47.0,46.0,43.0,44.0,49.0,38.0,1.38,Stable
Computer Systems and Algorithms,78.0,92.0,103.0,88.0,83.0,100.0,83.0,1.04,Stable
Photonics and Quantum Materials,231.0,226.0,247.0,247.0,266.0,241.0,241.0,0.71,Stable
Semiconductors and Nanoelectronics,115.0,128.0,96.0,116.0,114.0,127.0,119.0,0.57,Stable
Mechanical Systems and Control Engineering,78.0,96.0,76.0,104.0,72.0,64.0,55.0,-5.66,Declining
