researcher,institution,domain,publications,citations,research_score,rank
Satyam Suwas,Indian Institute of Science Bangalore,Advanced Manufacturing and Metallurgy,87,1534,204.68,1
Satish V. Kailas,Indian Institute of Science Bangalore,Advanced Manufacturing and Metallurgy,28,566,67.32,2
Nitish Bibhanshu,Indian Institute of Science Bangalore,Advanced Manufacturing and Metallurgy,17,289,39.78,3
Prosenjit Das,Indian Institute of Science Bangalore,Advanced Manufacturing and Metallurgy,18,110,38.2,4
Chandra S. Perugu,Indian Institute of Science Bangalore,Advanced Manufacturing and Metallurgy,16,277,37.54,5
Suryasarathi Bose,Indian Institute of Science Bangalore,Advanced Materials and Nanotechnology,36,1146,94.92,1
Navakanta Bhat,Indian Institute of Science Bangalore,Advanced Materials and Nanotechnology,33,709,80.18,2
Ravindra Kumar Jha,Indian Institute of Science Bangalore,Advanced Materials and Nanotechnology,23,627,58.54,3
Praveen C. Ramamurthy,Indian Institute of Science Bangalore,Advanced Materials and Nanotechnology,22,285,49.7,4
Karuna Kar Nanda,Indian Institute of Science Bangalore,Advanced Materials and Nanotechnology,19,451,47.02,5
Pramod Kumar,Indian Institute of Science Bangalore,Aerospace and Fluid Dynamics,52,239,108.78,1
Banibrata Mukhopadhyay,Indian Institute of Science Bangalore,Aerospace and Fluid Dynamics,48,340,102.8,2
G. Jagadeesh,Indian Institute of Science Bangalore,Aerospace and Fluid Dynamics,41,304,88.08,3
Sudhan Majhi,Indian Institute of Science Bangalore,Aerospace and Fluid Dynamics,26,85,53.7,4
Santosh Hemchandra,Indian Institute of Science Bangalore,Aerospace and Fluid Dynamics,24,174,51.48,5
G. L. Sivakumar Babu,Indian Institute of Science Bangalore,Agriculture and Environmental Systems,37,357,81.14,1
Jyant Kumar,Indian Institute of Science Bangalore,Agriculture and Environmental Systems,18,195,39.9,2
Gali Madhavi Latha,Indian Institute of Science Bangalore,Agriculture and Environmental Systems,18,136,38.72,3
S. Dasappa,Indian Institute of Science Bangalore,Agriculture and Environmental Systems,17,127,36.54,4
Anand M. Shivapuji,Indian Institute of Science Bangalore,Agriculture and Environmental Systems,14,223,32.46,5
B. M. Shankar,PES University,Applied Mathematics and Simulation,28,363,63.26,1
I. S. Shivakumara,PES University,Applied Mathematics and Simulation,28,363,63.26,2
A. K. Nandakumaran,Indian Institute of Science Bangalore,Applied Mathematics and Simulation,26,95,53.9,3
Aloke Paul,Indian Institute of Science Bangalore,Applied Mathematics and Simulation,22,262,49.24,4
Anuj Dash,Indian Institute of Science Bangalore,Applied Mathematics and Simulation,18,244,40.88,5
Pradipta Biswas,Indian Institute of Science Bangalore,Artificial Intelligence and Computer Vision,14,168,31.36,1
A. Vinay,PES University,Artificial Intelligence and Computer Vision,12,13,24.26,2
Radhika K R,B.M.S. College of Engineering,Artificial Intelligence and Computer Vision,12,0,24.0,3
L. R. D. Murthy,Indian Institute of Science Bangalore,Artificial Intelligence and Computer Vision,9,147,20.94,4
S. Natarajan,PES University,Artificial Intelligence and Computer Vision,10,11,20.22,5
Saptarshi Basu,Indian Institute of Science Bangalore,Bioinformatics and Life Sciences,37,647,86.94,1
Aloke Kumar,Indian Institute of Science Bangalore,Bioinformatics and Life Sciences,16,310,38.2,2
Susmita Dash,Indian Institute of Science Bangalore,Bioinformatics and Life Sciences,14,127,30.54,3
Akhil R. Chakravarty,Indian Institute of Science Bangalore,Bioinformatics and Life Sciences,11,308,28.16,4
Aarti Upadhyay,Indian Institute of Science Bangalore,Bioinformatics and Life Sciences,12,157,27.14,5
Vishwas Mahesh,Indian Institute of Science Bangalore,Biomaterials and Tissue Engineering,48,650,109.0,1
Vinyas Mahesh,Indian Institute of Science Bangalore,Biomaterials and Tissue Engineering,43,570,97.4,2
Kaushik Chatterjee,Indian Institute of Science Bangalore,Biomaterials and Tissue Engineering,28,789,71.78,3
Suryasarathi Bose,Indian Institute of Science Bangalore,Biomaterials and Tissue Engineering,30,539,70.78,4
Bikramjit Basu,Indian Institute of Science Bangalore,Biomaterials and Tissue Engineering,28,448,64.96,5
B. Sundar Rajan,Indian Institute of Science Bangalore,Computer Systems and Algorithms,30,82,61.64,1
Arpita Patra,Indian Institute of Science Bangalore,Computer Systems and Algorithms,27,171,57.42,2
Shayan Srinivasa Garani,Indian Institute of Science Bangalore,Computer Systems and Algorithms,24,112,50.24,3
Arindam Khan,Indian Institute of Science Bangalore,Computer Systems and Algorithms,18,68,37.36,4
Madhav Rao,International Institute of Information Technology Bangalore,Computer Systems and Algorithms,15,40,30.8,5
Chandan Srivastava,Indian Institute of Science Bangalore,Construction and Infrastructure Materials,72,1525,174.5,1
Abhay Gupta,Indian Institute of Science Bangalore,Construction and Infrastructure Materials,17,308,40.16,2
K. Sai Jyotheender,Indian Institute of Science Bangalore,Construction and Infrastructure Materials,15,345,36.9,3
Akhand Pratap Singh,Indian Institute of Science Bangalore,Construction and Infrastructure Materials,15,139,32.78,4
Ananth Ramaswamy,Indian Institute of Science Bangalore,Construction and Infrastructure Materials,12,77,25.54,5
B. Sundar Rajan,Indian Institute of Science Bangalore,Cybersecurity and Blockchain,45,115,92.3,1
Prasad B. Honnavalli,PES University,Cybersecurity and Blockchain,29,219,62.38,2
V Sarasvathi,PES University,Cybersecurity and Blockchain,14,37,28.74,3
Subramaniam Kalambur,PES University,Cybersecurity and Blockchain,13,55,27.1,4
Dankan Gowda,International Institute of Information Technology Bangalore,Cybersecurity and Blockchain,9,153,21.06,5
Partha Talukdar,Indian Institute of Science Bangalore,Data Science and Knowledge Discovery,12,1085,45.7,1
L. Sunil Chandran,Indian Institute of Science Bangalore,Data Science and Knowledge Discovery,18,24,36.48,2
B. Ananthanarayan,Indian Institute of Science Bangalore,Data Science and Knowledge Discovery,15,119,32.38,3
Rajiv Soundararajan,Indian Institute of Science Bangalore,Data Science and Knowledge Discovery,13,178,29.56,4
Anand Louis,Indian Institute of Science Bangalore,Data Science and Knowledge Discovery,13,159,29.18,5
Prabeer Barpanda,Indian Institute of Science Bangalore,Energy Storage and Renewable Energy,50,717,114.34,1
