domain_name,publications,patents,grants,theses,total,institutions,research_score
Robotics and Autonomous Systems,1759.0,306.0,391.0,236.0,2692.0,8,3389.0
Semiconductors and Nanoelectronics,1374.0,259.0,391.0,226.0,2250.0,8,2900.0
Aerospace and Fluid Dynamics,1698.0,337.0,34.0,322.0,2391.0,8,2762.0
Photonics and Quantum Materials,1806.0,273.0,34.0,196.0,2309.0,8,2616.0
Biomaterials and Tissue Engineering,1142.0,252.0,391.0,168.0,1953.0,8,2596.0
Healthcare and Biomedical Engineering,1509.0,324.0,34.0,303.0,2170.0,8,2528.0
Wireless Communications and IoT,1726.0,304.0,0.0,182.0,2212.0,8,2516.0
Agriculture and Environmental Systems,1477.0,338.0,34.0,292.0,2141.0,8,2513.0
Data Science and Knowledge Discovery,1415.0,210.0,0.0,120.0,1745.0,8,1955.0
Intelligent Transportation Systems,734.0,150.0,391.0,110.0,1385.0,8,1926.0
Advanced Materials and Nanotechnology,1370.0,163.0,0.0,75.0,1608.0,8,1771.0
Smart Energy Systems,1325.0,144.0,0.0,132.0,1601.0,8,1745.0
Cybersecurity and Blockchain,1271.0,136.0,0.0,99.0,1506.0,8,1642.0
Energy Storage and Renewable Energy,1039.0,215.0,0.0,155.0,1409.0,8,1624.0
Construction and Infrastructure Materials,1025.0,199.0,0.0,138.0,1362.0,8,1561.0
Bioinformatics and Life Sciences,971.0,179.0,0.0,119.0,1269.0,8,1448.0
Advanced Manufacturing and Metallurgy,973.0,142.0,0.0,134.0,1249.0,8,1391.0
Computer Systems and Algorithms,970.0,131.0,0.0,49.0,1150.0,8,1281.0
Physics and Theoretical Sciences,924.0,63.0,0.0,24.0,1011.0,8,1074.0
Speech and Language Technologies,681.0,131.0,0.0,129.0,941.0,8,1072.0
Applied Mathematics and Simulation,709.0,77.0,0.0,37.0,823.0,8,900.0
Artificial Intelligence and Computer Vision,805.0,39.0,0.0,0.0,844.0,8,883.0
Mechanical Systems and Control Engineering,735.0,56.0,0.0,11.0,802.0,8,858.0
Social Computing and Security Analytics,572.0,40.0,0.0,14.0,626.0,8,666.0
Smart Cities and Sustainability,436.0,34.0,0.0,21.0,491.0,7,525.0
