institution,rank,researcher,theses,research_score
B.M.S. College of Engineering,1,Sumantha H S,2,6
B.M.S. College of Engineering,2,Anitha H M,2,6
B.M.S. College of Engineering,3,M Santoshi Kumari,2,6
B.M.S. College of Engineering,4,RAMACHANDRA BALLARY,1,3
B.M.S. College of Engineering,5,Rajesh P,1,3
CMR Institute of Technology,1,Prajwala T R,1,3
CMR Institute of Technology,2,Preetha S,1,3
CMR Institute of Technology,3,Richa Tengshe,1,3
CMR Institute of Technology,4,Rubini PE,1,3
CMR Institute of Technology,5,Rosline Mary A,1,3
Dayananda Sagar College of Engineering,1,Prakasha H T,1,3
Dayananda Sagar College of Engineering,2,Preetham J,1,3
Dayananda Sagar College of Engineering,3,Roopa Farshi,1,3
Dayananda Sagar College of Engineering,4,Ravindra S,1,3
Dayananda Sagar College of Engineering,5,Roshny N Kurup,1,3
Indian Institute of Science Bangalore,1,Atheeth S,3,9
Indian Institute of Science Bangalore,2,Kumar Kundan,2,6
Indian Institute of Science Bangalore,3,Kumar Naveen,2,6
Indian Institute of Science Bangalore,4,Jayant Hemang Kumar,2,6
Indian Institute of Science Bangalore,5,Singh Prachi,2,6
International Institute of Information Technology Bangalore,1,Shrivastava Swapnil,2,6
International Institute of Information Technology Bangalore,2,V P Sanjay,2,6
International Institute of Information Technology Bangalore,3,A Parthiban,1,3
International Institute of Information Technology Bangalore,4,Prabhakar Anjana,1,3
International Institute of Information Technology Bangalore,5,R Yashwanth,1,3
M.S. Ramaiah Institute of Technology,1,Jeny Varghese,2,6
M.S. Ramaiah Institute of Technology,2,Rajendra P,1,3
M.S. Ramaiah Institute of Technology,3,Pramod Sunagar,1,3
M.S. Ramaiah Institute of Technology,4,Pradima Britto J,1,3
M.S. Ramaiah Institute of Technology,5,Pradeep S,1,3
PES University,1,Roopesh R,1,3
PES University,2,Pavithra H M,1,3
PES University,3,Sunita Kumari,1,3
PES University,4,Sutar Nikhil,1,3
PES University,5,Vishnu Prasad C,1,3
R V College of Engineering,1,AKSHATHA PRASANNA,4,12
R V College of Engineering,2,Suma N,2,6
R V College of Engineering,3,Kalyan N,2,6
R V College of Engineering,4,Vanishree K,2,6
R V College of Engineering,5,Nanditha Krishna,2,6
