institution,venue_type,venue,publications
B.M.S. College of Engineering,Conference,10th International Conference on Recent Engineering and Technology [ICRET –,2
B.M.S. College of Engineering,Conference,"2021 7th International Conference on Advanced Computing and Communication Systems (ICACCS),",2
B.M.S. College of Engineering,Conference,"2023 International Conference on Network, Multimedia and Information Technology (NMITCON), Bengaluru, India, October",2
B.M.S. College of Engineering,Conference,"2024 2nd International Conference on Networking, Embedded and Wireless Systems (ICNEWS), Bangalore, India,",2
B.M.S. College of Engineering,Conference,"IEEE 3rd International Conference on Inventive Systems and control, Coimbotore, 13-14th January",2
B.M.S. College of Engineering,Journal,"Journal of Molecular Structure,",6
B.M.S. College of Engineering,Journal,"Indiana Journal of Multidisciplinary Research, vol. 4, no. 3,",3
B.M.S. College of Engineering,Journal,"2023 International Conference on Recent Advances in Science and Engineering Technology (ICRASET), B G NAGARA, India,",2
B.M.S. College of Engineering,Journal,"2024 International Conference on Emerging Technologies in Computer Science for Interdisciplinary Applications (ICETCS), Bengaluru, India,",2
B.M.S. College of Engineering,Journal,"Grenze International Journal of Engineering and Technology, June Issue",2
CMR Institute of Technology,Conference,Materials Today: Proceedings,123
CMR Institute of Technology,Conference,AIP Conference Proceedings,60
CMR Institute of Technology,Conference,"Proceedings of the 2022 3rd International Conference on Communication, Computing and Industry 4.0, C2I4 2022",20
CMR Institute of Technology,Conference,"1st International Conference on Electronics, Computing, Communication and Control Technology, ICECCC 2024",19
CMR Institute of Technology,Conference,"2024 15th International Conference on Computing Communication and Networking Technologies, ICCCNT 2024",19
CMR Institute of Technology,Journal,Journal of Physics: Conference Series,34
CMR Institute of Technology,Journal,International Journal of Ambient Energy,13
CMR Institute of Technology,Journal,International Journal of Innovative Technology and Exploring Engineering,11
CMR Institute of Technology,Journal,International Journal of Intelligent Systems and Applications in Engineering,11
CMR Institute of Technology,Journal,International Journal of Recent Technology and Engineering,11
Dayananda Sagar College of Engineering,Conference,Materials Today: Proceedings,15
Dayananda Sagar College of Engineering,Conference,AIP Conference Proceedings,9
Dayananda Sagar College of Engineering,Conference,2021 International Conference on Disruptive Technologies for Multi-Disciplinary Research and Applications (CENTCON),6
Dayananda Sagar College of Engineering,Conference,"2025 IEEE International Conference for Women in Innovation, Technology &amp;amp; Entrepreneurship (ICWITE)",5
Dayananda Sagar College of Engineering,Conference,"2024 IEEE Space, Aerospace and Defence Conference (SPACE)",4
Dayananda Sagar College of Engineering,Journal,Journal of Optics,10
Dayananda Sagar College of Engineering,Journal,SSRN Electronic Journal,7
Dayananda Sagar College of Engineering,Journal,International Journal for Research in Applied Science and Engineering Technology,6
Dayananda Sagar College of Engineering,Journal,Journal of The Institution of Engineers (India): Series D,6
Dayananda Sagar College of Engineering,Journal,International Journal of Electrical and Computer Engineering (IJECE),5
Indian Institute of Science Bangalore,Conference,AIP conference proceedings,53
Indian Institute of Science Bangalore,Conference,Materials Today Proceedings,51
Indian Institute of Science Bangalore,Conference,ECS Meeting Abstracts,35
Indian Institute of Science Bangalore,Conference,Proceedings of the AAAI Conference on Artificial Intelligence,34
Indian Institute of Science Bangalore,Conference,Springer proceedings in physics,28
Indian Institute of Science Bangalore,Journal,Physical review. B./Physical review. B,268
Indian Institute of Science Bangalore,Journal,Lecture notes in computer science,139
Indian Institute of Science Bangalore,Journal,SSRN Electronic Journal,130
Indian Institute of Science Bangalore,Journal,Journal of Alloys and Compounds,105
Indian Institute of Science Bangalore,Journal,ePrints@IISc (Indian Institute of Science),84
International Institute of Information Technology Bangalore,Conference,Materials Today Proceedings,48
International Institute of Information Technology Bangalore,Conference,AIP conference proceedings,31
International Institute of Information Technology Bangalore,Conference,"2021 IEEE International Conference on Electronics, Computing and Communication Technologies (CONECCT)",11
International Institute of Information Technology Bangalore,Conference,"2022 IEEE International Conference on Electronics, Computing and Communication Technologies (CONECCT)",11
International Institute of Information Technology Bangalore,Conference,2022 IEEE International Conference on Signal Processing and Communications (SPCOM),6
International Institute of Information Technology Bangalore,Journal,Lecture notes in computer science,65
International Institute of Information Technology Bangalore,Journal,Encyclopedia of earth sciences series/Encyclopedia of earth sciences,21
International Institute of Information Technology Bangalore,Journal,Journal of Mines Metals and Fuels,21
International Institute of Information Technology Bangalore,Journal,SSRN Electronic Journal,21
International Institute of Information Technology Bangalore,Journal,INTERANTIONAL JOURNAL OF SCIENTIFIC RESEARCH IN ENGINEERING AND MANAGEMENT,19
M.S. Ramaiah Institute of Technology,Conference,"COMSYS2023-Conference Proceedings to be published in Springer book series ""Lecture Notes in Networks and Systems"" Electronic ISSN: 2367-3389 Print ISSN: 2367-3370",3
M.S. Ramaiah Institute of Technology,Conference,IEEE Bangalore Humanitarian Technology Conference,3
M.S. Ramaiah Institute of Technology,Conference,2021 IEEE Mysore Sub Section International Conference (Mysuru Con),2
M.S. Ramaiah Institute of Technology,Conference,2021 IEEE Mysore Sub Section International Conference (MysuruCon),2
M.S. Ramaiah Institute of Technology,Conference,"7th International Conference on Computational Systems and Information Technology for Sustainable Solutions, Organized by RV College of Engineering 2023",2
M.S. Ramaiah Institute of Technology,Journal,International Journal of Advanced Science and Technology,5
M.S. Ramaiah Institute of Technology,Journal,International Journal of Business Intelligence and Data Mining,3
M.S. Ramaiah Institute of Technology,Journal,International Journal of Innovative Technology and Exploring Engineering (IJITEE),3
M.S. Ramaiah Institute of Technology,Journal,Part E: Journal of Process Mechanical Engineering,3
M.S. Ramaiah Institute of Technology,Journal,International Conference on Current Research Trends in Engineering Science and Management,2
PES University,Conference,Materials Today: Proceedings,46
PES University,Conference,AIP Conference Proceedings,24
PES University,Conference,2024 IEEE 9th International Conference for Convergence in Technology (I2CT),15
PES University,Conference,2022 IEEE 7th International conference for Convergence in Technology (I2CT),13
PES University,Conference,2023 IEEE 8th International Conference for Convergence in Technology (I2CT),13
PES University,Journal,Communications in Computer and Information Science,42
PES University,Journal,International Journal for Research in Applied Science and Engineering Technology,32
PES University,Journal,SSRN Electronic Journal,23
PES University,Journal,Lecture Notes in Computer Science,17
PES University,Journal,Procedia Computer Science,15
R V College of Engineering,Conference,2023 7th International Conference on Computation System and Information Technology for Sustainable Solutions (CSITSS),40
R V College of Engineering,Conference,Materials Today: Proceedings,38
R V College of Engineering,Conference,2025 9th International Conference on Computational System and Information Technology for Sustainable Solutions (CSITSS),33
R V College of Engineering,Conference,2024 8th International Conference on Computational System and Information Technology for Sustainable Solutions (CSITSS),20
R V College of Engineering,Conference,"2019 4th International Conference on Recent Trends on Electronics, Information, Communication &amp; Technology (RTEICT)",11
R V College of Engineering,Journal,Journal of University of Shanghai for Science and Technology,28
R V College of Engineering,Journal,International Journal for Research in Applied Science and Engineering Technology,17
R V College of Engineering,Journal,International Journal of Electrical and Computer Engineering (IJECE),12
R V College of Engineering,Journal,SSRN Electronic Journal,11
R V College of Engineering,Journal,International Journal of Engineering and Advanced Technology,10
