institution,year,publications,patents,grants,theses,total_research
B.M.S. College of Engineering,2019,241,6,1,0,248
B.M.S. College of Engineering,2020,276,5,15,1,297
B.M.S. College of Engineering,2021,281,4,4,5,294
B.M.S. College of Engineering,2022,252,4,10,5,271
B.M.S. College of Engineering,2023,305,8,14,14,341
B.M.S. College of Engineering,2024,316,10,4,4,334
B.M.S. College of Engineering,2025,395,14,0,2,411
B.M.S. College of Engineering,2026,104,0,0,0,104
CMR Institute of Technology,2019,183,0,0,5,188
CMR Institute of Technology,2020,321,0,5,2,328
CMR Institute of Technology,2021,511,3,19,4,537
CMR Institute of Technology,2022,421,135,8,9,573
CMR Institute of Technology,2023,418,144,9,15,586
CMR Institute of Technology,2024,344,131,19,10,504
CMR Institute of Technology,2025,271,55,0,4,330
CMR Institute of Technology,2026,0,19,0,0,19
Dayananda Sagar College of Engineering,2019,45,0,1,10,56
Dayananda Sagar College of Engineering,2020,53,0,0,14,67
Dayananda Sagar College of Engineering,2021,90,16,0,6,112
Dayananda Sagar College of Engineering,2022,95,21,2,7,125
Dayananda Sagar College of Engineering,2023,121,81,1,0,203
Dayananda Sagar College of Engineering,2024,158,143,1,0,302
Dayananda Sagar College of Engineering,2025,158,161,0,0,319
Dayananda Sagar College of Engineering,2026,65,113,0,0,178
Indian Institute of Science Bangalore,2019,1956,48,9,100,2113
Indian Institute of Science Bangalore,2020,2164,51,64,130,2409
Indian Institute of Science Bangalore,2021,2123,67,7,144,2341
Indian Institute of Science Bangalore,2022,2282,67,27,129,2505
Indian Institute of Science Bangalore,2023,2220,106,44,151,2521
Indian Institute of Science Bangalore,2024,2230,143,33,183,2589
Indian Institute of Science Bangalore,2025,2301,117,3,26,2447
Indian Institute of Science Bangalore,2026,0,65,34,0,99
International Institute of Information Technology Bangalore,2019,210,1,1,9,221
International Institute of Information Technology Bangalore,2020,238,0,4,4,246
International Institute of Information Technology Bangalore,2021,334,0,1,8,343
International Institute of Information Technology Bangalore,2022,359,2,2,7,370
International Institute of Information Technology Bangalore,2023,369,6,0,13,388
International Institute of Information Technology Bangalore,2024,412,7,0,9,428
International Institute of Information Technology Bangalore,2025,535,12,0,17,564
International Institute of Information Technology Bangalore,2026,0,4,2,0,6
M S Ramaiah Institute of Technology,2019,31,25,11,0,67
M S Ramaiah Institute of Technology,2020,59,27,23,1,110
M S Ramaiah Institute of Technology,2021,82,17,20,0,119
M S Ramaiah Institute of Technology,2022,109,42,2,4,157
M S Ramaiah Institute of Technology,2023,74,50,0,6,130
M S Ramaiah Institute of Technology,2024,58,55,0,6,119
M S Ramaiah Institute of Technology,2025,18,28,0,3,49
M S Ramaiah Institute of Technology,2026,0,4,0,0,4
PES University,2019,267,8,0,7,282
PES University,2020,339,4,0,10,353
PES University,2021,376,3,0,1,380
PES University,2022,422,13,0,0,435
PES University,2023,496,10,0,0,506
PES University,2024,501,30,0,0,531
PES University,2025,508,31,0,0,539
PES University,2026,148,9,0,0,157
R V College of Engineering,2019,144,2,0,7,153
R V College of Engineering,2020,177,6,4,21,208
R V College of Engineering,2021,241,5,2,25,273
R V College of Engineering,2022,200,2,7,43,252
R V College of Engineering,2023,191,3,5,41,240
R V College of Engineering,2024,182,2,8,21,213
R V College of Engineering,2025,143,18,16,2,179
R V College of Engineering,2026,53,9,0,0,62
