institution,year,publications,patents,grants,theses,total_research,yoy_growth_percent,trend
B.M.S. College of Engineering,2019,241,6,1,0,248,,Base Year
B.M.S. College of Engineering,2020,276,5,15,1,297,19.76,High Growth
B.M.S. College of Engineering,2021,281,4,4,5,294,-1.01,Slight Decline
B.M.S. College of Engineering,2022,252,4,10,5,271,-7.82,Slight Decline
B.M.S. College of Engineering,2023,305,8,14,14,341,25.83,High Growth
B.M.S. College of Engineering,2024,316,10,4,4,334,-2.05,Slight Decline
B.M.S. College of Engineering,2025,395,14,0,2,411,23.05,High Growth
CMR Institute of Technology,2019,183,0,0,5,188,,Base Year
CMR Institute of Technology,2020,321,0,5,2,328,74.47,High Growth
CMR Institute of Technology,2021,511,3,19,4,537,63.72,High Growth
CMR Institute of Technology,2022,421,135,8,9,573,6.7,Growing
CMR Institute of Technology,2023,418,144,9,15,586,2.27,Growing
CMR Institute of Technology,2024,344,131,19,10,504,-13.99,Declining
CMR Institute of Technology,2025,271,55,0,4,330,-34.52,Declining
Dayananda Sagar College of Engineering,2019,45,0,1,10,56,,Base Year
Dayananda Sagar College of Engineering,2020,53,0,0,14,67,19.64,High Growth
Dayananda Sagar College of Engineering,2021,90,16,0,6,112,67.16,High Growth
Dayananda Sagar College of Engineering,2022,95,21,2,7,125,11.61,High Growth
Dayananda Sagar College of Engineering,2023,121,81,1,0,203,62.4,High Growth
Dayananda Sagar College of Engineering,2024,158,143,1,0,302,48.77,High Growth
Dayananda Sagar College of Engineering,2025,158,161,0,0,319,5.63,Growing
Indian Institute of Science Bangalore,2019,1956,48,9,100,2113,,Base Year
Indian Institute of Science Bangalore,2020,2164,51,64,130,2409,14.01,High Growth
Indian Institute of Science Bangalore,2021,2123,67,7,144,2341,-2.82,Slight Decline
Indian Institute of Science Bangalore,2022,2282,67,27,129,2505,7.01,Growing
Indian Institute of Science Bangalore,2023,2220,106,44,151,2521,0.64,Growing
Indian Institute of Science Bangalore,2024,2230,143,33,183,2589,2.7,Growing
Indian Institute of Science Bangalore,2025,2301,117,3,26,2447,-5.48,Slight Decline
International Institute of Information Technology Bangalore,2019,210,1,1,9,221,,Base Year
International Institute of Information Technology Bangalore,2020,238,0,4,4,246,11.31,High Growth
International Institute of Information Technology Bangalore,2021,334,0,1,8,343,39.43,High Growth
International Institute of Information Technology Bangalore,2022,359,2,2,7,370,7.87,Growing
International Institute of Information Technology Bangalore,2023,369,6,0,13,388,4.86,Growing
International Institute of Information Technology Bangalore,2024,412,7,0,9,428,10.31,High Growth
International Institute of Information Technology Bangalore,2025,535,12,0,17,564,31.78,High Growth
M S Ramaiah Institute of Technology,2019,31,25,11,0,67,,Base Year
M S Ramaiah Institute of Technology,2020,59,27,23,1,110,64.18,High Growth
M S Ramaiah Institute of Technology,2021,82,17,20,0,119,8.18,Growing
M S Ramaiah Institute of Technology,2022,109,42,2,4,157,31.93,High Growth
M S Ramaiah Institute of Technology,2023,74,50,0,6,130,-17.2,Declining
M S Ramaiah Institute of Technology,2024,58,55,0,6,119,-8.46,Slight Decline
M S Ramaiah Institute of Technology,2025,18,28,0,3,49,-58.82,Declining
PES University,2019,267,8,0,7,282,,Base Year
PES University,2020,339,4,0,10,353,25.18,High Growth
PES University,2021,376,3,0,1,380,7.65,Growing
PES University,2022,422,13,0,0,435,14.47,High Growth
PES University,2023,496,10,0,0,506,16.32,High Growth
PES University,2024,501,30,0,0,531,4.94,Growing
PES University,2025,508,31,0,0,539,1.51,Growing
R V College of Engineering,2019,144,2,0,7,153,,Base Year
R V College of Engineering,2020,177,6,4,21,208,35.95,High Growth
R V College of Engineering,2021,241,5,2,25,273,31.25,High Growth
R V College of Engineering,2022,200,2,7,43,252,-7.69,Slight Decline
R V College of Engineering,2023,191,3,5,41,240,-4.76,Slight Decline
R V College of Engineering,2024,182,2,8,21,213,-11.25,Declining
R V College of Engineering,2025,143,18,16,2,179,-15.96,Declining
