funding_agency,total_projects,total_funding_lakhs,institutions_supported
ANRF,153,15138.8143,7
Tata technology,1,6000.0,1
Department of Science and Technology,31,3609.5344,5
Unknown,70,302.0379,2
DST,9,116.38900000000001,4
DG ECS DRDO,1,98.8102,1
VGST,8,84.83,2
Defence Research and Development Organisation,2,81.945,2
Pvt Fund,4,72.8,1
ISRO,3,69.3225,1
GOI-Ministry of Electronic & Informatin Technology- Meit Y,1,66.65,1
"Ministry of MSME,
Government of India",4,60.0,1
Wipro (Interdisciplinary College Project),1,50.0,1
ER&IPR -Govt of India,1,38.257,1
IIS,1,36.72,1
AICTE,14,35.2563,3
Ministry of Power,1,31.96,1
"Ministry of MSME, Government of India",2,30.0,1
Swan Sorter Systems Pvt Ltd,1,29.1,1
VTU,5,27.6,3
DST/WOS-B,1,26.32,1
"DST
Link",1,25.2036,1
CARS,1,25.0,1
MSME,3,22.925,3
Secureinteli (Private-MNC),1,20.0,1
"IIT, Roorkee under MNRE",1,19.3425,1
CSIR - EMR,1,19.0,1
PreMedAI LABS,1,18.282,1
Bat Conservation India Trust,1,15.3164,1
MSMI 4.0,1,15.0,1
Intugine Technologies Private Limited,1,15.0,1
All India Council for Technical Education,1,13.89,1
CASDIC - DRDO,1,13.57,1
Council of Scientific and Industrial Research,1,13.0,1
CSB-Central Silk Technological Research Institute (CSB-CSTRI),1,12.0,1
Dassualt Systems Foundation,2,11.24,1
IITI Drishti CPS foundation,1,10.0,1
ISRO-URSC,1,9.863,1
DST-TIH,2,9.6,1
PremedAI,1,8.5,1
RIT,2,8.113900000000001,1
Pvt Grants,2,8.0,1
MSGP,1,7.5,1
Greeneria Pvt Ltd,1,7.0,1
Karnataka State Govt.,3,6.98,1
UBA,8,6.6896,1
DST Nidhi Prayas JIT,1,6.3,1
VTU-Research Grant Scheme,1,6.0,1
FINP-INAE-NIAS,3,5.09,1
GIAN,1,4.8,1
Samavrithi Innovation pvt ltd,1,4.68,1
KSCST,7,3.02,3
"ATAL FDP, AICTE",1,3.0,1
ATAL-FDP,1,3.0,1
AICTE - STTP,1,2.97,1
31-08-2021,1,1.8,1
AICTE -GOC,1,1.6667,1
SAARCI Automation solutions private limited,1,1.5,1
"AICTE/ MHRD IIC, POC contest winner, Government of India",1,1.5,1
KREDL,1,1.0,1
VTU Financial Assistance for innovative Projects,8,0.4,1
Indian Servers Pvt. Ltd.,1,0.3,1
PVT,1,0.2,1
Karnataka State Council for Science and Technology(KSCST) for students project,2,0.10500000000000001,1
Procom enterprises Pvt Ltd.,1,0.1,1
IFERP â Innovative Project Seed Funding,1,0.07,1
State Govt,1,0.06,1
KSCST student project programme,1,0.06,1
KSCST student project Programme,1,0.06,1
Kalpavruksha Travel Solutions,1,0.05,1
AICTE ATAL-FDP,3,0.0,1
"Department of Science and Technology (DST), Govt of India Ministry of Education (MoE), Govt of India",2,0.0,1
"VGST, KSTePS, GoK",1,0.0,1
Department of Science and Technology (DST) Source: Department of Science and Technology (DST),1,0.0,1
Department of Science and Technology (DST),3,0.0,2
"KSCST, DST, GoK",2,0.0,1
