pi_name,institution,total_projects,total_funding_lakhs,average_grant_lakhs
Satyam Suwas,Indian Institute of Science Bangalore,1,10366.182,10366.18
"Principal, Krishna M",R V College of Engineering,1,6000.0,6000.0
P. Dutta,Indian Institute of Science Bangalore,1,2394.07,2394.07
S Sampath,Indian Institute of Science Bangalore,1,836.3,836.3
Sambuddha Misra,Indian Institute of Science Bangalore,1,644.8616,644.86
Vivek Tiwari,Indian Institute of Science Bangalore,1,238.1041,238.1
Abha Misra,Indian Institute of Science Bangalore,1,207.2056,207.21
Manoj Varma,Indian Institute of Science Bangalore,1,175.0412,175.04
R. Srikanth,Indian Institute of Science Bangalore,1,150.756,150.76
Suryasarathi Bose,Indian Institute of Science Bangalore,3,129.4405,43.15
Govind Sharan Gupta,Indian Institute of Science Bangalore,2,120.188,60.09
Dr.Abhishek Appaji,B.M.S. College of Engineering,2,114.779,57.39
"Dr Uttara Kumari M Dr. Anala M R, Dr Roja Reddy, Dr Nethravathi K A",R V College of Engineering,1,98.8102,98.81
Dr.Chandrashree Das,B.M.S. College of Engineering,1,95.0,95.0
Pradip Dutta,Indian Institute of Science Bangalore,1,93.6733,93.67
Sriram Rajagopal Ramaswamy,Indian Institute of Science Bangalore,1,81.6563,81.66
P. Thilagar,Indian Institute of Science Bangalore,1,79.7679,79.77
Debiprosad Roy Mahapatra,Indian Institute of Science Bangalore,1,78.3042,78.3
Dr. Chandasree Das,B.M.S. College of Engineering,4,77.813,19.45
Sushobhan Avasthi,Indian Institute of Science Bangalore,1,77.1115,77.11
Ambarish Ghosh,Indian Institute of Science Bangalore,1,76.8907,76.89
Sumit Kumar Mandal,Indian Institute of Science Bangalore,1,72.0648,72.06
Radhakrishna,R V College of Engineering,1,67.268,67.27
"Dr. Veena M B, Dr. Kiran Bailey, Dr. Karthikeya G S, Dr. Abhishek Appaji",B.M.S. College of Engineering,1,66.65,66.65
S.K. Gupta,Indian Institute of Science Bangalore,1,66.5388,66.54
Gayathri Pillai,Indian Institute of Science Bangalore,1,66.3969,66.4
Subho Dasgupta,Indian Institute of Science Bangalore,2,65.2969,32.65
Vini Gautam,Indian Institute of Science Bangalore,1,64.1744,64.17
Akshay K Naik,Indian Institute of Science Bangalore,1,63.1054,63.11
Sudeep Neelakantan Punnathanam,Indian Institute of Science Bangalore,1,62.2536,62.25
Kavita Isvaran,Indian Institute of Science Bangalore,1,62.0452,62.05
S. Mahapatra,Indian Institute of Science Bangalore,2,60.806,30.4
A. Kumar,Indian Institute of Science Bangalore,1,59.8513,59.85
Sudha Kumari,Indian Institute of Science Bangalore,1,59.0962,59.1
R. Roy,Indian Institute of Science Bangalore,1,59.068,59.07
Renee M Borges,Indian Institute of Science Bangalore,1,58.6089,58.61
Praveen Kumar,Indian Institute of Science Bangalore,1,57.4997,57.5
NagaPhani Babu Aetukuri,Indian Institute of Science Bangalore,1,56.98,56.98
Koushik Viswanathan,Indian Institute of Science Bangalore,1,55.8561,55.86
S. Dash,Indian Institute of Science Bangalore,1,52.873,52.87
Debashish Das,Indian Institute of Science Bangalore,1,51.8772,51.88
Jayanth GR,Indian Institute of Science Bangalore,1,50.0464,50.05
Dr.B.K.Sujatha / Dr Swetha Amit,M.S. Ramaiah Institute of Technology,2,50.0,25.0
Dr. Uttara Kumari,R V College of Engineering,1,50.0,50.0
A. Ghosh,Indian Institute of Science Bangalore,1,47.99,47.99
Ravishankar Narayanan,Indian Institute of Science Bangalore,1,47.6325,47.63
D.R. Mahapatra,Indian Institute of Science Bangalore,1,47.58,47.58
S.S. Diwan,Indian Institute of Science Bangalore,1,47.0732,47.07
Chandni U,Indian Institute of Science Bangalore,1,45.6349,45.63
Konduri Aditya,Indian Institute of Science Bangalore,1,45.1004,45.1
Himabindu Mendu,Indian Institute of Science Bangalore,1,44.77,44.77
Nanditha Rao,International Institute of Information Technology Bangalore,1,42.3869,42.39
Debiprosad RoyMahapatra,Indian Institute of Science Bangalore,1,41.1235,41.12
S.S. Gorthi,Indian Institute of Science Bangalore,1,39.9719,39.97
T.G. Murthy,Indian Institute of Science Bangalore,1,39.798,39.8
Sumanta Bagchi,Indian Institute of Science Bangalore,1,38.7279,38.73
Yagnaseni Roy,Indian Institute of Science Bangalore,1,38.3891,38.39
Dineshkumar Harursampath,Indian Institute of Science Bangalore,1,36.8069,36.81
Dr. Bandaru Mallikarjuna,B.M.S. College of Engineering,1,36.72,36.72
P.P. Nallamuthu,Indian Institute of Science Bangalore,1,36.54,36.54
Parimal Parag,Indian Institute of Science Bangalore,1,36.3972,36.4
S. Dasappa,Indian Institute of Science Bangalore,1,36.3312,36.33
P.K. Yalavarthy,Indian Institute of Science Bangalore,1,35.787,35.79
R.N. Govardhan,Indian Institute of Science Bangalore,1,35.596,35.6
P. Gambhire,Indian Institute of Science Bangalore,1,35.497,35.5
Awadhesh Narayan,Indian Institute of Science Bangalore,1,35.0331,35.03
M.S. Krupashankara,R V College of Engineering,1,34.365,34.36
Digbijoy Neelim Nath,Indian Institute of Science Bangalore,1,34.2768,34.28
Rahul Saladi,Indian Institute of Science Bangalore,1,33.7279,33.73
C.S. Thakur,Indian Institute of Science Bangalore,1,33.396,33.4
P.K. Dixit,M.S. Ramaiah Institute of Technology,1,33.32,33.32
H. Mendu,Indian Institute of Science Bangalore,1,33.2,33.2
Dr.H N Suma/ Dr. Abhishek Appaji,B.M.S. College of Engineering,1,32.42,32.42
N D SHIVAKUMAR,Indian Institute of Science Bangalore,1,32.2459,32.25
G.L.S. Babu,Indian Institute of Science Bangalore,1,31.96,31.96
P. Bhat,Indian Institute of Science Bangalore,1,31.055,31.06
Dr.Santosh R Desai,B.M.S. College of Engineering,2,30.93,15.46
Dr. S G Srivani,R V College of Engineering,4,30.3,7.58
Sudhan Majhi,Indian Institute of Science Bangalore,2,30.0,15.0
Prosenjit Das,Indian Institute of Science Bangalore,1,30.0,30.0
Uttara Kumari M,R V College of Engineering,1,29.975,29.98
Rohini Balakrishnan,Indian Institute of Science Bangalore,1,29.9502,29.95
V. Kumaran,Indian Institute of Science Bangalore,1,29.6957,29.7
K.L. Sandhya,M.S. Ramaiah Institute of Technology,1,29.524,29.52
