venue,publications
arXiv (Cornell University),366
Lecture Notes in Networks and Systems,282
Lecture Notes in Electrical Engineering,157
Lecture notes in mechanical engineering,126
Lecture notes in civil engineering,114
Monthly Notices of the Royal Astronomical Society,110
Research Square,108
Elsevier eBooks,100
ChemRxiv,93
Lecture Notes in Mechanical Engineering,93
Scientific Reports,86
Lecture notes in networks and systems,86
ACS Applied Materials & Interfaces,75
Physics of Fluids,75
Lecture notes in electrical engineering,70
Advances in Intelligent Systems and Computing,69
IEEE Access,66
Zenodo (CERN European Organization for Nuclear Research),62
Nanoscale,60
Ceramics International,60
bioRxiv (Cold Spring Harbor Laboratory),55
ACS Omega,53
Lecture Notes in Civil Engineering,50
Langmuir,48
Lecture Notes on Data Engineering and Communications Technologies,48
ACS Applied Nano Materials,47
Acta Materialia,46
Physical Chemistry Chemical Physics,46
Materials Chemistry and Physics,42
Inorganic Chemistry,42
Materials Research Express,42
ACS Applied Electronic Materials,41
Materialia,41
Chemistry of Materials,41
ACS Nano,40
Cambridge University Press eBooks,40
Small,39
Materials Advances,37
RSC Advances,37
"Smart Innovation, Systems and Technologies",37
Default Digital Object Group,36
Soft Matter,35
ACS Applied Energy Materials,34
"CMR Institute of Technology. Bangalore, 2020",33
Optical Materials,32
Nanotechnology,32
Multimedia Tools and Applications,30
Advances in intelligent systems and computing,30
Sadhana,29
"Smart innovation, systems and technologies",29
AIAA SCITECH 2023 Forum,28
DROPS (Schloss Dagstuhl – Leibniz Center for Informatics),27
Construction and Building Materials,25
Algorithms for Intelligent Systems,25
Scripta Materialia,25
Applied Physics A,24
Inorganic Chemistry Communications,24
Nanoscale Advances,24
Astronomy and Astrophysics,24
Angewandte Chemie International Edition,23
Microscopy and Microanalysis,22
Optical and Quantum Electronics,22
Heat Transfer,22
Materials Today Communications,22
Physica Scripta,22
Physica B Condensed Matter,22
Optik,21
Chemical Communications,21
Silicon,20
Materials Characterization,20
Advanced Materials,20
HAL (Le Centre pour la Communication Scientifique Directe),20
AIP Advances,20
AIAA SCITECH 2022 Forum,19
ChemistrySelect,19
Electrochimica Acta,19
Resonance,19
Advanced Functional Materials,19
Polymer Composites,18
Advanced Digital System Design,18
Sensors and Actuators A Physical,18
ACS Applied Bio Materials,18
ArXiv.org,17
Advanced Engineering Materials,17
JOM,17
Composite Structures,17
Applied Thermal Engineering,17
Surface and Coatings Technology,17
Advances in Materials and Processing Technologies,17
physica status solidi (a),16
Heliyon,16
medRxiv,16
Optics Express,16
IFAC-PapersOnLine,15
Measurement,15
Experiments in Fluids,15
Surfaces and Interfaces,15
SAE technical papers on CD-ROM/SAE technical paper series,15
Advanced Optical Materials,15
Advances in Computational Intelligence and Robotics,14
Solar Energy,14
Mechanics of Advanced Materials and Structures,14
Fuel,14
Anais ... Encontro Nacional de Engenharia de Produção/Anais do Encontro Nacional de Engenharia de Produção,14
Ionics,14
AIAA Scitech 2020 Forum,14
Signals and Communication Technology,14
Applied Optics,14
Linear and Multilinear Algebra,14
Materials Research Bulletin,13
Linear Algebra and its Applications,13
npj 2D Materials and Applications,13
Information security and cryptography,13
Geotextiles and Geomembranes,13
Sensors and Actuators B Chemical,13
2D Materials,13
Energy,13
Advanced Electronic Materials,13
Lecture notes on data engineering and communications technologies,13
Synthetic Metals,13
Materials horizons,13
Synthesis lectures on distributed computing theory,13
Advances in Mathematics,13
Mechanics of Materials,12
Electric Power Systems Research,12
Engineering Research Express,12
Thin Solid Films,12
Communications Physics,12
Advanced Materials Interfaces,12
Intelligent systems reference library,12
ACS Applied Optical Materials,12
ACS Sustainable Chemistry & Engineering,12
Engergy systems in electrical engineering,12
Frattura ed Integrità Strutturale,12
Materials,11
Computers and Geotechnics,11
IJARCCE,11
EAI/Springer Innovations in Communication and Computing,11
Composites Part B Engineering,11
Quantum Information Processing,11
Soil Dynamics and Earthquake Engineering,11
APL Materials,11
Materials Today Chemistry,11
Small Methods,11
Springer theses,11
Biomass Conversion and Biorefinery,11
Wireless Personal Communications,11
Procedia CIRP,10
Results in Engineering,10
Engineering Reports,10
Algorithms for intelligent systems,10
SAE Technical Paper Series,10
Computers & Fluids,10
"Studies in systems, decision and control",10
Discrete Mathematics,10
Discrete Applied Mathematics,10
Chemical Papers,10
Sustainable Energy Technologies and Assessments,10
IFIP advances in information and communication technology,10
Biomacromolecules,10
Crystal Growth & Design,10
Combustion and Flame,10
Studies in Computational Intelligence,10
Advances in Space Research,9
Automatica,9
Structural Health Monitoring,9
Lecture notes in physics,9
International Mathematics Research Notices,9
Neural Computing and Applications,9
Materials Performance and Characterization,9
Texts and readings in mathematics,9
Acta Crystallographica Section A Foundations and Advances,9
Polymer Chemistry,9
Biomedical Signal Processing and Control,9
Optics & Laser Technology,9
Diamond and Related Materials,9
Computer Methods in Applied Mechanics and Engineering,9
Cryptography and Communications,9
SciPost Physics,9
Annali di Matematica Pura ed Applicata (1923 -),8
Computer Physics Communications,8
Expert Systems with Applications,8
Preprints.org,8
Advances in chemical and materials engineering book series,8
Computers & Mathematics with Applications,8
Transportation in Developing Economies,8
Computers and Electrical Engineering,8
Intermetallics,8
Transportation research procedia,8
Energies,8
Signal Processing,8
Sensors,8
AIAA Scitech 2019 Forum,8
Industrial & Engineering Chemistry Research,8
2020 IEEE 3rd 5G World Forum (5GWF),8
Batteries & Supercaps,8
Engineering Fracture Mechanics,8
"The minerals, metals & materials series",8
Springer tracts in electrical and electronics engineering,8
npj Computational Materials,8
Optics Communications,8
Engineering Failure Analysis,8
"Advances in Information Security, Privacy, and Ethics",8
Bulletin of the London Mathematical Society,8
Acta Mechanica,8
Energy Technology,8
Energy Storage,8
WORLD SCIENTIFIC eBooks,8
Applied Soft Computing,8
Results in Optics,7
Analog Integrated Circuits and Signal Processing,7
Complex Analysis and Operator Theory,7
Next Materials,7
Renewable Energy,7
Chemical Physics Impact,7
Applied Materials Today,7
Principles and Applications of Narrowband Internet of Things (NBIoT),7
MRS Advances,7
Macromolecules,7
Carbon,7
"CMR Institute of Technology. Bangalore, 2021",7
Measurement: Sensors,7
Metals,7
Micromachines,7
Performance Evaluation,7
Frontiers in Chemistry,7
Nano Express,7
Geotechnical and Geological Engineering,7
Pramana,7
IET Networks,7
Vacuum,7
"2020 2nd PhD Colloquium on Ethically Driven Innovation and Technology for Society, PhD EDITS 2020",7
Sustainable Energy & Fuels,7
ACS Photonics,7
Emergent Materials,7
ACS Applied Polymer Materials,7
ACS Sensors,7
Acta Astronautica,7
Transportation Geotechnics,7
Theoretical and Applied Fracture Mechanics,7
Energy & Fuels,7
Springer Tracts on Transportation and Traffic,7
Advanced Welding Techniques,7
Advanced Energy Materials,7
Photonics,6
Tribology International,6
Progress in Additive Manufacturing,6
ACM Computing Surveys,6
PubMed,6
Concurrency and Computation Practice and Experience,6
ACS Applied Engineering Materials,6
Advances in Wireless Technologies and Telecommunication,6
Physica A Statistical Mechanics and its Applications,6
Unmanned Systems,6
Neurocomputing,6
Acta Geotechnica,6
Materials Research Innovations,6
Solid State Communications,6
"Signal, Image and Video Processing",6
Applied Mechanics and Materials,6
Ceramics International 49 (,6
IARJSET,6
Transport in Porous Media,6
Archiv der Mathematik,6
Computers in Biology and Medicine,6
Smart Materials and Structures,6
Case Studies in Thermal Engineering,6
Carbon Trends,6
Applied Intelligence,6
Annals of Functional Analysis,6
Springer tracts in mechanical engineering,6
Intelligent Systems Reference Library,6
Computational and Applied Mathematics,6
Nanotechnology for Environmental Engineering,6
IFIP Advances in Information and Communication Technology,6
Numerical Algorithms,6
Geosynthetics International,6
Nano-Structures & Nano-Objects,6
Frontiers in artificial intelligence and applications,6
OSA Continuum,6
Advanced Materials Technologies,6
Waves in Random and Complex Media (Taylor & Francis),6
Bioprinting,6
IEEE Signal Processing Magazine,6
Computer Speech & Language,6
Soft Computing,6
Engineering With Computers,6
Advances in computational intelligence and robotics book series,6
JACS Au,6
International Communications in Heat and Mass Transfer,6
Symmetry,6
Mechanism and Machine Theory,5
Biointerface Research in Applied Chemistry,5
Canadian Mathematical Bulletin,5
SpringerBriefs in mathematics,5
Canadian Metallurgical Quarterly,5
Current Applied Physics,5
Plasmonics,5
Springer briefs in electrical and computer engineering,5
Thin-Walled Structures,5
Advanced Sustainable Systems,5
Polymer Bulletin,5
AIAA Scitech 2021 Forum,5
PLoS ONE,5
Pervasive and Mobile Computing,5
Measurement Sensors,5
"Computers, Materials and Continua",5
Crystals,5
Physical Communication,5
"Multiscale and Multidisciplinary Modeling, Experiments and Design",5
Concurrency and Computation: Practice and Experience,5
Cybernetics and Information Technologies,5
Mathematische Zeitschrift,5
Microsystem Technologies,5
Speech Communication,5
Sustainability,5
Green energy and technology,5
Bioresource Technology,5
Sādhanā,5
AIAA AVIATION 2022 Forum,5
Entropy,5
IntechOpen eBooks,5
Learning and Analytics in Intelligent Systems,5
Electronics,5
Society for Industrial and Applied Mathematics eBooks,5
"2023 IEEE 5th PhD Colloquium on Emerging Domain Innovation and Technology for Society, PhD EDITS 2023",5
Sensors International,5
Colloids and Surfaces A Physicochemical and Engineering Aspects,5
Waves in Random and Complex Media,5
Communications Materials,5
Defence Technology,5
Results in Chemistry,5
SciPost Physics Core,5
Communications in Algebra,5
Innovative Infrastructure Solutions,5
Dyes and Pigments,5
"2019 PhD Colloquium on Ethically Driven Innovation and Technology for Society, PhD EDITS 2019",5
Electrical Engineering,5
Advances in Web Technologies and Engineering,5
Separation and Purification Technology,5
ACS Materials Au,5
Figshare,5
Signals and communication technology,5
Transportation Research Part C Emerging Technologies,5
MRS Communications,5
Lecture notes on multidisciplinary industrial engineering,5
ChemPhysChem,5
AIAA Propulsion and Energy 2019 Forum,5
Wireless Networks,4
Wear,4
Crystal Research and Technology,4
Computational and Theoretical Chemistry,4
Structural and Multidisciplinary Optimization,4
Cement and Concrete Composites,4
Nanophotonics,4
Computer Communications,4
Indian Institute of Metals series,4
"e-Prime - Advances in Electrical Engineering, Electronics and Energy",4
Molecules,4
Case Studies on Transport Policy,4
Current Analytical Chemistry,4
Comptes Rendus Mathématique,4
Complex Variables and Elliptic Equations,4
Discrete & Computational Geometry,4
Superlattices and Microstructures,4
Bulletin of the Tomsk Polytechnic University Geo Assets Engineering,4
Universe,4
