domain_id,domain_name
0,Smart Cities and Sustainability
1,Semiconductors and Nanoelectronics
2,Wireless Communications and IoT
3,Computer Systems and Algorithms
4,Bioinformatics and Life Sciences
5,Applied Mathematics and Simulation
6,Smart Energy Systems
7,Robotics and Autonomous Systems
8,Aerospace and Fluid Dynamics
9,Advanced Materials and Nanotechnology
10,Physics and Theoretical Sciences
11,Healthcare and Biomedical Engineering
12,Photonics and Quantum Materials
13,Social Computing and Security Analytics
14,Artificial Intelligence and Computer Vision
15,Energy Storage and Renewable Energy
16,Agriculture and Environmental Systems
17,Cybersecurity and Blockchain
18,Mechanical Systems and Control Engineering
19,Data Science and Knowledge Discovery
20,Speech and Language Technologies
21,Intelligent Transportation Systems
22,Construction and Infrastructure Materials
23,Advanced Manufacturing and Metallurgy
24,Biomaterials and Tissue Engineering
