institution,domain_name,publications,patents,grants,theses,total
B.M.S. College of Engineering,Robotics and Autonomous Systems,173.0,9.0,45.0,11.0,238.0
B.M.S. College of Engineering,Wireless Communications and IoT,212.0,1.0,0.0,8.0,221.0
B.M.S. College of Engineering,Smart Energy Systems,187.0,2.0,0.0,1.0,190.0
B.M.S. College of Engineering,Healthcare and Biomedical Engineering,171.0,5.0,1.0,5.0,182.0
B.M.S. College of Engineering,Semiconductors and Nanoelectronics,111.0,8.0,45.0,9.0,173.0
B.M.S. College of Engineering,Artificial Intelligence and Computer Vision,155.0,6.0,0.0,0.0,161.0
B.M.S. College of Engineering,Photonics and Quantum Materials,152.0,4.0,1.0,3.0,160.0
B.M.S. College of Engineering,Biomaterials and Tissue Engineering,90.0,12.0,45.0,10.0,157.0
B.M.S. College of Engineering,Energy Storage and Renewable Energy,135.0,3.0,0.0,10.0,148.0
B.M.S. College of Engineering,Data Science and Knowledge Discovery,136.0,3.0,0.0,7.0,146.0
B.M.S. College of Engineering,Cybersecurity and Blockchain,126.0,4.0,0.0,2.0,132.0
B.M.S. College of Engineering,Agriculture and Environmental Systems,108.0,7.0,1.0,9.0,125.0
B.M.S. College of Engineering,Aerospace and Fluid Dynamics,110.0,7.0,1.0,3.0,121.0
B.M.S. College of Engineering,Intelligent Transportation Systems,64.0,3.0,45.0,8.0,120.0
B.M.S. College of Engineering,Advanced Materials and Nanotechnology,112.0,1.0,0.0,2.0,115.0
B.M.S. College of Engineering,Applied Mathematics and Simulation,99.0,3.0,0.0,0.0,102.0
B.M.S. College of Engineering,Smart Cities and Sustainability,87.0,1.0,0.0,0.0,88.0
B.M.S. College of Engineering,Computer Systems and Algorithms,72.0,9.0,0.0,1.0,82.0
B.M.S. College of Engineering,Speech and Language Technologies,61.0,10.0,0.0,2.0,73.0
B.M.S. College of Engineering,Social Computing and Security Analytics,65.0,1.0,0.0,0.0,66.0
B.M.S. College of Engineering,Bioinformatics and Life Sciences,63.0,2.0,0.0,0.0,65.0
B.M.S. College of Engineering,Construction and Infrastructure Materials,47.0,2.0,0.0,8.0,57.0
B.M.S. College of Engineering,Physics and Theoretical Sciences,38.0,0.0,0.0,0.0,38.0
B.M.S. College of Engineering,Mechanical Systems and Control Engineering,32.0,0.0,0.0,0.0,32.0
B.M.S. College of Engineering,Advanced Manufacturing and Metallurgy,4.0,3.0,0.0,0.0,7.0
CMR Institute of Technology,Wireless Communications and IoT,247.0,121.0,0.0,18.0,386.0
CMR Institute of Technology,Agriculture and Environmental Systems,226.0,108.0,0.0,7.0,341.0
CMR Institute of Technology,Healthcare and Biomedical Engineering,192.0,74.0,0.0,11.0,277.0
CMR Institute of Technology,Data Science and Knowledge Discovery,198.0,38.0,0.0,11.0,247.0
CMR Institute of Technology,Robotics and Autonomous Systems,137.0,45.0,57.0,8.0,247.0
CMR Institute of Technology,Semiconductors and Nanoelectronics,91.0,49.0,57.0,3.0,200.0
CMR Institute of Technology,Biomaterials and Tissue Engineering,75.0,59.0,57.0,7.0,198.0
CMR Institute of Technology,Aerospace and Fluid Dynamics,108.0,79.0,0.0,5.0,192.0
CMR Institute of Technology,Intelligent Transportation Systems,76.0,40.0,57.0,3.0,176.0
CMR Institute of Technology,Energy Storage and Renewable Energy,62.0,79.0,0.0,11.0,152.0
CMR Institute of Technology,Smart Energy Systems,109.0,41.0,0.0,1.0,151.0
CMR Institute of Technology,Advanced Materials and Nanotechnology,89.0,51.0,0.0,4.0,144.0
CMR Institute of Technology,Construction and Infrastructure Materials,94.0,43.0,0.0,6.0,143.0
CMR Institute of Technology,Bioinformatics and Life Sciences,114.0,23.0,0.0,5.0,142.0
CMR Institute of Technology,Cybersecurity and Blockchain,125.0,3.0,0.0,4.0,132.0
CMR Institute of Technology,Photonics and Quantum Materials,82.0,37.0,0.0,6.0,125.0
CMR Institute of Technology,Advanced Manufacturing and Metallurgy,68.0,24.0,0.0,6.0,98.0
CMR Institute of Technology,Artificial Intelligence and Computer Vision,89.0,9.0,0.0,0.0,98.0
CMR Institute of Technology,Social Computing and Security Analytics,97.0,1.0,0.0,0.0,98.0
CMR Institute of Technology,Computer Systems and Algorithms,46.0,33.0,0.0,2.0,81.0
CMR Institute of Technology,Mechanical Systems and Control Engineering,48.0,15.0,0.0,1.0,64.0
CMR Institute of Technology,Smart Cities and Sustainability,45.0,0.0,0.0,1.0,46.0
CMR Institute of Technology,Speech and Language Technologies,21.0,16.0,0.0,1.0,38.0
CMR Institute of Technology,Physics and Theoretical Sciences,21.0,16.0,0.0,0.0,37.0
CMR Institute of Technology,Applied Mathematics and Simulation,17.0,17.0,0.0,0.0,34.0
Dayananda Sagar College of Engineering,Robotics and Autonomous Systems,72.0,122.0,4.0,7.0,205.0
Dayananda Sagar College of Engineering,Wireless Communications and IoT,79.0,92.0,0.0,10.0,181.0
Dayananda Sagar College of Engineering,Aerospace and Fluid Dynamics,75.0,96.0,1.0,6.0,178.0
Dayananda Sagar College of Engineering,Healthcare and Biomedical Engineering,56.0,82.0,1.0,13.0,152.0
Dayananda Sagar College of Engineering,Agriculture and Environmental Systems,31.0,110.0,1.0,6.0,148.0
Dayananda Sagar College of Engineering,Cybersecurity and Blockchain,86.0,40.0,0.0,1.0,127.0
Dayananda Sagar College of Engineering,Biomaterials and Tissue Engineering,35.0,65.0,4.0,7.0,111.0
Dayananda Sagar College of Engineering,Semiconductors and Nanoelectronics,31.0,69.0,4.0,6.0,110.0
Dayananda Sagar College of Engineering,Photonics and Quantum Materials,32.0,74.0,1.0,2.0,109.0
Dayananda Sagar College of Engineering,Intelligent Transportation Systems,33.0,62.0,4.0,6.0,105.0
Dayananda Sagar College of Engineering,Data Science and Knowledge Discovery,43.0,56.0,0.0,2.0,101.0
Dayananda Sagar College of Engineering,Energy Storage and Renewable Energy,30.0,62.0,0.0,4.0,96.0
Dayananda Sagar College of Engineering,Construction and Infrastructure Materials,22.0,63.0,0.0,1.0,86.0
Dayananda Sagar College of Engineering,Advanced Materials and Nanotechnology,39.0,43.0,0.0,2.0,84.0
Dayananda Sagar College of Engineering,Smart Energy Systems,35.0,44.0,0.0,5.0,84.0
Dayananda Sagar College of Engineering,Bioinformatics and Life Sciences,38.0,21.0,0.0,5.0,64.0
Dayananda Sagar College of Engineering,Computer Systems and Algorithms,22.0,33.0,0.0,2.0,57.0
Dayananda Sagar College of Engineering,Advanced Manufacturing and Metallurgy,30.0,20.0,0.0,6.0,56.0
Dayananda Sagar College of Engineering,Applied Mathematics and Simulation,4.0,32.0,0.0,0.0,36.0
Dayananda Sagar College of Engineering,Artificial Intelligence and Computer Vision,29.0,7.0,0.0,0.0,36.0
Dayananda Sagar College of Engineering,Mechanical Systems and Control Engineering,23.0,10.0,0.0,1.0,34.0
Dayananda Sagar College of Engineering,Speech and Language Technologies,7.0,25.0,0.0,1.0,33.0
Dayananda Sagar College of Engineering,Social Computing and Security Analytics,24.0,2.0,0.0,0.0,26.0
Dayananda Sagar College of Engineering,Physics and Theoretical Sciences,7.0,15.0,0.0,2.0,24.0
Dayananda Sagar College of Engineering,Smart Cities and Sustainability,11.0,4.0,0.0,0.0,15.0
Indian Institute of Science Bangalore,Photonics and Quantum Materials,1384.0,103.0,30.0,172.0,1689.0
Indian Institute of Science Bangalore,Aerospace and Fluid Dynamics,1224.0,71.0,30.0,254.0,1579.0
Indian Institute of Science Bangalore,Semiconductors and Nanoelectronics,837.0,61.0,185.0,174.0,1257.0
Indian Institute of Science Bangalore,Agriculture and Environmental Systems,941.0,50.0,30.0,229.0,1250.0
Indian Institute of Science Bangalore,Robotics and Autonomous Systems,809.0,50.0,185.0,186.0,1230.0
Indian Institute of Science Bangalore,Healthcare and Biomedical Engineering,735.0,102.0,30.0,212.0,1079.0
Indian Institute of Science Bangalore,Biomaterials and Tissue Engineering,705.0,68.0,185.0,111.0,1069.0
Indian Institute of Science Bangalore,Advanced Materials and Nanotechnology,856.0,43.0,0.0,49.0,948.0
Indian Institute of Science Bangalore,Construction and Infrastructure Materials,709.0,53.0,0.0,109.0,871.0
Indian Institute of Science Bangalore,Physics and Theoretical Sciences,800.0,28.0,0.0,17.0,845.0
Indian Institute of Science Bangalore,Advanced Manufacturing and Metallurgy,686.0,58.0,0.0,85.0,829.0
Indian Institute of Science Bangalore,Data Science and Knowledge Discovery,655.0,71.0,0.0,76.0,802.0
Indian Institute of Science Bangalore,Smart Energy Systems,681.0,11.0,0.0,92.0,784.0
Indian Institute of Science Bangalore,Wireless Communications and IoT,634.0,17.0,0.0,79.0,730.0
Indian Institute of Science Bangalore,Bioinformatics and Life Sciences,530.0,94.0,0.0,78.0,702.0
Indian Institute of Science Bangalore,Energy Storage and Renewable Energy,543.0,33.0,0.0,96.0,672.0
Indian Institute of Science Bangalore,Intelligent Transportation Systems,290.0,18.0,185.0,80.0,573.0
Indian Institute of Science Bangalore,Computer Systems and Algorithms,487.0,31.0,0.0,25.0,543.0
Indian Institute of Science Bangalore,Cybersecurity and Blockchain,393.0,58.0,0.0,83.0,534.0
Indian Institute of Science Bangalore,Speech and Language Technologies,410.0,18.0,0.0,100.0,528.0
Indian Institute of Science Bangalore,Applied Mathematics and Simulation,370.0,18.0,0.0,33.0,421.0
Indian Institute of Science Bangalore,Mechanical Systems and Control Engineering,348.0,25.0,0.0,0.0,373.0
Indian Institute of Science Bangalore,Smart Cities and Sustainability,238.0,29.0,0.0,18.0,285.0
Indian Institute of Science Bangalore,Social Computing and Security Analytics,171.0,29.0,0.0,14.0,214.0
Indian Institute of Science Bangalore,Artificial Intelligence and Computer Vision,139.0,0.0,0.0,0.0,139.0
International Institute of Information Technology Bangalore,Wireless Communications and IoT,210.0,10.0,0.0,11.0,231.0
International Institute of Information Technology Bangalore,Robotics and Autonomous Systems,199.0,9.0,10.0,6.0,224.0
International Institute of Information Technology Bangalore,Healthcare and Biomedical Engineering,180.0,4.0,0.0,11.0,195.0
International Institute of Information Technology Bangalore,Cybersecurity and Blockchain,179.0,9.0,0.0,3.0,191.0
International Institute of Information Technology Bangalore,Computer Systems and Algorithms,136.0,8.0,0.0,4.0,148.0
International Institute of Information Technology Bangalore,Data Science and Knowledge Discovery,120.0,9.0,0.0,8.0,137.0
International Institute of Information Technology Bangalore,Semiconductors and Nanoelectronics,107.0,0.0,10.0,11.0,128.0
International Institute of Information Technology Bangalore,Bioinformatics and Life Sciences,113.0,0.0,0.0,12.0,125.0
International Institute of Information Technology Bangalore,Artificial Intelligence and Computer Vision,121.0,1.0,0.0,0.0,122.0
International Institute of Information Technology Bangalore,Biomaterials and Tissue Engineering,89.0,8.0,10.0,5.0,112.0
International Institute of Information Technology Bangalore,Intelligent Transportation Systems,96.0,0.0,10.0,5.0,111.0
International Institute of Information Technology Bangalore,Smart Energy Systems,102.0,1.0,0.0,6.0,109.0
International Institute of Information Technology Bangalore,Energy Storage and Renewable Energy,100.0,3.0,0.0,2.0,105.0
International Institute of Information Technology Bangalore,Mechanical Systems and Control Engineering,94.0,0.0,0.0,1.0,95.0
International Institute of Information Technology Bangalore,Advanced Materials and Nanotechnology,86.0,3.0,0.0,4.0,93.0
International Institute of Information Technology Bangalore,Advanced Manufacturing and Metallurgy,78.0,0.0,0.0,6.0,84.0
International Institute of Information Technology Bangalore,Photonics and Quantum Materials,63.0,11.0,0.0,3.0,77.0
International Institute of Information Technology Bangalore,Agriculture and Environmental Systems,63.0,4.0,0.0,2.0,69.0
International Institute of Information Technology Bangalore,Aerospace and Fluid Dynamics,59.0,2.0,0.0,7.0,68.0
International Institute of Information Technology Bangalore,Construction and Infrastructure Materials,65.0,2.0,0.0,0.0,67.0
International Institute of Information Technology Bangalore,Social Computing and Security Analytics,64.0,0.0,0.0,0.0,64.0
International Institute of Information Technology Bangalore,Speech and Language Technologies,48.0,8.0,0.0,5.0,61.0
International Institute of Information Technology Bangalore,Applied Mathematics and Simulation,44.0,0.0,0.0,4.0,48.0
International Institute of Information Technology Bangalore,Smart Cities and Sustainability,27.0,0.0,0.0,2.0,29.0
International Institute of Information Technology Bangalore,Physics and Theoretical Sciences,14.0,1.0,0.0,1.0,16.0
M S Ramaiah Institute of Technology,Semiconductors and Nanoelectronics,35.0,53.0,51.0,1.0,140.0
M S Ramaiah Institute of Technology,Robotics and Autonomous Systems,42.0,43.0,51.0,1.0,137.0
