institution,topic_id,publications,patents,grants,theses,total
B.M.S. College of Engineering,-1,837.0,19.0,2.0,5.0,863.0
B.M.S. College of Engineering,52,62.0,0.0,0.0,0.0,62.0
B.M.S. College of Engineering,9,57.0,1.0,0.0,2.0,60.0
B.M.S. College of Engineering,0,1.0,3.0,45.0,8.0,57.0
B.M.S. College of Engineering,17,42.0,2.0,0.0,0.0,44.0
B.M.S. College of Engineering,53,38.0,0.0,0.0,0.0,38.0
B.M.S. College of Engineering,83,31.0,0.0,0.0,0.0,31.0
B.M.S. College of Engineering,1,27.0,1.0,1.0,1.0,30.0
B.M.S. College of Engineering,10,28.0,1.0,0.0,1.0,30.0
B.M.S. College of Engineering,16,29.0,0.0,0.0,1.0,30.0
B.M.S. College of Engineering,25,28.0,0.0,0.0,0.0,28.0
B.M.S. College of Engineering,7,24.0,0.0,0.0,2.0,26.0
B.M.S. College of Engineering,82,23.0,0.0,0.0,0.0,23.0
B.M.S. College of Engineering,55,22.0,0.0,0.0,0.0,22.0
B.M.S. College of Engineering,120,22.0,0.0,0.0,0.0,22.0
B.M.S. College of Engineering,103,21.0,0.0,0.0,0.0,21.0
B.M.S. College of Engineering,21,20.0,0.0,0.0,0.0,20.0
B.M.S. College of Engineering,26,20.0,0.0,0.0,0.0,20.0
B.M.S. College of Engineering,32,19.0,0.0,0.0,0.0,19.0
B.M.S. College of Engineering,72,18.0,0.0,0.0,0.0,18.0
B.M.S. College of Engineering,118,18.0,0.0,0.0,0.0,18.0
B.M.S. College of Engineering,3,14.0,2.0,0.0,1.0,17.0
B.M.S. College of Engineering,36,17.0,0.0,0.0,0.0,17.0
B.M.S. College of Engineering,223,17.0,0.0,0.0,0.0,17.0
B.M.S. College of Engineering,8,12.0,0.0,0.0,4.0,16.0
B.M.S. College of Engineering,176,16.0,0.0,0.0,0.0,16.0
B.M.S. College of Engineering,281,16.0,0.0,0.0,0.0,16.0
B.M.S. College of Engineering,13,7.0,7.0,0.0,1.0,15.0
B.M.S. College of Engineering,46,15.0,0.0,0.0,0.0,15.0
B.M.S. College of Engineering,127,15.0,0.0,0.0,0.0,15.0
B.M.S. College of Engineering,23,14.0,0.0,0.0,0.0,14.0
B.M.S. College of Engineering,37,11.0,3.0,0.0,0.0,14.0
B.M.S. College of Engineering,49,14.0,0.0,0.0,0.0,14.0
B.M.S. College of Engineering,71,14.0,0.0,0.0,0.0,14.0
B.M.S. College of Engineering,148,14.0,0.0,0.0,0.0,14.0
B.M.S. College of Engineering,171,14.0,0.0,0.0,0.0,14.0
B.M.S. College of Engineering,54,13.0,0.0,0.0,0.0,13.0
B.M.S. College of Engineering,66,13.0,0.0,0.0,0.0,13.0
B.M.S. College of Engineering,80,13.0,0.0,0.0,0.0,13.0
B.M.S. College of Engineering,212,13.0,0.0,0.0,0.0,13.0
B.M.S. College of Engineering,287,13.0,0.0,0.0,0.0,13.0
B.M.S. College of Engineering,19,12.0,0.0,0.0,0.0,12.0
B.M.S. College of Engineering,27,12.0,0.0,0.0,0.0,12.0
B.M.S. College of Engineering,51,12.0,0.0,0.0,0.0,12.0
B.M.S. College of Engineering,57,12.0,0.0,0.0,0.0,12.0
B.M.S. College of Engineering,60,12.0,0.0,0.0,0.0,12.0
B.M.S. College of Engineering,178,12.0,0.0,0.0,0.0,12.0
B.M.S. College of Engineering,243,12.0,0.0,0.0,0.0,12.0
B.M.S. College of Engineering,346,12.0,0.0,0.0,0.0,12.0
B.M.S. College of Engineering,357,12.0,0.0,0.0,0.0,12.0
B.M.S. College of Engineering,44,11.0,0.0,0.0,0.0,11.0
B.M.S. College of Engineering,76,11.0,0.0,0.0,0.0,11.0
B.M.S. College of Engineering,106,11.0,0.0,0.0,0.0,11.0
B.M.S. College of Engineering,112,11.0,0.0,0.0,0.0,11.0
B.M.S. College of Engineering,158,11.0,0.0,0.0,0.0,11.0
B.M.S. College of Engineering,2,4.0,2.0,0.0,4.0,10.0
B.M.S. College of Engineering,11,8.0,2.0,0.0,0.0,10.0
B.M.S. College of Engineering,14,9.0,1.0,0.0,0.0,10.0
B.M.S. College of Engineering,20,9.0,1.0,0.0,0.0,10.0
B.M.S. College of Engineering,38,10.0,0.0,0.0,0.0,10.0
B.M.S. College of Engineering,47,10.0,0.0,0.0,0.0,10.0
B.M.S. College of Engineering,70,10.0,0.0,0.0,0.0,10.0
B.M.S. College of Engineering,107,10.0,0.0,0.0,0.0,10.0
B.M.S. College of Engineering,159,10.0,0.0,0.0,0.0,10.0
B.M.S. College of Engineering,211,10.0,0.0,0.0,0.0,10.0
B.M.S. College of Engineering,226,10.0,0.0,0.0,0.0,10.0
B.M.S. College of Engineering,77,9.0,0.0,0.0,0.0,9.0
B.M.S. College of Engineering,143,9.0,0.0,0.0,0.0,9.0
B.M.S. College of Engineering,217,9.0,0.0,0.0,0.0,9.0
B.M.S. College of Engineering,279,9.0,0.0,0.0,0.0,9.0
B.M.S. College of Engineering,42,8.0,0.0,0.0,0.0,8.0
B.M.S. College of Engineering,59,8.0,0.0,0.0,0.0,8.0
B.M.S. College of Engineering,64,8.0,0.0,0.0,0.0,8.0
B.M.S. College of Engineering,90,8.0,0.0,0.0,0.0,8.0
B.M.S. College of Engineering,95,8.0,0.0,0.0,0.0,8.0
B.M.S. College of Engineering,110,8.0,0.0,0.0,0.0,8.0
B.M.S. College of Engineering,202,8.0,0.0,0.0,0.0,8.0
B.M.S. College of Engineering,266,8.0,0.0,0.0,0.0,8.0
B.M.S. College of Engineering,278,8.0,0.0,0.0,0.0,8.0
B.M.S. College of Engineering,365,8.0,0.0,0.0,0.0,8.0
B.M.S. College of Engineering,366,8.0,0.0,0.0,0.0,8.0
B.M.S. College of Engineering,97,7.0,0.0,0.0,0.0,7.0
B.M.S. College of Engineering,115,7.0,0.0,0.0,0.0,7.0
B.M.S. College of Engineering,117,7.0,0.0,0.0,0.0,7.0
B.M.S. College of Engineering,351,7.0,0.0,0.0,0.0,7.0
B.M.S. College of Engineering,45,6.0,0.0,0.0,0.0,6.0
B.M.S. College of Engineering,67,6.0,0.0,0.0,0.0,6.0
B.M.S. College of Engineering,109,6.0,0.0,0.0,0.0,6.0
B.M.S. College of Engineering,164,6.0,0.0,0.0,0.0,6.0
B.M.S. College of Engineering,175,6.0,0.0,0.0,0.0,6.0
B.M.S. College of Engineering,194,6.0,0.0,0.0,0.0,6.0
B.M.S. College of Engineering,277,6.0,0.0,0.0,0.0,6.0
B.M.S. College of Engineering,295,6.0,0.0,0.0,0.0,6.0
B.M.S. College of Engineering,301,6.0,0.0,0.0,0.0,6.0
B.M.S. College of Engineering,316,6.0,0.0,0.0,0.0,6.0
B.M.S. College of Engineering,331,6.0,0.0,0.0,0.0,6.0
B.M.S. College of Engineering,360,6.0,0.0,0.0,0.0,6.0
B.M.S. College of Engineering,361,6.0,0.0,0.0,0.0,6.0
B.M.S. College of Engineering,6,2.0,2.0,0.0,1.0,5.0
B.M.S. College of Engineering,43,5.0,0.0,0.0,0.0,5.0
B.M.S. College of Engineering,101,5.0,0.0,0.0,0.0,5.0
B.M.S. College of Engineering,137,5.0,0.0,0.0,0.0,5.0
B.M.S. College of Engineering,140,5.0,0.0,0.0,0.0,5.0
B.M.S. College of Engineering,142,5.0,0.0,0.0,0.0,5.0
B.M.S. College of Engineering,149,5.0,0.0,0.0,0.0,5.0
B.M.S. College of Engineering,161,5.0,0.0,0.0,0.0,5.0
B.M.S. College of Engineering,163,5.0,0.0,0.0,0.0,5.0
B.M.S. College of Engineering,229,5.0,0.0,0.0,0.0,5.0
B.M.S. College of Engineering,269,5.0,0.0,0.0,0.0,5.0
B.M.S. College of Engineering,310,5.0,0.0,0.0,0.0,5.0
B.M.S. College of Engineering,319,5.0,0.0,0.0,0.0,5.0
B.M.S. College of Engineering,321,5.0,0.0,0.0,0.0,5.0
B.M.S. College of Engineering,342,5.0,0.0,0.0,0.0,5.0
B.M.S. College of Engineering,368,5.0,0.0,0.0,0.0,5.0
B.M.S. College of Engineering,377,5.0,0.0,0.0,0.0,5.0
B.M.S. College of Engineering,419,5.0,0.0,0.0,0.0,5.0
B.M.S. College of Engineering,5,2.0,2.0,0.0,0.0,4.0
B.M.S. College of Engineering,34,4.0,0.0,0.0,0.0,4.0
B.M.S. College of Engineering,62,4.0,0.0,0.0,0.0,4.0
B.M.S. College of Engineering,69,4.0,0.0,0.0,0.0,4.0
B.M.S. College of Engineering,78,4.0,0.0,0.0,0.0,4.0
B.M.S. College of Engineering,91,4.0,0.0,0.0,0.0,4.0
