topic_id,total_publications,average_publications,maximum_publications,minimum_publications,publication_std,trend_slope,trend_intercept,trend_consistency,overall_growth_percent,momentum_label
1,103,14.71,30,1,10.36,4.93,-9950.86,0.905,1200.0,High Growth
0,96,13.71,26,0,9.6,4.5,-9085.29,0.878,2500.0,High Growth
2,83,11.86,23,2,7.9,3.68,-7426.21,0.867,400.0,Growing
3,75,10.71,27,1,10.12,3.21,-6488.57,0.403,100.0,Growing
6,58,8.29,17,0,6.86,3.0,-6057.71,0.765,400.0,Growing
7,48,6.86,16,0,5.41,2.46,-4975.93,0.83,1600.0,Growing
16,26,3.71,12,0,4.43,2.0,-4040.29,0.815,1200.0,Growing
8,37,5.29,15,0,5.06,2.0,-4038.71,0.624,700.0,Growing
10,33,4.71,14,0,5.01,1.93,-3894.86,0.594,175.0,Growing
14,28,4.0,11,0,4.21,1.75,-3534.5,0.692,450.0,Growing
9,31,4.43,12,0,4.14,1.57,-3173.0,0.578,600.0,Growing
12,33,4.71,9,0,3.73,1.32,-2667.21,0.502,200.0,Growing
4,66,9.43,20,0,6.74,1.18,-2373.64,0.122,-16.67,Growing
11,38,5.43,11,1,3.66,1.18,-2377.64,0.415,100.0,Growing
13,32,4.57,9,2,2.56,1.14,-2306.29,0.8,233.33,Growing
31,16,2.29,8,0,2.66,1.11,-2236.36,0.694,350.0,Growing
29,18,2.57,9,0,3.02,1.0,-2019.43,0.439,200.0,Stable
26,19,2.71,6,0,2.12,1.0,-2019.29,0.891,500.0,Stable
37,13,1.86,6,0,2.64,0.96,-1947.93,0.533,250.0,Stable
32,15,2.14,5,0,2.1,0.96,-1947.64,0.844,500.0,Stable
34,14,2.0,7,0,2.33,0.89,-1803.36,0.587,300.0,Stable
33,15,2.14,7,0,2.23,0.82,-1658.79,0.542,300.0,Stable
15,28,4.0,7,0,2.45,0.82,-1656.93,0.45,150.0,Stable
21,22,3.14,6,1,1.96,0.79,-1585.57,0.644,100.0,Stable
30,14,2.0,5,0,2.07,0.75,-1514.5,0.525,200.0,Stable
18,25,3.57,7,1,2.32,0.68,-1368.5,0.342,166.67,Stable
24,22,3.14,6,0,1.73,0.68,-1368.93,0.618,400.0,Stable
5,59,8.43,13,4,3.06,0.68,-1363.64,0.196,40.0,Stable
27,17,2.43,4,0,1.68,0.64,-1297.43,0.587,66.67,Stable
20,21,3.0,7,0,2.07,0.61,-1224.64,0.344,66.67,Stable
22,22,3.14,6,0,2.1,0.57,-1152.29,0.296,400.0,Stable
39,8,1.14,4,0,1.46,0.57,-1154.29,0.615,200.0,Stable
25,20,2.86,7,0,2.03,0.5,-1008.14,0.243,0.0,Stable
36,13,1.86,5,0,1.81,0.46,-936.93,0.264,0.0,Stable
23,22,3.14,7,0,2.36,0.39,-791.21,0.111,33.33,Stable
35,6,0.86,2,0,0.83,0.39,-793.5,0.89,200.0,Stable
40,10,1.43,4,0,1.5,0.36,-720.71,0.227,100.0,Stable
17,22,3.14,6,1,1.46,0.32,-646.79,0.195,0.0,Stable
28,17,2.43,4,1,1.4,0.11,-214.21,0.023,0.0,Stable
19,24,3.43,7,1,2.06,0.07,-141.0,0.005,50.0,Stable
38,10,1.43,3,1,0.73,0.0,1.43,0.0,0.0,Stable
