topic_id,total_docs,growth_percent,trend_score,Topic,Count,Name,Representation,Representative_Docs
18,25,166.66666666666669,536.4793041447001,18,25,18_print_3d_material_additive,"['print', '3d', 'material', 'additive', 'wt', 'manufacturing', 'bed', 'printer', 'tool', 'printing']","['system process additive fabrication manufacturing abstract system process additive fabrication manufacturing present subject matter relate hybrid additive manufacturing technique methodology amalgamation layered non layered 3d print design print multi oriented multi fiber deposition 3d space customize pattern specific pattern design figure 6b', 'enhanced surface topology mapping system method 3d printing traditional 3d printer suffer inaccuracy uneven print bed lead warp print waste filament integration enhance surface topology mapping device estmd directly 3d printer surpass conventional bed level method generate high resolution 3d map print surface capture minute deviation estmd operate principle distinct traditional method instead rely single point measurement employ array scan entire bed surface capture comprehensive picture topography capture 3d map dynamically adjust print head trajectory real time print progress estmd continuously monitor print surface ensure layer adhere perfectly regardless underlying topography closed loop feedback system guarantee level playing field print maximize accuracy minimize waste estmd promise transform 3d printing precisely account bed irregularity estmd ensure large format print remain perfectly flat help accurate bed level intern minimize fail print waste filament lead significant cost saving estmd ability handle uneven surface open door print challenging material prone warp', 'polymer 3d printer cable actuate flexible arm present disclosure provide dimensional 3d printing apparatus 100 cable actuate flexible arm 102 dispense polymeric material material dispense nozzle mount flexible arm 102 move plane parallel print bed 120 flexible arm 102 actuate cable 104 104 position resin dispense nozzle programmatically printer operation flexible arm 102 accurately position print head 200 print bed 120 array light source contain print head project annular illumination pattern cure resin dispense print bed prevent curing material nozzle print bed 120 axis orient orthogonal direction gravity minimize influence print bed 120 rotate axis print maintain evenness print layer reduce resin flow printing']"
16,30,44.44444444444444,151.16432807387358,16,30,16_vitrimer_epoxy_polyolefin_polypropylene,"['vitrimer', 'epoxy', 'polyolefin', 'polypropylene', 'recycle', 'crosslinker', 'dynamic', 'covalent', 'method', 'styrene']","['methods recycle polyolefin vitrimerization polyolefin vitrimer thereof polyolefin waste stream typically complex mixture polyethylene polypropylene contain additive filler contaminant polyethylene reactive conventionally consider unsuitable vitrimerization present disclosure provide method 100 recycle polyolefin vitrimerization process involve extrusion polyolefin co grafting agent maleic anhydride produce functionalize polyolefin comprise maleated sidechain second extrusion functionalize polyolefin react dynamic crosslinker form polyolefin vitrimer dynamic crosslinker covalently bind maleated sidechain facilitate transesterification exchange produce recyclable processable mechanically robust polyolefin vitrimer disclosure additionally provide polyolefin vitrimer article incorporate vitrimer', 'method co upcycling post consumer recycled polyolefin recyclable polymer composition method co upcycling post consumer recycled polyolefin recyclable polymer composition abstract present disclosure relate method 100 co upcycle post consumer recycle polyolefin produce high performance reprocessable material method 100 include functionalizing post consumer recycle polypropylene pcr pp melt grafting polar functional monomer presence vinyl aromatic stabilizer radical initiator enhance grafting efficiency minimize chain degradation grafted pcr pp crosslinke dynamic crosslinker comprise reversible covalent bond form vitrimer network post consumer recycle polyethylene pcr pe incorporate vitrimer matrix melt blending create mechanically interlock co upcycled blend result material exhibit improve mechanical strength recyclability property retention multiple reprocess cycle address vital challenge polyolefin waste valorization fig', 'epoxy vitrimer carbon fiber reinforced polymer comprise epoxy vitrimer carbon fiber reinforced polymer comprise abstract present disclosure provide epoxy vitrimer epoxy vitrimer include epoxy unit derive epoxy monomer epoxy vitrimer include dynamic crosslinker unit derive dynamic crosslinker dynamic crosslinker covalently attach epoxy unit able form covalent adaptive network transesterification exchange reaction epoxy vitrimer include second dynamic crosslinker unit derive second dynamic crosslinker second dynamic crosslinker covalently attach epoxy unit dynamic crosslinker unit able form second covalent adaptive network silyl ether exchange reaction second dynamic crosslinker able form covalent adaptive network disulfide exchange reaction method 100 prepare epoxy vitrimer disclose carbon fiber reinforce polymer comprise epoxy vitrimer disclose']"
0,112,23.809523809523807,112.34521122131176,0,112,0_vehicle_traffic_image_system,"['vehicle', 'traffic', 'image', 'system', 'safety', 'road', 'camera', 'time', 'object', 'accident']","['iot based emergency vehicle sound detection traffic signal preemption artificial intelligence prioritization present invention relate innovative iot base emergency vehicle prioritization system vips design enhance urban mobility safety dynamically prioritize emergency vehicle real time vips utilize sound detection sensor instal intersection continuously monitor ambient noise level employ machine learn algorithm accurately identify emergency vehicle siren amidst surround traffic noise siren detect system trigger real time adjustment traffic signal provide green light emergency vehicle manage surround traffic ensure safety minimize disruption system incorporate edge computing low latency datum processing enable rapid decision making intersection level utilize wireless communication protocol seamless coordination multiple intersection urban network technology allow vips adapt dynamically real time change traffic condition road closure factor impact emergency vehicle movement reduce delay optimize traffic flow vips significantly improve emergency response time reduce traffic congestion enhance overall road safety contribute efficient safe urban environment', 'integrated machine learning based road safety system electric vehicles electric vehicle evs emerge cornerstone quest sustainable transportation solution offer promising path minimize carbon emission increase energy efficiency adoption rise rapidly globe electric vehicle increasingly view essential tool reduce environmental footprint ev commonplace integration urban rural landscape present unique set challenge address order ensure safety challenge stem complexity vary road condition environmental factor sheer unpredictability dynamic driving environment overcome challenge advanced safety system require monitor respond real time hazard effectively prevent accident ensure safety vehicle occupant pedestrian solution development smart protective system sps electric vehicle integrate cut edge sensor technology sophisticated algorithm detect potential obstacle road hazard system aim enhance vehicle safety provide timely intervention particularly complex driving environment heart innovative system use yolo look version object detection model advanced deep learning algorithm know remarkable speed accuracy identify classify object obstacle vehicle path yolo gain significant traction field computer vision real time processing capability ability detect wide range object high precision make ideal choice dynamic fast move environment model play central role smart protective system continuously analyze visual datum capture onboard camera identify road hazard pothole debris pedestrian cyclist vehicle', 'indian traffic sign recognition detection title indian traffic sign recognition detection applicant pes university abstract present invention disclose system indian traffic sign recognition detection system present invention comprise camera image processor output device a. camera mount move vehicle direct leave road ahead vehicle adapt capture real time plurality image frame environment field view camera transfer image frame image processor b. output device implement gui adapt position inside move vehicle configure select option receive traffic sign recognition traffic sign detection c. image processor embed convolutional neural network image processing pre trained ai model traffic sign detection recognition customized datum set adapt receive live video image camera option output device send traffic sign recognition traffic sign detection i. receive traffic sign detection option capture image detect haar cascade interface opencv library image detect pass ai model find category traffic sign comprising cautionary mandatory stop communicate output deive voice text message ii receive traffic sign recognition option capture image detect haar cascade interface opencv library image detect recognize yolo v5 model pass ai model find meaning recognize traffic sign communicate output device voice text message']"
13,38,25.0,90.93965399315964,13,38,13_packet_core_chip_simulation,"['packet', 'core', 'chip', 'simulation', 'bit', 'ip', 'architecture', 'base', 'network', 'method']","['architecture fpga based acceleration pdsch processing fpga base architecture disclose accelerate new radio 5g nr physical downlink shared channel pdsch processing chain base station architecture reduce processing latency improve resource utilization relative conventional implementation unable satisfy stringent timing constraint low latency operation architecture employ optimize data bus arrangement include 128 bit datum width rate matching stage 96 bit datum width subsequent procedure furthermore employ modular multi ip approach pdsch chain realize specialized functional block include transport block crc attachment ip code block segmentation ip code block crc attachment ip ldpc configuration ip ldpc post ip null bit filter ip sri ip concatenation ip golden sequence generator ip modulation ip implementation architecture configure generate modulate symbol 32 microsecond maintain efficient fpga resource usage improve throughput energy efficiency', 'mac layer phy aware mlpa outer cod scheme reliable low latency communication advanced set mac layer phy aware mlpa outer cod scheme reliable low latency communication advanced set abstract present disclosure relate method packet level forward error correction fec encoding communication system distinct datalink path p1,p2 pl transmitter receiver method comprise receive radio link control rlc protocol data unit rlc pdu byte generate message transport block tb append header byte rlc pdu set tb cyclic redundancy check tb crc protocol parameter- tbpp flag set tbpp flag determine number message ldpc code block message tb distribute equal fix pre determined procedure generate packet level fec code message sub packet l-1 parity sub packet message tb partition l-1)m parity sub packet l-1 set ul 2,--- contain set parity sub packet transmit set ul subpacket phy layer transmitter generate set vl ldpc code block associate set ul sub packet l. present disclosure describe method packet level fec decode tbpp flag tbpp flag present disclosure relate transmitter perform method packet level fec encoding receiver perform method packet level fec decode fig', 'streaming application 3d noc label switch technique network chip manage high complexity design network chip communication computation decouple network chip modular design help high performance provide high bandwidth streaming application high bandwidth throughput guarantee main constraint network chip compare circuit switching packet switching technique connection orient connection orient communication key role specified switching technique label switching kind packet switching technique destination address represent form label data transmission require memory transmission easy compare packet switching streaming application transmit ecg wave 3d noc 4x4x4 network give well performance metric compare 2d noc. provide guarantee bandwidth high throughput label switching technique transmit stream datum max flow routing algorithm identify pipe reach destination node ip core noc manager keep track bandwidth capacity provide link base availability bit transition encoder decoder technique propose analyze performance metric like latency throughput frequency parameter like area power 3d noc.']"
7,53,13.333333333333334,52.93722551402829,7,53,7_antenna_beam_signal_ghz,"['antenna', 'beam', 'signal', 'ghz', 'frequency', 'communication', 'radar', 'gain', 'reconfigurable', 'rf']","['system method design transparent antenna array abstract system method design transparent antenna array present disclosure disclose system 100 method 200 design transparent antenna array design framework 102 comprise inputte module 104 receive architecture configuration input antenna design user simulation module 106 simulate transparent antenna array verification module 108 verifie say simulated antenna array design optimization module 110 optimize say antenna array design implement set optimization rule assess module 112 assess return loss -10 db gain db optimize antenna design approve fabrication say optimize antenna design testing validate module 114 validate fabricate antenna array anechoic chamber vector network analyzer vna ensure compliance say plurality antenna parameter', 'system method integrated sensing communication abstract system method integrated sensing communication embodiments disclose method 400 integrate sensing communication method comprise identifying dual function base station 102 set antenna element plurality antenna element 214 fix subarray method comprise select second set antenna element plurality antenna element 214 dynamic subarray remain antenna element antenna selection process second set antenna element selectively active method comprise generate dual function base station precoder transmit signal communication sensing base predefine number rf chain 206 connect set antenna element predefine number rf chain 206 connect second set antenna element fig', 'antenna system vehicular communication present disclosure relate antenna system 100 vehicular communication antenna system 100 comprise transmitting antenna 101 receive antenna 102 transmitting antenna 101 receive antenna 102 fabricate substrate 103 pre define distance pre define angle plurality shaped slot 104 etch ground plane associate transmitting antenna 101 receive antenna 102 plurality metallic via 106 place plurality pre determined location transmitting antenna 101 receive antenna 102 figure']"
21,24,0.0,0.0,21,24,21_converter_dc_switch_current,"['converter', 'dc', 'switch', 'current', 'circuit', 'voltage', 'winding', 'bridge', 'power', 'ac']","['medium voltage ac multiport lvdc converter inter module transformer imt present invention relate medium voltage ac multiport low voltage dc converter embodiment converter comprise plurality cascade bridge chb converter 120 configure receive medium voltage ac mvac input 110 cascade bridge converter comprise plurality primary ac dc bridge module configure transfer power medium voltage ac input plurality main transformer 130 correspondingly couple primary ac dc bridge module 145 form hfac node main transformer configure convert power intermediate dc bus 125 dc hfac stage primary module high frequency alternate current hfac output plurality load port 140 correspondingly couple hfac node secondary ac dc bridge module 145 individually provide independent low voltage direct current lvdc output load port figure publication', 'multi port converter system method convert alternate current ac direct current dc abstract multi port converter system method convert alternate current ac direct current dc multi port converter system convert alternating current ac direct current dc disclose system include multi port converter 100 plurality voltage sensor 602 plurality current sensor 604 controller unit 300 converter 100 include primary stage 104a plurality secondary stage 104b stage 104a,104b include switch converter 100 configure convert ac dc power factor correction pfc allow regulation range dc output voltage power dc port 124a multi port converter 100 configure transfer active power plurality converter dc port 124a ac port 118 primary stage 104a plurality secondary stage 104b galvanically isolate high frequency multi winding transformer 120 fig', 'system method convert alternate current ac direct current dc system method convert alternate current ac direct current dc abstract system convert alternating current ac direct current dc disclose system include converter 100 plurality voltage sensor 602 plurality current sensor 604 controller unit 300 converter 100 include primary stage 104a secondary stage 104b stage 104a,104b include switch sa106a sb106b sc106c sd106d s1108a s2108b s3108c s4108d s5110a s6110b s7110c s8110d saux112 converter 100 configure convert ac dc power factor correction pfc allow regulation range dc output voltage power primary stage 104a galvanically isolate secondary stage 104b high frequency transformer 120 voltage sensor 602 configure measure voltage level node associate converter 100 current sensor 604 configure measure current level circuit element associate converter 100 controller unit 300 communicatively couple converter 100 fig']"
20,24,0.0,0.0,20,24,20_gate_layer_gan_hemt,"['gate', 'layer', 'gan', 'hemt', 'transistor', 'drain', 'scr', 'leakage', 'passivation', 'channel']","['method tune gate work function gan gate mode hemt gate metal scheme semiconductor device 100 base ti tin gate metal stack adjustable ti thickness modulate gate leakage voltage threshold vth method 800 fabricate semiconductor device 100 disclose semiconductor device 100 gan gate enhancement mode high electron mobility transistor hemt titanium ti have adjustable thickness ti modify interface property bi metal layer 103 1)/p gan 102 interface interface property change barrier height interface thick ti high interdiffusion bi metal layer 103 1)/p gan 102 interface high interdiffusion lead gan consumption lead increase gate leakage low vth invention capability tune gate metal gan property design mode hemt tunable gate leakage threshold voltage gate overdrive property', 'method high treshold voltage high breakdown gate stack gan gate mode hemts present disclosure introduce method fabrication high threshold gan gate mode algan gan high electron mobility transistor hemt present invention propose demonstrate relationship device turn process leakage balance govern vth tuning capability device show turn occur hole accumulation depletion mode operate hole depletion mode careful leakage balance find maximize vth present invention provide hemt device 100 include gate dielectric layer 114 position directly gate metal layer 116 gallium nitride gan layer 112 position gate dielectric layer 114 barrier layer 110 incorporate dielectric like altio boost vth enhance transconductance methodology demonstrate reliable mode gate stack gan altio enhance vth reduce gate leakage improve gate overdrive stability vth enhancement capability show tune adjust crystalline quality leakage dielectric constant nature concentration doping altio 114 methodology limit altio gan integration dielctric specified property provide appropriate balance leakage enable gate stack operate depletion extension mode capable enhance vth', 'gate geometry charge control gate structure methods gallium nitride high electron mobility transistor dope gallium nitride gan gate high electron mobility transistor hemt device 100c include gan gate layer 108 dispose barrier layer 110 gate metal electrode 106 dispose gan gate layer 108 passivation layer 112 gan gate layer 108 include etch sidewall have pre define sidewall slope 122 gate metal electrode 106 characterize lateral offset length 124 relative etched sidewall spacer layer 126 dispose offset region gan gate layer 108 adjacent gate metal electrode 106 lateral offset length 124 spacer layer 126 pre defined sidewall slope 122 interface charge profile passivation layer 112 etch sidewall offset region jointly configure configuration suppress hole tunnel leakage minimize perimeter drive leakage modulate channel turn characteristic maintain strong electrostatic coupling gate metal electrode 106 channel layer 114']"
27,21,0.0,0.0,27,21,27_electrochemical_electrode_detection_sensitivity,"['electrochemical', 'electrode', 'detection', 'sensitivity', 'nanocomposite', 'mercury', 'nanoparticle', 'ion', 'cu', 'fe']","['emerge electrochemical application disposable modify bi cdfe2o4 carbon paste electrode sensing heavy metal mercury ion hg2 facile cost effective synthesized bi cdfe2o4 nanoparticle probe sonication approach employ electrochemical sensor study synthesized bi cdfe2o4 nanomaterial display excellent electrochemical sense activity heavy metal mercury ion hg2 low crystallite size energy band gap high surface area catalytic sensitivity emerge selective sensitive electrochemical spotting heavy metal mercury ion hg2 present acidic electrolyte achieve immobilize modify nano carbon paste electrode scan rate 0.01 0.05 s. developed bi cdfe2o4 carbon paste immobilize electrode explore electron transfer reaction display highly selective detection confirm evidence redox potential peak -0.72v 0.88v increment 5mm mercuric concentration 0.1 kcl electrolyte scan rate 0.03v s. electrochemical sense study offer high sensitivity selectivity different toxic component nano structure material', 'development cost effective laxzr2 xo7 np heavy metal mercury detection electrochemical sensor study sensitive electrochemical detection technique heavy metal ion present acidic electrolyte efficient potentially eliminate hindrance chemical lack present time find interfacial barrier lazr2o7 hetero nanoparticle powerful physical effect electrochemical sensor investigation base interfacial physical barrier avoid exist problem traditional electrochemical sensing mechanism apply interfere environment high sensitivity specificity sensitive detection mercury ion hg2 acidic electrolyte 0.1 hcl achieve employ modify electrode graphite lazr2o7 hetero nanoparticle interfacial barrier effect provide chance develop sensor interfere environment achieve method allow type nanostructure material develop good stability high sensitivity detection mercury ion hg2', 'sustainable cost effective disposable cdfe2o4 nps graphite electrode heavy metal mercury detection sensitive electrochemical detection technique heavy metal ion present acidic electrolyte efficient potentially eliminate hindrance chemical lack present time find interfacial barrier cdfe2o4 hetero nanoparticle powerful physical effect electrochemical examination base interfacial physical barrier avoid exist problem traditional electrochemical sensing mechanism apply interfere environment high sensitivity specificity sensitive detection mercury ion hg2 acidic electrolyte kcl achieve employ modify cdfe2o4 hetero nanoparticle electrode confirm appearance main reduction potential peak -0.134 0.124 v. interfacial barrier effect provide chance develop sensor interfere environment achieve method allow type nanostructure material develop good stability high sensitivity detection mercury ion hg2']"
14,35,-8.333333333333332,-29.627900512411774,14,35,14_water_removal_dye_oxide,"['water', 'removal', 'dye', 'oxide', 'degradation', 'metal', 'pollutant', 'nanocomposite', 'rgo', 'photocatalytic']","['development photocatalytic method degradation 2,4 dichlorophenoxyacetic acid title invention development photocatalytic method degradation 2,4 dichlorophenoxyacetic acid persistent synthetic herbicide particularly 2,4 dichlorophenoxyacetic acid 2,4 pose environmental public health concern chemical persistence resistance natural degradation propensity accumulate aquatic ecosystem attribute lead trophic disruption long term toxicity aquatic organism ln study present development robust multifunctional photocatalyst engineer encapsulate copper base metal organic framework cu btc mof graphitic carbon nitride gc3 n4 yield cu btc mof c3 n4 nanocomposite markedly enhance photocatalytic activity comprehensive physicochemical analysis include uv vis spectroscopy ftir xrd sem confirm successful integration cu btc mof c3 n4 matrix demonstrate improve light absorption capacity narrow bandgap large specific surface area visible light irradiation cu btc mof n. composite achieve high degradation efficiency approximately 98.5 2,4 120 minute ph 9.0 significantly outperform individual constituent superior performance attribute formation type ii heterojunction enable efficient directional charge transfer enhance charge separation suppress electron hole recombination offer numerous reactive site kinetic study reveal degradation process follow pseudo order reaction kinetic additionally composite exhibit excellent reusability maintain high photocatalytic performance successive cycle result highlight potential n. -encapsulate cu btc mof nanocomposite high efficiency recyclable photocatalysis environmental detoxification prospective environmental application', 'removal heavy metals low cost treatment heavy metal discharge water industry toxic carcinogenic nature cause severe problem human aquatic ecosystem removal heavy metal wastewater problem discharge industry contain organic inorganic pollutant pollutant heavy metal toxic and/or carcinogenic harmful human living specie heavy metal concern industry include lead pb zinc zn copper cu arsenic cadmium cd chromium cr nickel ni mercury hg treatment technology employ removal heavy metal include chemical precipitation ion exchange chemical oxidation reduction reverse osmosis ultrafiltration electro dialysis adsorption method adsorption efficient technique inherent limitation generation large sludge low efficiency sensitive operating condition costly disposal adsorption method relatively new process emerge potentially prefer alternative removal heavy metal provide flexibility design high quality treat effluent reversible adsorbent regenerate nickel synthetic wastewater prepared sorption study conduct batch technique column testby atomic absorption spectrophotometer', 'simple step nanomaterial base system wastewater treatment environmental remediation agricultural municipal effluent generation create critical need advanced efficient sustainable wastewater treatment technology conventional treatment method suffer high energy consumption incomplete removal contaminant sludge generation inefficient context patent present nanomaterial base system method wastewater treatment comprise unique property engineer nanomaterial treatment framework system employ nanomaterial high surface area volume ratio enable simultaneous adsorption catalytic degradation disinfection diverse pollutant nanostructured adsorbent photocatalyst antimicrobial nanoparticle incorporate hybrid treatment module selective removal heavy metal decomposition persistent organic pollutant']"
26,22,-14.285714285714285,-44.15774933369023,26,22,26_optical_wavelength_photonic_resonator,"['optical', 'wavelength', 'photonic', 'resonator', 'fiber', 'ring', 'waveguide', 'micro', 'mux', 'mrr']","['method system realization photonic sram cell title method system realization photonic sram cell photonic sram 200 210 comprise pair optical 2:1 mux multiplexer i.e. optical 2:1 optical mux 201 second optical 2:1 mux 202 configure micro ring resonator resonator function gate second resonator act gate fourth resonator act gate connect 0.5 μm wide bend waveguide upper micro ring input middle micro ring input non gate micro ring select pin s0 deliver micro ring bend waveguide connect gate micro ring resonator inverter integrate pair optical 2:1 mux multiplexer intend state operation optical sram cell i.e. hold read write photonic sram enable fast datum transfer rate low latency particularly high performance computing data center', 'micro ring resonator mrr base photonic configurable logic block pclb method thereof micro ring resonator mrr base photonic configurable logic block pclb method thereof micro ring resonator mrr base photonic configurable logic block pclb 100 method thereof disclose block 100 include optical look table lut 102 optical flip flop 104 optical 2x1 multiplier 106 optical lut 102 include 4x1 multiplexer 2x1 multiplier plurality waveguide i0 i7 input line s0 s1 s2 output waveguide plurality waveguide i0 i7 configure input line optical flip flop configure clock signal clock clock signal modulate light allow data input wavelength pass store mrr delay line optical 2x1 multiplier configure output mrr base pclb light represent binary value inject optical lut', 'method system optical 2:1 4:1 mux micro ring resonator title method system optical 2:1 4:1 mux micro ring resonator optical 4:1 mux optical 2:1 mux 200 210 comprise pair optical mux i.e. optical 2:1 mux 201 second optical 2:1 mux 202 enable simultaneous transmission multiple optical signal different wavelength single fiber combine single output stream effectively increase capacity fiber reversible micro ring resonator 221 enable efficient control manipulation optical signal minimal loss distortion selectively couple specific wavelength output waveguide allow wavelength pass uncoupled effectively function optical notch filter multiple stop band optical 4:1 mux show feasibility achieve efficient multiplexing functionality utilize unique property micro ring resonator']"
