topic_id,2019,2020,2021,2022,2023,2024,2025,2026
-1,38,29,41,109,128,159,166,62
0,0,4,7,14,26,20,25,16
1,1,4,6,17,20,30,25,7
2,3,2,5,13,18,23,19,13
3,5,2,1,4,27,25,11,11
4,5,7,0,15,20,15,4,1
5,4,7,10,7,13,12,6,7
6,2,1,0,8,16,17,14,6
7,0,4,4,5,5,14,16,5
8,0,0,1,8,6,15,7,4
9,0,0,2,3,12,8,6,10
10,3,0,0,1,5,14,10,8
11,3,2,1,10,4,11,7,2
12,1,0,1,9,8,9,5,7
13,2,3,3,2,6,7,9,6
14,1,1,0,3,2,11,10,7
15,1,0,4,7,6,6,4,2
16,0,0,1,0,5,8,12,4
17,3,1,4,2,3,6,3,5
18,2,1,2,7,4,2,7,0
19,1,7,1,4,4,5,2,0
20,2,2,0,2,7,4,4,3
21,2,1,1,2,6,5,5,2
22,0,4,4,0,4,6,4,1
23,2,0,7,1,3,6,3,1
24,0,2,4,3,3,6,4,1
25,2,2,0,3,4,7,2,2
26,0,1,1,2,4,6,5,3
27,2,0,0,3,4,4,4,4
28,1,4,1,2,4,4,1,2
29,0,0,0,3,4,9,2,0
30,0,0,0,2,5,5,2,4
31,1,0,0,1,2,4,8,1
32,0,0,0,3,2,5,5,1
33,0,0,2,1,2,7,3,0
34,0,0,0,2,2,7,3,1
35,0,0,0,1,1,2,2,8
36,1,0,0,2,5,4,1,1
37,1,0,0,0,0,6,6,0
38,1,2,1,1,3,1,1,1
39,0,0,0,0,2,4,2,3
40,0,0,0,4,3,2,1,1
