topic_id,total_publications,average_publications,maximum_publications,minimum_publications,publication_std,trend_slope,trend_intercept,trend_consistency,overall_growth_percent,momentum_label
21,14,2.0,5,0,1.69,0.46,-936.79,0.302,100.0,Stable
6,41,5.86,13,2,3.44,0.43,-860.71,0.062,33.33,Stable
16,21,3.0,6,0,2.14,0.32,-646.93,0.09,0.0,Stable
4,55,7.86,16,2,5.33,0.32,-642.07,0.015,-50.0,Stable
23,13,1.86,4,0,1.46,0.07,-142.57,0.01,-50.0,Stable
18,18,2.57,4,1,1.05,0.07,-141.86,0.019,50.0,Stable
8,33,4.71,9,2,2.25,0.04,-67.5,0.001,-50.0,Stable
17,21,3.0,5,1,1.41,0.04,-69.21,0.003,-20.0,Stable
19,15,2.14,4,1,1.25,-0.0,2.14,0.0,0.0,Stable
20,14,2.0,4,0,1.41,-0.07,146.43,0.01,-75.0,Stable
15,25,3.57,8,0,2.66,-0.07,148.0,0.003,-55.56,Stable
2,81,11.57,18,1,5.68,-0.07,156.0,0.001,-75.0,Stable
7,39,5.57,9,1,2.56,-0.11,222.21,0.007,-60.0,Stable
25,10,1.43,3,0,1.29,-0.14,290.29,0.049,0.0,Stable
22,13,1.86,4,0,1.36,-0.18,362.93,0.069,0.0,Stable
12,27,3.86,8,1,2.03,-0.21,437.14,0.045,-50.0,Stable
24,13,1.86,5,0,1.81,-0.32,651.79,0.127,-50.0,Stable
13,27,3.86,7,0,2.53,-0.32,653.79,0.064,-50.0,Stable
26,10,1.43,3,0,1.18,-0.32,651.36,0.298,-75.0,Stable
1,82,11.71,16,6,2.96,-0.32,661.64,0.047,-50.0,Stable
9,30,4.29,10,1,3.06,-0.36,726.43,0.055,-33.33,Stable
3,56,8.0,14,1,4.21,-0.39,802.36,0.035,-80.0,Stable
10,30,4.29,8,1,1.98,-0.5,1015.29,0.255,-60.0,Stable
14,25,3.57,8,0,2.44,-0.54,1086.79,0.193,-80.0,Stable
11,27,3.86,7,1,1.73,-0.64,1303.71,0.555,-75.0,Stable
0,91,13.0,21,1,6.07,-0.68,1385.07,0.05,-80.0,Stable
5,47,6.71,14,0,4.2,-0.89,1812.07,0.181,-88.89,Stable
