topic_id,total_docs,growth_percent,trend_score,Topic,Count,Name,Representation,Representative_Docs
17,21,-33.33333333333333,-101.48408125744741,17,21,17_guidance_uav_control_avoidance,"['guidance', 'uav', 'control', 'avoidance', 'law', 'constraint', 'angle', 'formation', 'maneuver', 'saccade']","['analysis kinematic constraints fixed wing uav formation flying rise autonomy lead increase usage unmanned aerial vehicles uav application allow uav perform complex hazardous mission ease formation multiple uav find application military civilian operation task like image mosaicking mapping target triangulation require multiple uav maintain rigid formation perform mission maneuver rigid formation fly require different speed bank angle individual uav fix wing uav operational limit bank angle speed bank angle speed requirement uav formation depend essentially formation geometry maneuver relate maneuver capability formation formation geometric configuration thesis present detailed analytical investigation kinematic operating point speed bank angle fix wing uav fly rigid formation represent speed turn radius space leader maneuver region deduce abide kinematic constraint uav formation addition thesis consider converse problem feasible follower configuration assignment give leader maneuver analysis derive feasible spatial region leader instantaneous position define distance bear angle limit generate give formation arbitrary initial condition maintain present aspect uav formation fly address thesis consider proportional derivative control base guidance logic command follower heading speed variation extensive validation study carry guidance method provide insight dynamical nature kinematic parameter vary feasible non feasible formation consider time vary leader maneuver need smooth transition follower kinematic parameter thesis propose virtual target base guidance methodology', 'advanced guidance autopilot design autonomous lunar soft landing aiming development long term lunar research base scientific exploration futuristic objective soft landing moon gain renew interest worldwide work focus optimal guidance autopilot design multiphase autonomous soft landing lunar surface objective guidance design translate spacecraft parking orbit designate landing site near zero touchdown velocity process development different guidance method capable onboard implementation explore context model predictive static programming mpsp base optimal guidance design carry multi constraint soft landing mission mpsp computationally efficient numerical guidance algorithm require initial guess control solution iterate order obtain good guess history inverse polynomial base explicit guidance formulate nonlinear guidance framework minimum jerk base explicit guidance law target feature propose critical terminal descent phase soft landing bottleneck exist guidance law guarantee ground collision avoidance initial continuity guidance command successive phase terminal vertical orientation spacecraft tune difficulty like time selection comprehensively address formulation different guidance method detailed simulation study present second thesis focus autopilot design order realize guidance command actuator unit nonlinear dynamic inversion base autopilot design carry degree freedom spacecraft model spacecraft compose set thrust engine actuator unit translational motion spacecraft drive primary thruster throttleable', 'advanced guidance laws field view impact angle constrained engagements thesis deal development guidance law interceptor seeker field view fov impact angle constraint class guidance problem field of- view impact angle constrain guidance midcourse guidance dual pulse interceptor look angle constraint consider thesis problem decision variable lateral acceleration command second problem additional decision variable second thrust pulse firing time problem guidance law propose nonlinear control theory backstepping control base guidance law ii nonlinear mapping base guidance law dimensional engagement iii partial integrate guidance control base guidance law second problem singular perturbation technique derive guidance law backsteppe control base guidance law propose impact angle field view constrain engagement planar geometry kinematic equation govern problem modify strict feedback form derive guidance law backsteppe technique look angle virtual input backstepping structure design feasible domain achieve desire impact angle barrier lyapunov functional derive guidance law track virtual input violate field view constraint capturability propose guidance law analyze relative velocity plane simulation result present constant speed realistic interceptor model efficacy guidance law backsteppe control base guidance law extend intercept target dimensional space nonlinear transformation interception geometry control define impact angle term flight path angle interceptor target']"
6,41,-33.33333333333333,-123.78573555681025,6,41,6_cloud_service_load_computing,"['cloud', 'service', 'load', 'computing', 'balancing', 'resource', 'scheduling', 'distribute', 'virtual', 'system']","['availability base load balancing algorithms cloud computing systems cloud computing emerge efficient computing model connect distribute resource inter connected virtualize computer provision user demand network access share pool resource e.g. network server storage application service gain lot attention researcher year exist problem find address properly load balancing prominent issue need rectify impact cloud resource provisioning instant internet service user connect cloud network area cloud computing demand number practical application future close look conventional research work approve fact few study focus significantly overcome load balancing issue cloud compare routing energy efficient green computing owe issue load balancing insight kind literature show possibility solve load balance problem cluster base queue base approach coalition virtual machines vm play crucial role incentive base resource provisioning propose research attempt overcome problem introduce different analytical framework adopt different algorithm approach efficient cloud resource provisioning task computation study split complete development phase different framework analytical modeling joint routing schedule algorithm joint routing scheduling algorithm efficient resource provisioning cloud jrs erp integrate load balancing model ii efficient resource provisioning scheme minimize cloud traffic load framework optimization traffic management fotm simulate framework', 'efficient methodologies virtualization security cloud computing cloud computing computing paradigm service e.g. network server storage application service deliver access network distribute environment enable ubiquitous convenient demand network access share pool configurable compute resource rapidly provision release minimal management effort service provider interaction cloud user host application store datum cloud provider domain cloud essential technology million user provide utilize service virtual machine virtual machine provide facility actual machine computation power storage storage processing sensitive information virtual machines need secure overcome threat propose research work explore implement efficient methodology provide security virtual machine cloud security major concern cloud environment care security parameter integrity confidentiality reliability availability thesis propose technique achieve security virtual machines technique include trust base methods software defined network framework cryptographic algorithm simulation approach able mitigate threat efficiency method demonstrate compare exist methodology iii building trust cloud service provider cloud user essential factor receive secured service virtual machine deployment hybrid trust model propose find trust cloud service provider user deploy secured environment virtual machine register need authenticate authorize service virtual machine access grant verification user credential multistage authentication approach', 'efficient methodologies virtualization security cloud computing cloud computing computing paradigm service e.g. network server storage application service deliver access network distribute environment enable ubiquitous convenient demand network access share pool configurable compute resource rapidly provision release minimal management effort service provider interaction cloud user host application store datum cloud provider domain cloud essential technology million user provide utilize service virtual machine virtual machine provide facility actual machine computation power storage storage processing sensitive information virtual machines need secure overcome threat propose research work explore implement efficient methodology provide security virtual machine cloud security major concern cloud environment care security parameter integrity confidentiality reliability availability thesis propose technique achieve security virtual machines technique include trust base methods software defined network framework cryptographic algorithm simulation approach able mitigate threat efficiency method demonstrate compare exist methodology iii building trust cloud service provider cloud user essential factor receive secured service virtual machine deployment hybrid trust model propose find trust cloud service provider user deploy secured environment virtual machine register need authenticate authorize service virtual machine access grant verification user credential multistage authentication approach']"
15,25,-50.0,-160.94379124341003,15,25,15_traffic_design_stage_creativity,"['traffic', 'design', 'stage', 'creativity', 'sustainability', 'corporate', 'model', 'lean', 'solution', 'vehicle']","['method design intelligent public transportation system metropolitan area emergent intelligence metropolitan area consist huge population density urban area satellite city rural area town highly concentrate economic activity attract people rural area complex spatial structure reach milestone development road infrastructure support transportation system increase number vehicle traffic relate problem arise increase delay wastage resource high traffic accident economic loss environmental pollution security privacy etc problem solve intelligent public transportation system ipts consist advanced technology transportation engineering include information technology computational intelligence system control technology system engineering advanced technology play significant role reduce traffic congestion traffic accident traffic pollution energy consumption improve road traffic safety thesis design ipts public transport metropolitan area consist major functional unit commuter arrival prediction transport resource allocation privacy preservation context base service management transport management emergent intelligence ei technique agent efficiently application collect analyze monitoring share information take dynamic decision independence agent decision feature essential public transport system design commuters arrival prediction cap scheme analyze predict commuter pattern bus station commuter arrival density resource availability history dynamic arrival commuter vehicle propose scheme provide accurate analysis prediction commuter arrival density pattern bus station vicinity transport depot', 'macroscopic modelling heterogeneous disorder road traffic flow groundwork exist traffic flow theory lay 1950 1960 researcher develop economy like united states car follow modelling approach arguably popular type microscopic traffic flow model kinematic wave modelling approach basis macroscopic traffic flow theory introduce period object subsequent research spawn traffic develop economy classical traffic flow theory deal exclusively specific kind traffic lane discipline relatively homogeneous passenger car traffic traffic develop economy significant share wheeler motorize vehicle non motorized vehicle different static dynamic characteristic result fundamentally different traffic stream difference size manoeuvrability vehicle traffic stream follow lane discipline kind traffic describe literature heterogeneous disorder hd mixed traffic develop economy asia africa rapidly urbanizing need deal challenge traffic congestion urgent give country struggle pace rise urban population provide necessary road infrastructure effective efficient use exist infrastructure use traffic management solution like real time traffic monitoring signal control solution formulate traditional traffic flow theory alternative theory explicitly consider characteristic hd traffic urgently need present study hd traffic characterise division component vehicle class car following gap fill type', 'development support assessment creativity novelty requirement satisfaction design topic research thesis creativity assessment solution develop engineering design process means aid designer focus creative effort process engineering design process creative process plan occur practice engineering design complex process involve problem finding problem solving broadly divide stage task clarification conceptual design embodiment design detailed design literature design model theory approach study understand nature design model develop literature find characteristic design process design stage input output stage etc lead detailed understanding current model design process summarise extend integrated model designing particular detailed characterization design stage carry extend integrate model designing method mapping extract underlie common construct step task clarification conceptual embodiment design stage design process evaluation creativity consistently design stage result characterization discuss summarize focus creativity assessment method find characterization requirement solution important construct designing find pair requirement solution necessary evaluation creativity design process find level abstraction important requirement solution pair belong level abstraction concept creativity major indicator creativity review study literature current method assess creativity review shortcoming identify find novelty usefulness']"
14,25,-50.0,-160.94379124341003,14,25,14_speech_language_representation_translation,"['speech', 'language', 'representation', 'translation', 'mapping', 'kannada', 'paraphrase', 'learning', 'articulatory', 'speaker']","['acoustic articulatory mapping analysis improvements neural network learning paradigms human speech acoustic signal perceive carry linguistic paralinguistic e.g. speaker identity emotional state information speech acoustic produce result different temporally overlap gesture speech articulator lip tongue tip tongue body tongue dorsum velum larynx regulate constriction different part vocal tract estimate speech acoustic representation articulatory movement know articulatory- acoustic forward aaf mapping i.e. articulatory speech synthesis estimate articulatory movement speech acoustic know acoustic articulatory inverse aai mapping acoustic- articulatory mapping function know complex nonlinear complexity mapping depend number factor include kind representation acoustic articulatory space typically representation capture linguistic paralinguistic aspect speech aspect contribute complexity mapping unknown representation turn acoustic articulatory mapping affect speak rate nature quality mapping vary speaker complexity mapping depend datum speaker number speaker learn mapping function language variation impact mapping require detailed investigation thesis analyze factor detail develop neural network base model learn mapping function robust factor electromagnetic articulography ema sensor datum directly past articulatory representation learn acoustic articulatory mapping function thesis', 'probabilistic source filter model speech human respiratory system play crucial role breathing swallow ing play essential role speech production unique human speech production involve expelling air lung air flow lung lip kinetic energy get con verte sound different structure modulate generate sound finally radiate lip speech consist informa tion linguistic content speaker identity emotional state accent etc apart speech scenario sound generate human respiratory system abnor malitie muscle motor control unit lung directly affect generate speech variety sound generate structure breathe include snoring stridor dysphagia cough source filter sf model speech early model speech production assume speech result filter excita tion source signal linear filter source filter assume independent sf model represent speech pro duction mechanism need tractable way estimate excitation filter estimation give speech fall general category signal deconvolution problem unique solution variation source filter model literature assume different structure source filter way estimate parameter source filter estimated parameter speech application automatic speech recognition text speech speech enhancement etc sf model model speech production application include parkinson disease classification asthma classification', 'spectrotemporal processing speech signals riesz transform speech signal possess rich time vary spectral content make analysis challenging signal processing problem develop method accurate speech analysis direct impact application speech synthesis speaker recognition speech recognition voice morphing etc widely tool visualize time vary spectral content spectrogram represent spectral content signal joint time frequency plane spectrogram view collection localize spectrotemporal patch analyze structure dimensional pattern spectrogram propose model amplitude modulate frequency modulate fm sinusoid justification fm model speech provide base physical process generation speech production perspective fm component correspond vocal tract smooth envelope excitation signal respectively demonstrate analyze speech jointly time frequency reveal important characteristic evident purely time domain frequency domain analysis central problem dissertation demodulation speech spectrogram yield fm component advocate use riesz transform extension hilbert transform demodulate narrowband pitch adaptive spectrogram interestingly fm component obtain result demodulation potential benefit speech analysis demonstrate impact propose modeling technique vocal tract filter estimation voice unvoiced component separation pitch tracking speech synthesis periodic aperiodic decomposition speech signal accuracy estimate speech parameter validate consider task speech reconstruction thesis focus theoretical development relate modeling con']"
11,27,-50.0,-164.79184330021644,11,27,11_code_index_coding_cod,"['code', 'index', 'coding', 'cod', 'sender', 'linear', 'problem', 'optimal', 'message', 'state']","['linear codes projective spaces projective space \\mathbb{p}_q(n)$ order n$ finite field \\mathbb{f}_q$ define collection subspace ambient space \\mathbb{f}_q^n$. grassmannian \\mathcal{g}_q(n k)$ set member \\mathbb{p}_q(n)$ fix dimension k$. subspace distance function define d_s(x \\dim(x+y \\dim(x \\cap y)$ serve suitable metric turn projective space \\mathbb{p}_q(n)$ metric space code projective space \\mathbb{p}_q(n)$ subset \\mathbb{p}_q(n)$. projective space show previously koetter kschischang ideal cod space error erasure correction random network coding linear code find huge application classical error correction notion linearity introduce code projective space recently subspace code \\mathcal{u}$ \\mathbb{p}_q(n)$ contain \\left\\ 0\\right\\}$ linear exist function \\boxplus \\mathcal{u \\times \\mathcal{u \\rightarrow \\mathcal{u}$ \\mathcal{u \\boxplus)$ abelian group identity element \\left\\ 0\\right\\}$ element \\mathcal{u}$ idempotent respect \\boxplus$ operation \\boxplus$ isometric conjecture size linear subspace code \\mathbb{p}_q(n)$ 2^n$. work focus different class linear subspace code view prove conjecture upper bind characterize maximal case study connection linear code lattice combinatorial object binary linear block code linear subspace code subspace finite vector space \\mathbb{f}_2$. identify common feature structure prove analogous result subspace code include union intersection theorem investigate class linear subspace code close intersection code equivalent code derive partition linearly ind', 'error correction index coding coded caching index cod problem sender set message multiple receiver demand possibly different subset message possess subset message information goal sender meet demand receiver minimum number transmission information receiver demand extension generalization index cod prob- lem literature generalization case transmission subject error low upper bound optimal number transmis- sion require correct speci ed number error establish work optimal linear error correct index code obtain class index cod problem single prior index coding problem single unicast index cod problem symmetric neighbor consecutive information index cod problem min rank generalization index cod problem generalized index coding gic problem linear combination message demand information receiver linear combination message particular class gic problem discuss construction optimal scalar linear index code class gic problem optimal linear error correct index code construct coded caching problem single server connect set user share bottleneck link assume error free coded cache problem involve phase placement prefetching phase non peak hour user ll local cache portion les available delivery phase user request le server deliver cod transmission meet demand placement part le store cache coding prefe', 'optimal code constructions multi sender index coding problems instance multi sender index coding problem consist set sender collectively have message demand set receiver receiver know subset message priori call information receive transmission sender sender avail knowledge information demand receiver knowledge message available sender broadcast cod message call index code transmission sender orthogonal time objective minimize total number cod transmission receiver decode demand multi sender index coding problem relate problem practical interest multi source satellite communication multi source cod cache cod cooperative datum exchange distribute computing multi sender index coding problem np hard optimal codelength know special class problem prior work v. k. gummadi a. choudhary p. krishnan \\index coding rank invariant extensions quot arxiv preprint arxiv:1704.00687 cs apr 2017 class single sender index coding problem call rank invariant extension identify optimal scalar linear code problem belong class obtain particular subproblem line research c. thapa l. ong s. j. johnson m. li \\structural characteristics sender index coding quot entropy 21 615 2019 optimal code class sender index coding problem construct subproblem work identify class single sender index coding problem construct optimal scalar linear code scalar linear code subproblem scalar linear code need optimal construct code scalar linear optimal result generalize notion']"
16,21,-60.0,-182.67134626340538,16,21,16_granular_particle_shear_material,"['granular', 'particle', 'shear', 'material', 'dynamic', 'cut', 'elastic', 'vortex', 'flow', 'dilation']","['dynamic rheology non colloidal suspensions active soft deformable particles classical work suspension rigid spherical ellipsoidal particle carry einstein jeffery nature industry come material deformable active significant work suspension deformable particle drop vesicle capsule biological cell past decade attention pay elastic particle suspend newtonian fluid suspending medium newtonian deformability activity suspend particle suspension behave non newtonian dilute limit interaction challenge incorporate significant progress dense regime particle pair interact thin film intervene fluid entire work thesis divide part work devoted obtain dynamic initial ellipsoidal elastic viscoelastic particle externally impose simple shear axisymmetric extensional flow orientation dynamic rigid ellipsoidal particle study analytically jeffery particle report exhibit tumble extend analysis obtain orientation extension dynamic elastic particle elastic particle exhibit different type dynamic know steady state tank treading tumbling trembling phase diagram construct identify different regime dynamic dimensionless stiffness initial aspect ratio and#969;0 parameter space dynamic particle study initially particle align plane shear extend obtain complex plane dynamic second obtain dynamic pair elastic particle interact lubrication regime axisymmetric compression simple shear flow lubrication pressure fluid film particle', 'rheology dense granular material granular material frequently encounter daily life widely industrial process characterise flow material prove challenging lack simple measurement technique recent work group show granular material slowly shear cylindrical couette device standard rheometer accessory exhibit anomalous rheological behaviour show component stress measure increase exponentially depth comparison stress static column grain saturate depth show behaviour explain presence toroidal vortex span entire system propose vortex drive shear induce dilation dilatancy property granular material analogue fluid dilatancy decrease density region shear consequence rigid granular particle require free volume work ask dilation origin vortex anomalous stress profile test validity claim replicate validate result check robustness vortex flow ask general effect dilation test complicated flow flow split couette device variation cylindrical couette device device shear originate boundary moving stationary base plate variety dilation drive vortex similar feature vortex observe cylindrical couette device despite effect dilatancy generate vortex constitutive model treat steady granular flow incompressible ignore dilation propose extension know constitutive model slow granular flow critical state plasticity model propose deformation point depend', 'mechanic cut granular medium cutting important deformation process encounter instance engineering infrastructure trawl trench excavation thesis present result experimental program orthogonal cutting granular material perform plane strain condition kinematic granular material subject large deformation understand direct imaging concomitant image analysis suite experiment perform understand effect boundary condition material system constraint mechanic cut suite experiment perform cut set granular material spherical glass bead angular cauvery delta sand vary main parameter orthogonal cutting problem rake angle/ angle attack tool initial depth cut respect free surface granular ensemble cut speed overall deformation material reach steady state initial transient phase observe angle repose pile form tool instantaneous velocity field bifurcation flow occur tool tip result velocity jump plane direction coincide coulomb failure surface velocity jump manifest region intense shear emanating tool tip bandquot like appearance effective strain rate contour plot velocity profile shear band assume sigmoidal shape fit error function allow extract length scale associate velocity jump observe normalize width shear band decrease particle size increase width shear band granular material observe insensitive change rake angle cut speed initial depth cut material constant give system size']"
12,27,-60.0,-197.75021196025975,12,27,12_node_network_sensor_wireless,"['node', 'network', 'sensor', 'wireless', 'wsn', 'cluster', 'wsns', 'energy', 'communication', 'transmission']","['secured multimobile agent wireless sensor network improve qos wireless sensor networks wsns link internet thing iot expedient network monitoring tracking sense environmental activity goal futuristic technology adapt diversify technology relate wireless communication highlight idea iot link device service cloud computing wsn act backbone iot monitor sense region communicate accumulate datum betterment society sensor technology come datum processing capability low cost deployment importance wsn huge application wsn node limit energy ensure energy efficiency reliable data transfer key challenge wsn market value usd 46.76 billion 2020 predict grow cagr 17.64 percent 2021 2026 reach usd 123.93 billion market research mordor intelligence market wsns drive iot grow automation robotic industry raise need wireless sensor network asset monitoring security transportation well reliability communication technology advancement important issue research improve energy efficiency sensor node provide quality service qos aware datum transmission wsn research work unique modeling datum aggregation clustering scheme mobile agent mechanism propose maximize network energy efficiency reliability objective propose research work accomplish phase implementation framework develop conceptualize agent mechanism logical operation predefine node agent base communication protocol acp', 'secured assemblage base approach data aggregation wireless sensor networks wireless sensor network technology sense perform different task benefit wsns include health monitoring military environmental control industry etc wireless sensor networks wsn compose thousand ofsensor node capable sense actuate andrelaye collect information remarkableimpact un trustworthy transmission radio range network unattended nature wsns prone malicious user physical attack fundamental requirement network security datum collect wireless sensor network highly sensitive security crucial concernandit pose severe challenge traditional network threat include node outage passive information gathering node malfunction message corruption service denial etc development efficient effective defense mechanism counter attack need address stage design wsns research work security model propose help secure wireless sensor network wsns cluster head perform data aggregation process datum cluster secure cluster head important point consider research work propose method cluster head rotation monitor parameter cluster head rotation genetic algorithm mean clustering form cluster cluster head ch monitor find infect replace healthy node challenge secure communication node key exchange work propose enhance ecc method secured key exchange secure datum aggregation important point aggregator node need secure attack attack identify observe data pattern send node pattern different expected pattern conclude node compromise', 'design development efficient multicast routing protocols wireless sensor networks wireless sensor network wsn special breed wireless network sensor node primarily involve sense task sense task refer sense different parameter environment temperature pressure humidity wsns confine monitor environment extensively utilize monitor industrial process usually wsn central sink node call base station basically collect datum gather sensor nod primary concern sensor node conserve limited available energy resource sensor node operate battery source node need self organize establish effective communication node base station bs challenge lead introduction efficient routing algorithm design framework routing algorithm consider architectural requirement inherent feature wsn sudden topological change wsn node failure energy restriction create significant bottleneck maintain find route wsn routing protocol dynamic nature rout path calculate necessary maintain update rout information result extensive energy squandering energy efficient routing design cluster base routing node organize cluster cluster correspond cluster head primarily involve rout behalf cluster node cluster base routing increase energy efficiency wsns currently wsn generate explosive amount datum scenario result rapid depletion cluster head energy source necessary redesign cluster base rout protocol adapt large datum rout scenario']"
10,30,-60.0,-204.07184289972932,10,30,10_video_image_object_visual,"['video', 'image', 'object', 'visual', 'camera', 'scene', 'task', 'human', 'vision', 'surveillance']","['development efficient algorithms feature extraction motion tracking estimation recent year object detection tracking gain attention grow importance surveillance video security system robotic pattern recognition autonomous driving system raise requisite develop real time interactive application domain availability voluminous datum visual information method develop derive object capture image video dynamic environment object attribute particular like shape size colour velocity direction incorporate object detection tracking system addition attribute environmental dynamic like intensity change background noise variation motion scale pose need model derive object tracking system major investigation thesis deal detect track object consider issue video base statistical tool call locality sensitive histogram consider pixel feature vector improve detection accuracy object locality sensitive histogram lsh design detect track object improve object detection accuracy lsh variant local conventional histogram consider contribution pixel image add float value bin add one float value vary exponentially target centre boundary object order consider pixel close target centre pixel far away addition lsh color feature append derive feature vector enhance accuracy detect object machine learn classifier like support vector machine decision tree nearest neighbor classify predict object classifier result improved accuracy 98 compare traditional method use color texture', 'environment independent key frame extraction moving cast shadow suppression video surveillance video key frame extraction dynamic research issue video arrangement data recovery video key frame approximate video frame arrangement represent lengthy video sequence reduce time process summarize video sequence reason key frame extraction video grouping multifold main design dimensionality reduction second reduction memory require store information decrease sided application process diminish datum video examination application key frame extraction bring proficient video summarization video content analysis datum recovery data handling present work great scope computer vision application traffic surveillance video compression video summarization security surveillance automatic object identification tracking human tracking etc research work present algorithm background subtraction capability adapt scene change time invariant sudden illumination variation propose algorithm make use lbp feature set artificial neural network ann model background frame result invariant gradual illumination variation control sudden illumination variation gradient background model temporal information present background subtraction algorithm outperform exist algorithm standard video sequence demonstrate result analysis section present algorithm achieve 85 0.009 precision false alarm respectively work hybrid shadow detection suppression algorithm present pixel region base approach candidate shadow pixel chromaticity extract texture base approach initiate eliminate non shadow pixel candidate shadow pixel increase accuracy', 'knowledge discovery video sequences knowledge discovery process discern novel information identifie potentially usable logical datum pattern encompass multiple stage complete specific task apply discovery method knowledge extraction concern effective flexible algorithm efficiently store retrieve analyze large dataset interpretation visualization result video viable form information representation record event activity real time capture lot information instance time increase crime rate security concern monitor purpose surveillance camera instal city highway home shopping mall etc camera routinely record hour video analyze gain previously unknown information video primary tool investigation anomalous incident report analyze video feed cumbersome mundane task continuously monitor personnel specially deploy repetitive task use computer vision technique analysis video prove effective video analysis application aim discover hide pattern video interpret video fundamentally need cope large datum processing video analyze effectively datum undergo processing reduce accomplish method reference frame base clustering base key frame extraction implement method able extract key frame effectively achieve average compression ratio 0.89 0.94 respectively interpretation object event activity video primarily base accurate segmentation move object video move object detection dynamic environment challenging task get accurate solution perform detection sudden illumination change non static background']"
9,30,-60.0,-204.07184289972932,9,30,9_channel_communication_user_modulation,"['channel', 'communication', 'user', 'modulation', 'antenna', 'wireless', 'mimo', 'otfs', 'transmitter', 'feedback']","['information rates point point multi user wireless channels energy delay constraints thesis consider communication system have energy delay reliability constraint characterize optimal communication rate achievable system consider point point communication set context characterize achievable rate energy harvesting point point channel additive gaussian noise rate show close optimal rate assumption system architecture consider non energy harvesting point point block fade wireless channel gaussian noise subject canonical peak average power constraint characterize low upper bound maximal channel cod rate channel state information transmitter receiver give codeword length average probability error bound characterize water fill capacity finite block length regime subsequently extend finite block length result derive non energy harvesting channel case transmitter energy harvesting consider multi user communication scenario setting consider gaussian multiple access channel energy harvesting transmitter obtain capacity region channel transmitter have infinite energy buffer addition transmitter assume finite energy buffer characterize achievable rate region obtain inner bound ergodic capacity region block fade gaussian multiple access channel finite codeword length non vanishing average error probability peak power constraint codeword subsequently consider fade gaussian broadcast channel assumption transmitter receiver harvest energy receiver treat transmitter radio frequency energy source correspond paradigm simultaneous wireless information power transfer scenario characterize funda', 'design analysis duplex systems generation wireless communication systems cater grow demand high datum rate cellular network wireless local area network wlan need adopt innovative technology duplex fd technology promise double data rate enable simultaneous transmission reception frequency band fd raise challenge challenge self interference si fd receiver power leakage collocate transmitter recent advance employ technique analog digital domain signal cancellation electromagnetic isolation receiver transmitter suppress si noise floor make fd viable second challenge inter user interference simultaneous uplink downlink cellular network wlan fd capable base station bss access point ap half duplex hd user degrade downlink signal interference- plus noise ratio sinr cellular network effective user pair scheduling mode selection algorithm need mitigate user pair scheduling bs determine user schedule uplink downlink mode selection bs select fd mode hd mode operation depend feasibility decision take base inter user interference user channel connect bs user need feed cell user inter user link overwhelm uplink limit feedback overhead propose novel reduce feedback scheme user feed channel gain limited number inter user channel threshold corresponding user index propose user pair scheduling mode selection algorithm upsma upsma bs schedule user base uplink downlink sinr', 'orthogonal time frequency space modulation wireless communications future wireless communication system envision support diverse requirement include high mobility application scenario high speed train vehicle vehicle vehicle toinfrastructure communication dynamic nature wireless channel scenario make doubly dispersive nature orthogonal time frequency space otfs modulation recent dimensional 2d modulation technique specially suited doubly dispersive wireless channel fundamental feature otfs modulation information symbol otfs modulation multiplexe delay doppler domain time frequency domain conventional multicarri modulation technique advantage signal delay doppler domain channel rapidly vary time manifest slowly vary sparse channel view delay doppler domain simplify channel estimation rapidly time vary wireless channel thesis focus fundamental key aspect otfs modulation include asymptotic diversity analysis peak average power ratio analysis design low complexity equalizer otfs base multiple access system performance otfs millimeter wave 28 ghz 60 ghz channel presence oscillator phase noise provide formal analysis asymptotic diversity order achieve otfs modulation doubly dispersive channel analysis simulation asymptotic diversity order otfs modulation maximum likelihood detection propose phase rotation scheme otfs achieve diversity delay doppler domain extend diversity analysis propose phase rotation scheme otfs multiple input multiple output mimo set propose use space time coding achieve diversity spatial delay doppler domain']"
8,33,-70.0,-244.75552930265363,8,33,8_water_rainfall_river_landslide,"['water', 'rainfall', 'river', 'landslide', 'earthquake', 'climate', 'monsoon', 'groundwater', 'area', 'streamflow']","['parameter estimation determine groundwater flow seawater intrusion coastal aquifer karnataka india seawater intrusion swi fresh groundwater aquifer major hydrological problem coastal region global issue aggravate increase demand fresh groundwater go urbanization population growth economic development region freshwater seawater mixing mechanical dispersion hydrodynamic diffusion result formation transition zone position width transition zone change hydrogeological hydrological circumstance anthropogenic activity excessive groundwater extraction climate variation sea level fluctuation etc groundwater model provide scientific predictive tool determine extent swi field scale development numerical model determine groundwater flow swi heterogeneous aquifer require hydrogeological field datum incomplete knowledge geological structure heterogeneity anisotropy layering development conceptual numerical model simplify indicate wide gap understand hydrogeology characterization dimensional 3d modeling groundwater flow swi motivation work present thesis aim estimate anisotropic heterogeneous parameter layered coastal aquifer simulation hydraulic head swi coastal plain river swarna river netravati karnataka india select study area west flow river karnataka seasonal tidal saline water intrude river non monsoon period kilometer contaminate adjacent fresh groundwater aquifer permeable geological formation thousand million cubic foot recharge rainwater designate subsurface groundwater discharge make interesting challenging case study pursue', 'simulation characterization streamflow time series streamflow partition distinct time scale well understand underlying governing process fast flow represent surface runoff control mainly meteorological process operate relatively short time scale slow flow represent baseflow groundwater flow subsurface flow occur slow rate significant difference fast slow process control explain streamflow variability independently thesis consider concept include seasonal timing streamflow variability regional context order isolate effect driver observed flow duration curves fdcs modeling framework develop comprise partition streamflow multiple way season month time domain east west north south direction space domain fast slow flow process domain small large catchment account size catchment basin modeling framework demonstrate peninsular indian river system hydrology primarily govern monsoon rain framework stratify streamflow variability consist independent element process partition partition total streamflow fast flow slow flow impact differently climate landscape property ii time scale partitioning stratify temporal streamflow variability distinct season south west monsoon north east monsoon non monsoon iii investigate directional aspect west east north south gradient space domain finding study show south west monsoon fast flow major contributor mean annual flow total flow respectively river system spatially increase mean rainfall northern favourable geology compound seasonal rainfall pattern southern part peninsular regio', 'assessment groundwater vulnerability gis base drastic model case study udupi district karnataka state india abstract water essential resource beneficial us increase urbanization industrialization discharge waste water environment treatment runoff infiltration water reach surface subsurface water body contaminate fresh water treat ground water costly require proper assessment key measure effective management ground water prevent seepage wastewater aquifer select study area udupi district karnataka state water unconfined aquifer surface water unconfined aquifer vulnerable infiltration runoff contaminant prevention ground water pollution identify vulnerable area high tendency pollution potential consider hydrogeological characteristic area decision land use vulnerable area drastic tool propose environmental protection agency epa determine vulnerable area ground water contamination primary objective study focus determination vulnerable zone study area drastic tool validate drastic vulnerability index water quality index check applicability drastic index select study area spearman rho co relation coefficient include study variation vulnerability area year modify drastic vulnerability index determine change weightage obtain improved vulnerability index correlation water quality index ground water quality analysis study area 112 ground water sample pre monsoon post monsoon season 2017 water analysis 16 physico chemical parameter ph turbidity chloride nitrate fluoride sulphate hardness calcium magnesium iron coliform bacteria potassium sodium manganese phosphate']"
