topic_id,2019,2020,2021,2022,2023,2024,2025
-1,31,51,60,70,58,76,21
0,9,17,17,12,14,21,1
1,13,12,10,11,14,16,6
2,7,10,16,12,18,17,1
3,9,10,3,8,14,11,1
4,5,2,11,16,5,14,2
5,8,8,9,3,14,5,0
6,2,4,6,8,13,5,3
7,4,4,7,8,9,6,1
8,5,5,2,6,4,9,2
9,2,10,1,6,6,4,1
10,4,5,8,3,5,4,1
11,7,4,3,4,5,3,1
12,3,3,5,8,3,4,1
13,1,7,5,4,7,3,0
14,4,5,3,4,8,1,0
15,8,2,0,2,3,7,3
16,1,0,5,4,6,4,1
17,4,4,1,1,3,5,3
18,1,4,3,2,2,4,2
19,1,2,4,1,4,2,1
20,3,2,0,2,3,4,0
21,0,1,1,2,5,4,1
22,1,3,4,0,3,1,1
23,1,0,3,3,4,2,0
24,1,5,2,0,4,1,0
25,0,2,3,2,3,0,0
26,3,1,1,2,3,0,0
