topic_id,2019,2020,2021,2022,2023,2024,2025,2026
-1,1295,1520,1645,1749,1779,1898,1933,223
0,43,72,94,70,96,93,61,26
1,55,56,52,65,68,100,63,12
2,42,59,50,77,67,86,45,17
3,23,40,35,47,85,63,40,15
4,26,62,48,63,45,57,20,9
5,23,38,39,35,63,48,39,17
6,32,21,36,39,66,42,41,6
7,16,32,33,42,40,47,44,11
8,19,33,26,41,29,53,31,8
9,14,30,19,31,31,28,22,11
10,13,17,33,20,36,45,32,11
11,21,20,29,38,31,31,29,5
12,32,15,36,39,23,25,25,7
13,27,37,31,21,29,20,27,7
14,19,23,16,34,22,29,34,11
15,30,24,24,26,25,26,27,2
16,22,20,22,19,26,32,34,4
17,18,15,25,23,31,22,25,7
18,16,18,28,29,25,22,30,0
19,13,23,22,16,31,27,23,3
20,6,35,40,30,21,15,5,3
21,20,14,20,18,24,27,24,2
22,26,26,19,14,32,16,19,1
23,11,8,21,21,28,27,32,1
24,16,18,21,11,31,26,26,1
25,9,16,17,22,21,26,22,5
26,10,13,22,18,27,22,21,5
27,8,9,13,17,24,23,34,4
28,18,17,20,21,16,20,12,4
29,14,18,23,18,17,23,9,0
30,11,11,17,22,24,17,14,4
31,7,14,11,28,14,23,20,1
32,9,9,10,23,25,19,15,3
33,9,9,15,19,24,22,18,0
34,16,8,22,18,19,16,14,1
35,17,14,13,17,15,7,16,8
36,3,3,11,13,28,19,26,3
37,9,19,15,16,16,13,16,0
38,9,13,15,14,22,21,6,2
39,13,13,17,12,15,17,9,5
40,4,4,5,15,26,23,22,2
41,10,10,13,11,19,15,11,0
42,0,2,6,7,11,19,29,13
43,12,10,12,14,17,11,11,0
44,11,12,22,10,11,12,9,0
45,12,17,14,12,10,12,9,1
46,20,10,11,10,15,4,13,1
47,9,7,15,9,17,12,12,1
48,11,15,8,18,8,10,12,0
49,6,11,11,12,13,9,17,1
50,8,10,11,12,14,13,11,0
51,5,11,10,9,11,15,14,1
52,12,14,8,3,7,6,7,3
53,3,8,9,12,11,12,12,3
54,4,6,19,12,7,14,8,2
55,7,4,8,11,11,13,14,4
56,2,5,4,16,14,14,19,0
57,13,11,11,8,8,10,13,0
58,11,14,11,10,11,13,2,1
59,9,16,10,17,7,8,5,1
60,4,10,14,14,17,5,6,3
61,8,7,17,10,11,8,10,0
62,5,8,9,12,4,13,20,0
63,6,7,15,18,7,5,12,0
64,3,5,8,8,11,8,23,4
65,4,8,9,20,6,9,12,0
66,10,8,12,7,8,15,6,1
67,8,12,9,8,15,8,5,2
68,5,8,6,6,10,14,18,1
69,3,10,6,12,16,9,11,1
70,2,10,10,9,17,11,6,1
71,7,8,6,8,11,13,10,0
72,7,9,9,5,11,7,9,2
73,11,9,7,12,7,9,9,0
74,11,12,5,13,6,7,11,0
75,16,4,6,15,9,5,9,0
76,0,0,6,6,13,7,24,8
77,13,11,9,11,6,7,4,1
78,10,7,7,9,3,15,11,2
79,7,13,8,7,6,10,10,1
80,7,11,13,10,7,3,5,0
81,12,12,11,6,9,5,4,0
82,2,2,7,6,11,11,17,2
83,6,6,7,4,6,12,11,0
84,9,13,8,6,8,4,11,0
85,6,11,8,15,11,5,1,1
86,8,17,6,21,5,0,1,0
87,3,6,8,11,12,10,8,0
88,1,4,9,7,14,14,8,1
89,10,11,6,7,7,10,4,2
90,2,8,6,7,12,8,12,1
91,7,6,3,13,7,10,10,0
92,5,3,3,12,10,14,8,0
93,8,15,6,7,2,9,8,0
94,6,6,5,16,11,3,6,1
95,5,7,7,10,9,9,4,0
96,2,2,19,11,7,4,9,0
97,4,5,12,4,16,9,1,1
98,5,7,9,12,7,7,6,0
99,6,1,4,9,8,11,13,1
100,5,3,6,7,13,9,9,0
101,8,8,9,7,5,12,2,0
102,8,2,9,7,8,8,10,0
103,4,1,13,12,3,5,7,4
104,6,15,9,3,4,7,7,0
105,8,4,5,5,8,9,12,0
106,7,6,10,9,8,4,4,3
107,2,5,7,5,8,17,3,1
108,5,6,10,11,8,7,3,0
109,0,3,7,5,8,11,13,3
110,2,7,4,9,9,13,5,0
111,3,1,5,8,4,13,13,2
112,6,5,9,2,5,7,14,1
113,13,14,6,3,4,8,1,0
114,3,2,3,14,8,8,10,0
115,5,10,6,7,3,6,8,2
116,8,7,7,12,6,4,4,0
117,5,9,4,4,9,7,8,1
118,2,7,4,6,11,4,7,0
119,8,6,11,3,6,7,5,0
120,5,3,15,9,5,5,3,1
121,9,8,9,5,7,6,2,0
122,5,7,9,4,7,11,3,0
123,3,1,4,7,9,12,9,0
124,3,4,14,5,2,9,8,0
125,7,6,6,8,7,4,4,1
126,9,9,10,6,2,5,3,0
127,5,8,6,1,9,5,7,1
128,4,7,5,7,4,7,10,0
129,8,7,5,7,6,9,2,0
130,3,10,8,4,6,7,4,1
131,5,10,3,13,6,3,3,0
132,13,2,4,4,12,2,5,0
133,7,4,8,5,7,5,6,0
134,8,9,6,1,3,10,5,0
135,3,6,7,10,6,8,2,0
136,3,5,7,6,13,1,5,1
137,6,8,7,2,8,4,3,3
138,5,6,6,6,4,5,8,0
139,5,10,6,7,2,5,5,0
140,4,6,2,6,5,8,8,1
141,7,1,5,6,10,3,6,2
142,1,3,3,5,8,11,7,1
143,5,8,4,4,3,4,7,0
144,0,3,8,8,5,6,7,1
145,5,4,8,7,3,7,4,1
146,2,3,7,6,6,3,8,2
147,4,6,3,4,5,4,12,0
148,9,4,1,5,6,4,9,0
149,3,1,9,3,8,9,4,1
150,1,3,12,7,6,6,3,0
151,5,2,2,0,7,13,8,0
152,3,2,13,14,5,0,0,0
153,3,6,0,6,4,9,8,0
154,7,6,8,11,2,3,0,0
155,1,4,2,3,8,5,14,0
156,10,6,7,3,1,5,5,0
157,6,2,3,6,9,5,4,0
158,3,3,3,5,6,8,7,0
159,8,1,8,5,5,0,6,1
160,2,4,5,3,3,10,9,0
161,1,7,8,2,3,6,7,1
162,5,3,3,5,9,1,9,0
163,5,3,6,6,4,9,2,0
164,1,4,10,3,6,3,7,0
165,3,1,3,6,4,6,10,1
166,2,7,5,3,11,3,3,0
167,1,2,1,10,7,7,6,0
168,4,7,4,6,1,8,3,1
169,6,5,7,5,1,4,4,1
170,2,4,5,3,5,7,7,0
171,2,1,6,2,7,8,6,0
172,6,5,6,10,1,2,3,0
173,1,4,5,3,3,3,14,0
174,6,7,7,4,2,2,4,0
175,5,2,8,4,2,5,6,0
176,7,2,7,1,7,3,4,0
177,2,7,3,3,3,8,5,0
178,1,4,1,2,13,9,2,0
179,2,1,9,6,4,5,5,0
180,1,4,2,20,3,2,0,0
181,2,2,0,3,4,8,13,0
182,0,0,4,2,9,8,9,0
183,3,4,5,6,6,4,4,0
184,2,2,5,6,6,4,7,0
185,1,5,4,2,9,5,5,1
186,3,5,8,8,2,1,5,0
187,1,3,5,8,7,1,4,2
188,1,4,7,1,6,4,7,1
189,0,1,3,2,10,9,6,0
190,5,3,4,7,9,1,1,1
191,3,4,1,4,6,9,3,1
192,9,11,3,4,4,0,0,0
193,2,6,4,5,5,1,8,0
194,1,3,1,3,8,7,5,1
