domain_name,year,publications,patents,grants,theses,total,publications_yoy,patents_yoy,grants_yoy,theses_yoy,total_yoy,yoy_growth_percent,trend
Advanced Manufacturing and Metallurgy,2019,72,1,0,9,82,0.0,0.0,0.0,0.0,0.0,0.0,Base Year
Advanced Manufacturing and Metallurgy,2020,107,3,0,10,120,48.61,200.0,0.0,11.11,46.34,46.34,High Growth
Advanced Manufacturing and Metallurgy,2021,103,4,0,3,110,-3.74,33.33,0.0,-70.0,-8.33,-8.33,Declining
Advanced Manufacturing and Metallurgy,2022,102,3,0,8,113,-0.97,-25.0,0.0,166.67,2.73,2.73,Stable
Advanced Manufacturing and Metallurgy,2023,104,3,0,14,121,1.96,0.0,0.0,75.0,7.08,7.08,Growing
Advanced Manufacturing and Metallurgy,2024,100,7,0,11,118,-3.85,133.33,0.0,-21.43,-2.48,-2.48,Stable
Advanced Manufacturing and Metallurgy,2025,88,8,0,1,97,-12.0,14.29,0.0,-90.91,-17.8,-17.8,Declining
Advanced Materials and Nanotechnology,2019,103,0,0,2,105,0.0,0.0,0.0,0.0,0.0,0.0,Base Year
Advanced Materials and Nanotechnology,2020,128,4,0,2,134,24.27,inf,0.0,0.0,27.62,27.62,High Growth
Advanced Materials and Nanotechnology,2021,118,6,0,5,129,-7.81,50.0,0.0,150.0,-3.73,-3.73,Stable
Advanced Materials and Nanotechnology,2022,122,10,0,7,139,3.39,66.67,0.0,40.0,7.75,7.75,Growing
Advanced Materials and Nanotechnology,2023,125,12,0,14,151,2.46,20.0,0.0,100.0,8.63,8.63,Growing
Advanced Materials and Nanotechnology,2024,137,21,0,6,164,9.6,75.0,0.0,-57.14,8.61,8.61,Growing
Advanced Materials and Nanotechnology,2025,123,14,0,2,139,-10.22,-33.33,0.0,-66.67,-15.24,-15.24,Declining
Aerospace and Fluid Dynamics,2019,87,3,0,12,102,0.0,0.0,0.0,0.0,0.0,0.0,Base Year
Aerospace and Fluid Dynamics,2020,86,5,0,23,114,-1.15,66.67,0.0,91.67,11.76,11.76,Growing
Aerospace and Fluid Dynamics,2021,118,3,0,21,142,37.21,-40.0,0.0,-8.7,24.56,24.56,High Growth
Aerospace and Fluid Dynamics,2022,111,16,0,17,144,-5.93,433.33,0.0,-19.05,1.41,1.41,Stable
Aerospace and Fluid Dynamics,2023,143,10,0,24,177,28.83,-37.5,0.0,41.18,22.92,22.92,High Growth
Aerospace and Fluid Dynamics,2024,111,13,0,24,148,-22.38,30.0,0.0,0.0,-16.38,-16.38,Declining
Aerospace and Fluid Dynamics,2025,124,13,0,3,140,11.71,0.0,0.0,-87.5,-5.41,-5.41,Declining
Agriculture and Environmental Systems,2019,52,6,1,3,62,0.0,0.0,0.0,0.0,0.0,0.0,Base Year
Agriculture and Environmental Systems,2020,80,6,22,2,110,53.85,0.0,2100.0,-33.33,77.42,77.42,High Growth
Agriculture and Environmental Systems,2021,87,3,3,6,99,8.75,-50.0,-86.36,200.0,-10.0,-10.0,Declining
Agriculture and Environmental Systems,2022,120,10,4,6,140,37.93,233.33,33.33,0.0,41.41,41.41,High Growth
Agriculture and Environmental Systems,2023,99,37,1,8,145,-17.5,270.0,-75.0,33.33,3.57,3.57,Stable
Agriculture and Environmental Systems,2024,85,36,1,5,127,-14.14,-2.7,0.0,-37.5,-12.41,-12.41,Declining
Agriculture and Environmental Systems,2025,95,15,0,0,110,11.76,-58.33,-100.0,-100.0,-13.39,-13.39,Declining
Applied Mathematics and Simulation,2019,66,0,0,0,66,0.0,0.0,0.0,0.0,0.0,0.0,Base Year
Applied Mathematics and Simulation,2020,83,0,0,0,83,25.76,0.0,0.0,0.0,25.76,25.76,High Growth
Applied Mathematics and Simulation,2021,115,0,0,0,115,38.55,0.0,0.0,0.0,38.55,38.55,High Growth
Applied Mathematics and Simulation,2022,105,0,0,0,105,-8.7,0.0,0.0,0.0,-8.7,-8.7,Declining
Applied Mathematics and Simulation,2023,113,0,0,0,113,7.62,0.0,0.0,0.0,7.62,7.62,Growing
Applied Mathematics and Simulation,2024,85,0,0,0,85,-24.78,0.0,0.0,0.0,-24.78,-24.78,Rapid Decline
Applied Mathematics and Simulation,2025,109,0,0,0,109,28.24,0.0,0.0,0.0,28.24,28.24,High Growth
Artificial Intelligence and Computer Vision,2019,54,2,0,0,56,0.0,0.0,0.0,0.0,0.0,0.0,Base Year
