rank,venue,publications
1,Physical review. B./Physical review. B,268
2,Lecture notes in computer science,204
3,SSRN Electronic Journal,192
4,Journal of Alloys and Compounds,113
5,ePrints@IISc (Indian Institute of Science),84
6,The Journal of Physical Chemistry C,80
7,IEEE Transactions on Electron Devices,79
8,Journal of Applied Physics,75
9,International Journal for Research in Applied Science and Engineering Technology,73
10,Journal of Fluid Mechanics,69
11,Journal of Materials Science Materials in Electronics,67
12,IEEE Sensors Journal,61
13,The Journal of Chemical Physics,61
14,Communications in Computer and Information Science,58
15,Journal of Physics Condensed Matter,57
16,Nature Communications,54
17,Journal of Physics: Conference Series,53
18,Physical Review Letters,53
19,Physical review. E,51
20,IOP Conference Series Materials Science and Engineering,48
21,Applied Physics Letters,45
22,Materials Science and Engineering A,45
23,Journal of Materials Chemistry C,45
24,Dalton Transactions,44
25,Metallurgical and Materials Transactions A,44
26,IEEE Communications Letters,43
27,IEEE Transactions on Communications,42
28,Physical review. D/Physical review. D.,40
29,Journal of Materials Science,39
30,Springer transactions in civil and environmental engineering,39
31,Nano Letters,38
32,Journal of Materials Engineering and Performance,37
33,IEEE Transactions on Information Theory,36
34,Journal of Electronic Materials,36
35,SN Computer Science,36
36,Journal of the Indian Institute of Science,35
37,IEEE Transactions on Industrial Electronics,34
38,Journal of University of Shanghai for Science and Technology,34
39,Communications in computer and information science,34
40,International Journal of Engineering and Advanced Technology,32
41,Journal of Materials Chemistry A,32
42,IEEE Transactions on Industry Applications,31
43,INTERANTIONAL JOURNAL OF SCIENTIFIC RESEARCH IN ENGINEERING AND MANAGEMENT,31
44,Journal of Aerospace Sciences and Technologies,31
45,IEEE Transactions on Power Electronics,31
46,International Journal of Advanced Computer Science and Applications,30
47,The Philosophical Magazine A Journal of Theoretical Experimental and Applied Physics,30
48,IOP Conference Series: Materials Science and Engineering,28
49,Indian geotechnical journal,28
50,IEEE Transactions on Wireless Communications,28
51,IEEE Transactions on Signal Processing,28
52,International Journal of Electrical and Computer Engineering (IJECE),27
53,The Journal of Physical Chemistry B,27
54,IEEE Signal Processing Letters,27
55,The Astrophysical Journal,26
56,Journal of Mines Metals and Fuels,26
57,IEEE Transactions on Vehicular Technology,26
58,The Journal of Physical Chemistry Letters,25
59,Transactions of the Indian Institute of Metals,24
60,Journal of Physics Conference Series,24
61,Journal of Optics,24
62,Journal of Physics D Applied Physics,24
63,Materials Letters,24
